global_step,charts/episodic_length,losses/policy_loss,losses/entropy,charts/learning_rate,losses/clipfrac,losses/value_loss,charts/episodic_return,_runtime,_step,charts/SPS,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/approx_kl
94208,,-0.006415605545043945,0.5346742272377014,0.00024354839115403593,0.005859375,0.006583288311958313,,182.09273076057434,1106,605.0,0.006432242691516876,-0.2444673776626587,1763260212.5253048,0.0015529841184616089
95360,,-0.0007545342668890953,0.5127704739570618,0.00024285714607685804,0.0,183.3450469970703,,184.3336877822876,1118,603.0,0.006680820137262344,0.0007715225219726562,1763260214.7662618,0.0006984379142522812
96128,,-0.01917017623782158,0.5928155183792114,0.00024239631602540612,0.0,0.000256185419857502,,185.79872059822083,1125,603.0,-0.0026709064841270447,-0.0341334342956543,1763260216.2312946,0.003840077668428421
96896,,0.0024916529655456543,0.5574914216995239,0.0002419354859739542,0.0,211.5780029296875,,187.26269459724426,1133,602.0,0.0033304207026958466,0.0003466010093688965,1763260217.6952686,0.00034139305353164673
98176,,-0.001822005957365036,0.5753024220466614,0.000241167435888201,0.00390625,0.0008182203164324164,,189.6698613166809,1145,601.0,-0.0010310998186469078,-0.1769421100616455,1763260220.1024354,0.0012538274750113487
100096,,-0.007776699960231781,0.473678320646286,0.0002400153607595712,0.0,0.0009184079244732857,,193.38078260421753,1164,599.0,0.003560994751751423,-0.6892882585525513,1763260223.8133566,0.0011879326775670052
100224,,-0.006981409154832363,0.5510382652282715,0.00023993855575099587,0.00390625,0.0002979835553560406,,193.60901927947998,1165,599.0,0.004342461004853249,-1.2396831512451172,1763260224.0415933,0.0017578061670064926
100864,,0.001603059470653534,0.5398988723754883,0.00023955453070811927,0.0,229.5576629638672,,194.89556980133057,1172,598.0,0.004975366406142712,0.0006763935089111328,1763260225.3281438,0.000277630053460598
101819,500.0,,,,,,500.0,196.62846851348877,1181,,,,1763260227.0610425,
102319,500.0,,,,,,500.0,197.64468026161194,1186,,,,1763260228.0772543,
103424,,-0.0024406015872955322,0.4557676911354065,0.00023801843053661287,0.0,318.8656311035156,,199.8749876022339,1197,596.0,-0.0018211286514997482,-0.0008033514022827148,1763260230.3075616,0.0001446995884180069
105088,,-0.012816864997148514,0.4981738030910492,0.0002370199654251337,0.00390625,0.0003971633268520236,,203.0327663421631,1213,594.0,0.0022879336029291153,-0.16091489791870117,1763260233.4653404,0.0025263428688049316
105319,500.0,,,,,,500.0,203.34476280212402,1215,,,,1763260233.7773368,
106368,,-9.06800851225853e-05,0.4798145890235901,0.0002362519153393805,0.0,51.22847366333008,,205.59951257705688,1226,593.0,0.0030321767553687096,0.0007488131523132324,1763260236.0320866,0.00012043025344610214
106819,500.0,,,,,,500.0,206.34172773361206,1230,,,,1763260236.7743018,
107264,,0.014172518625855446,0.48129814863204956,0.00023571428027935326,0.0,0.00013931238208897412,,207.28539276123047,1234,592.0,0.0037039173766970634,0.039688169956207275,1763260237.7179668,0.0014865146949887276
108319,500.0,,,,,,500.0,209.287335395813,1245,,,,1763260239.7199094,
109312,,-0.032615162432193756,0.5586127042770386,0.00023448540014214814,0.0,6.633822340518236e-05,,211.22705483436584,1254,591.0,-0.004506177268922329,-0.28255975246429443,1763260241.6596289,0.0037170452997088432
110976,,0.002133883535861969,0.5655921697616577,0.0002334869495825842,0.0,0.005878535099327564,,214.4661431312561,1271,590.0,-0.002830648794770241,-0.3805321455001831,1763260244.8987172,0.0012871362268924713
113819,500.0,,,,,,500.0,219.4835250377655,1299,,,,1763260249.916099,
117760,,-0.004874482750892639,0.495464026927948,0.00022941628412809223,0.0,712.5665283203125,,226.57102704048157,1339,588.0,-0.00812507700175047,0.00036257505416870117,1763260257.003601,0.0008583208546042442
117888,,-0.0016780197620391846,0.5044648051261902,0.0002293394791195169,0.001953125,0.00459931418299675,,226.78616738319397,1340,588.0,0.0013858946040272713,-0.12073826789855957,1763260257.2187414,0.0012318575754761696
118784,,-0.006440617144107819,0.5377625823020935,0.00022880184405948967,0.0,206.9596710205078,,228.4349343776703,1349,587.0,-0.0003192983567714691,-2.2649765014648438e-05,1763260258.8675084,0.000730615109205246
120251,500.0,,,,,,500.0,231.03844666481018,1363,,,,1763260261.4710207,
120448,,-0.004209805279970169,0.5512698292732239,0.0002278033789480105,0.0,0.004551583435386419,,231.48307347297668,1365,587.0,0.009312343783676624,-0.07596457004547119,1763260261.9156475,0.0007556909695267677
120960,,-0.01406421884894371,0.5136167407035828,0.00022749615891370922,0.0,0.0056650638580322266,,232.38308453559875,1370,587.0,-0.008592450059950352,-0.1557314395904541,1763260262.8156586,0.0005913404747843742
121984,,-0.002829279750585556,0.5348557233810425,0.00022688171884510666,0.0,0.004180773627012968,,234.2405776977539,1380,586.0,-0.0015719057992100716,0.09523671865463257,1763260264.6731517,0.00017335545271635056
122112,,0.002361387014389038,0.5631139874458313,0.00022680491383653134,0.0,0.0004142829275224358,,234.4601924419403,1381,586.0,-0.011057749390602112,0.07865065336227417,1763260264.8927665,0.0004806201905012131
122752,,0.001019846647977829,0.5631476640701294,0.00022642088879365474,0.0,633.752197265625,,235.65867972373962,1388,586.0,0.0001302780583500862,-0.0001327991485595703,1763260266.0912538,5.328189581632614e-05
123520,,-0.0009545795619487762,0.5614491701126099,0.00022596005874220282,0.0,0.0004645604931283742,,237.0587706565857,1395,586.0,0.0009855171665549278,0.17642009258270264,1763260267.4913447,0.0007674554362893105
123904,,0.008459225296974182,0.5277409553527832,0.00022572964371647686,0.0,0.004362194333225489,,237.74255299568176,1399,586.0,0.00414800550788641,0.35697126388549805,1763260268.175127,0.0013358788564801216
124544,,-0.007610045373439789,0.5432658791542053,0.00022534561867360026,0.0,0.0005011608591303229,,238.93540453910828,1405,585.0,0.006043357774615288,0.6348186731338501,1763260269.3679786,0.0012529976665973663
127251,500.0,,,,,,500.0,242.29378128051758,1432,,,,1763260272.7263553,
127360,,0.020629452541470528,0.5709851980209351,0.0002236559084849432,0.0,24.3926944732666,,242.43920373916626,1433,589.0,0.008285722695291042,0.00047832727432250977,1763260272.8717778,0.0009766826406121254
129664,,-0.004220649600028992,0.5379518270492554,0.00022227341833058745,0.0,0.0002264032227685675,,246.2097339630127,1455,589.0,0.007957793772220612,0.23508882522583008,1763260276.642308,0.0006792061030864716
129768,500.0,,,,,,500.0,246.26461839675903,1456,,,,1763260276.6971924,
129792,,-0.006483722478151321,0.5586801171302795,0.00022219661332201213,0.0,363.4483337402344,,246.46904039382935,1457,589.0,-0.004874074831604958,-5.4717063903808594e-05,1763260276.9016144,0.0004256200045347214
135680,,-0.008739503100514412,0.4615403413772583,0.00021866359747946262,0.0,0.00010671069321688265,,255.06781387329102,1514,593.0,0.0014836136251688004,-0.9152235984802246,1763260285.500388,0.0006814189255237579
136320,,-0.003070823848247528,0.5449814796447754,0.00021827957243658602,0.0,128.92501831054688,,256.27114367485046,1521,593.0,-0.0013079410418868065,0.00017333030700683594,1763260286.7037177,0.0004470227286219597
136768,500.0,,,,,,500.0,256.97494864463806,1525,,,,1763260287.4075227,
136960,,-0.0010331794619560242,0.5225492119789124,0.00021789554739370942,0.001953125,0.004304383881390095,,257.4216878414154,1527,592.0,0.013629604130983353,0.018827199935913086,1763260287.8542619,0.0013104863464832306
137216,,-0.01163383200764656,0.4787890613079071,0.00021774193737655878,0.0,0.0001627932651899755,,257.87805438041687,1529,592.0,-0.0024178680032491684,-0.7074195146560669,1763260288.3106284,0.0006780028343200684
137728,,0.0022330470383167267,0.5564845204353333,0.0002174347173422575,0.0,0.00011973251821473241,,258.79044365882874,1534,592.0,-0.007665529847145081,-0.5681977272033691,1763260289.2230177,0.000543816015124321
137856,,-0.002912425436079502,0.5867310762405396,0.00021735791233368218,0.0,101.64485168457031,,259.04342555999756,1536,592.0,-0.0008011609315872192,0.00011396408081054688,1763260289.4759996,0.00034147873520851135
138624,,-0.028980635106563568,0.49785056710243225,0.00021689708228223026,0.005859375,0.0003567619132809341,,260.31721782684326,1543,592.0,-0.023320522159337997,0.36211544275283813,1763260290.7497919,0.005661514587700367
138768,500.0,,,,,,500.0,260.5551838874817,1545,,,,1763260290.987758,
138880,,0.0014292001724243164,0.5004429221153259,0.00021674347226507962,0.0,230.0137481689453,,260.7732231616974,1546,592.0,-0.0023280736058950424,-0.00021219253540039062,1763260291.2057972,0.00011601299047470093
140160,,0.0029369890689849854,0.5708401799201965,0.00021597542217932642,0.0,8.647263894090429e-05,,262.9321482181549,1558,592.0,-0.00030178576707839966,0.1401171088218689,1763260293.3647223,4.8119574785232544e-05
140268,500.0,,,,,,500.0,262.98912596702576,1559,,,,1763260293.4217,
140672,,-0.03249687701463699,0.5815092325210571,0.00021566820214502513,0.00390625,4.0824987081578e-05,,263.76293540000916,1563,592.0,-0.012931187637150288,-0.11631941795349121,1763260294.1955094,0.0031962255015969276
140928,,0.0024191588163375854,0.489648699760437,0.0002155145921278745,0.0,0.004163165111094713,,264.06943702697754,1566,592.0,-0.0031132884323596954,0.05066341161727905,1763260294.502011,0.0004138574004173279
143232,,-0.0074602290987968445,0.5615378618240356,0.00021413210197351873,0.005859375,0.00012874638196080923,,266.70608472824097,1588,596.0,0.004199630580842495,-0.26255202293395996,1763260297.1386588,0.002494283951818943
143268,500.0,,,,,,500.0,266.73852801322937,1589,,,,1763260297.171102,
144128,,-0.007778257131576538,0.5624806880950928,0.0002135944669134915,0.0,0.0005724928923882544,,267.78026032447815,1597,597.0,-0.006214403547346592,0.019630849361419678,1763260298.2128344,0.0012253029271960258
145268,500.0,,,,,,500.0,269.0325255393982,1607,,,,1763260299.4650996,
145408,,-0.0053542256355285645,0.5969662070274353,0.00021282641682773829,0.0,0.004051366820931435,,269.27767062187195,1609,598.0,0.001172378659248352,0.028475940227508545,1763260299.7102447,0.00019524991512298584
145536,,-0.002189408987760544,0.6019216775894165,0.00021274961181916296,0.0,0.0003110253601334989,,269.41357374191284,1610,598.0,0.0007970249280333519,-0.14356720447540283,1763260299.8461478,0.00012977514415979385
145768,500.0,,,,,,500.0,269.62164092063904,1612,,,,1763260300.054215,
147200,,0.0037180427461862564,0.5899468064308167,0.0002117511467076838,0.0,8.712009730516002e-05,,271.8162395954132,1626,599.0,-0.004067877307534218,-0.01786208152770996,1763260302.2488136,0.0006289109587669373
148282,500.0,,,,,,500.0,273.70217871665955,1638,,,,1763260304.1347528,
153282,500.0,,,,,,500.0,281.966064453125,1687,,,,1763260312.3986385,
