global_step,losses/entropy,losses/clipfrac,_timestamp,losses/approx_kl,losses/policy_loss,_runtime,charts/SPS,_step,losses/value_loss,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,charts/learning_rate,charts/episodic_length
134258,,,1763260283.5956717,,,227.33774757385254,,1545,,,,500.0,,500.0
134272,0.526660144329071,0.0,1763260283.6712372,0.00011220108717679977,0.002282867208123207,227.41331315040588,671.0,1546,1087.26025390625,2.187490463256836e-05,0.003480282612144947,,0.00021950845257379115,
135552,0.5933449268341064,0.0,1763260284.8185542,0.00248526968061924,-0.031074054539203644,228.5606300830841,673.0,1558,0.0009723911061882973,0.0736193060874939,0.0069937556982040405,,0.00021874040248803794,
135680,0.5016361474990845,0.0,1763260284.9292235,0.0007627960294485092,-0.004443667829036713,228.67129945755005,674.0,1559,0.00018289522267878056,-0.050985097885131836,0.004978872835636139,,0.00021866359747946262,
136064,0.5345787405967712,0.00390625,1763260285.294152,0.003730407916009426,-0.019342217594385147,229.03622794151306,674.0,1563,0.0009122811607085168,0.01994866132736206,0.009211204946041107,,0.00021843318245373666,
136320,0.5196871161460876,0.0,1763260285.5245714,0.0002915896475315094,0.007462486624717712,229.2666473388672,675.0,1566,567.5704345703125,-5.5789947509765625e-05,0.0030027907341718674,,0.00021827957243658602,
138624,0.517900824546814,0.0,1763260287.6029687,0.00213018711656332,0.00031700730323791504,231.34504461288452,679.0,1588,0.0005250662798061967,-0.2206205129623413,-0.013475307263433933,,0.00021689708228223026,
138752,0.5382855534553528,0.013671875,1763260287.7122114,0.0022385604679584503,-0.008750997483730316,231.45428729057312,679.0,1589,0.00032563362037763,-0.36565685272216797,-0.00658201240003109,,0.00021682027727365494,
139520,0.5798646211624146,0.0,1763260288.41741,0.0006860438734292984,0.005008380860090256,232.15948581695557,681.0,1597,0.0011953699868172407,0.007133126258850098,0.005019659176468849,,0.00021635944722220302,
140544,0.5030601620674133,0.0,1763260289.3074574,0.00015533063560724258,0.003121856600046158,233.04953336715698,683.0,1607,0.0008551795035600662,0.026776611804962158,-0.0009217830374836922,,0.00021574500715360045,
140758,,,1763260289.4827614,,,233.22483730316162,,1609,,,,500.0,,500.0
140800,0.5045127272605896,0.0,1763260289.5667858,0.00045432988554239273,0.0004598349332809448,233.3088617324829,683.0,1610,642.8002319335938,2.5093555450439453e-05,0.004724771715700626,,0.00021559139713644981,
141056,0.4794449508190155,0.0,1763260289.7880552,0.0004184423014521599,-0.004557956010103226,233.53013110160828,684.0,1612,0.0005368080455809832,0.00018787384033203125,-0.006355629302561283,,0.00021543778711929917,
142464,0.47847431898117065,0.0,1763260291.3422346,0.0013620425015687943,-0.011100932955741882,235.0843105316162,685.0,1626,0.005803057458251715,0.021953225135803223,0.000682581216096878,,0.00021459293202497065,
143744,0.5350458025932312,0.00390625,1763260292.9549282,0.0009343652054667473,0.01110054925084114,236.69700407981873,686.0,1638,0.0004133242182433605,-0.05657684803009033,0.007548934780061245,,0.00021382488193921745,
148736,0.5953998565673828,0.0,1763260298.971106,0.0004157833755016327,0.001912340521812439,242.71318197250366,690.0,1687,0.00022155290935188532,0.01460963487625122,0.009360576048493385,,0.00021082948660477996,
153216,0.5341129899024963,0.0,1763260303.8343773,4.9579888582229614e-05,0.0014883503317832947,247.57645320892334,695.0,1732,0.0009189149714075029,0.007594168186187744,-0.0004525464028120041,,0.00020814132585655898,
154496,0.47661417722702026,0.0,1763260304.982517,2.0029954612255096e-05,0.00035934150218963623,248.72459292411804,698.0,1745,249.11331176757812,-1.3709068298339844e-05,-0.0007392605766654015,,0.00020737327577080578,
155389,,,1763260305.7283328,,,249.4704086780548,,1753,,,,500.0,,500.0
155392,0.48348283767700195,0.0,1763260305.7975788,0.0007874658331274986,-0.009520627558231354,249.5396547317505,699.0,1754,560.6209106445312,3.5762786865234375e-07,0.0044830115512013435,,0.00020683564071077853,
156544,0.5055187940597534,0.0,1763260306.8408098,8.131470531225204e-05,0.0013706889003515244,250.5828857421875,701.0,1765,0.004479056224226952,-0.06102871894836426,-8.843746036291122e-05,,0.00020614439563360065,
156889,,,1763260307.09526,,,250.83733582496643,,1768,,,,500.0,,500.0
157824,0.5732399225234985,0.0,1763260307.9874864,0.0002127205953001976,7.503852248191833e-05,251.72956228256226,703.0,1777,0.00027914103702642024,-0.040886521339416504,-0.004293183796107769,,0.00020537634554784745,
