losses/approx_kl,losses/value_loss,losses/entropy,losses/clipfrac,losses/policy_loss,charts/learning_rate,global_step,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,charts/SPS,_timestamp,charts/episodic_return,_step,_runtime
0.0007203780114650726,0.005468565504997969,0.40232670307159424,0.0,0.0025731027126312256,0.00022688171884510666,121984,-0.004418501630425453,,0.15903592109680176,643.0,1763260273.293411,,1399,217.03297805786133
1.5550293028354645e-05,0.0012461369624361396,0.4659254252910614,0.0,-0.000384429469704628,0.00022649769380223006,122624,-0.0016749342903494835,,-0.12987267971038818,644.0,1763260273.8534565,,1405,217.59302353858948
0.0005625858902931213,728.4299926757812,0.519781231880188,0.0,-1.461803913116455e-05,0.00022488478862214833,125312,-0.0013167019933462143,,-6.115436553955078e-05,646.0,1763260277.5314467,,1432,221.27101373672485
0.00015904568135738373,0.007427562959492207,0.4506426751613617,0.0,-0.0030598044395446777,0.00022480798361357301,125440,-0.0027053430676460266,,-0.08353567123413086,646.0,1763260277.7025993,,1433,221.44216632843018
0.0027409689500927925,0.000294762896373868,0.561892032623291,0.0,-0.017551228404045105,0.00022342549345921725,127744,-0.0020522018894553185,,-0.14711856842041016,647.0,1763260280.8927808,,1455,224.63234782218933
,,,,,,127749,,500.0,,,1763260280.924798,500.0,1456,224.66436505317688
0.00032635312527418137,290.17742919921875,0.5288797616958618,0.0,0.003925759345293045,0.00022334868845064193,127872,0.000345391221344471,,4.225969314575195e-05,647.0,1763260281.0908937,,1457,224.83046078681946
,,,,,,133749,,500.0,,,1763260287.154795,500.0,1514,230.89436197280884
0.00040253903716802597,0.005384794436395168,0.515851616859436,0.0,0.0029365401715040207,0.00021943164756521583,134400,0.0004462236538529396,,-0.2163863182067871,658.0,1763260287.7888727,,1521,231.52843976020813
0.0012343842536211014,855.5485229492188,0.4824361801147461,0.0,-0.007459782063961029,0.00021920123253948987,134784,0.009545388631522655,,0.0001583695411682129,659.0,1763260288.1624994,,1525,231.9020664691925
4.122033715248108e-05,0.0006357463425956666,0.5741369724273682,0.0,0.0019980361685156822,0.00021904762252233922,135040,0.0008207522332668304,,0.005739033222198486,659.0,1763260288.3851693,,1527,232.1247363090515
,,,,,,135249,,500.0,,,1763260288.5266001,500.0,1529,232.26616716384888
,,,,,,135749,,500.0,,,1763260289.0249853,500.0,1534,232.76455235481262
0.0033081891015172005,0.006732213776558638,0.5178704261779785,0.0,-0.034836191684007645,0.00021850998746231198,135936,0.03269689902663231,,0.14743584394454956,661.0,1763260289.222564,,1536,232.96213102340698
0.0004520285874605179,0.00027176973526366055,0.5671641230583191,0.0,-0.006407380104064941,0.00021804915741086006,136704,-0.006036330014467239,,0.06247955560684204,663.0,1763260289.8921795,,1543,233.63174653053284
0.0002369266003370285,682.670166015625,0.5776437520980835,0.0,-4.038214683532715e-06,0.00021797235240228474,136832,-0.0032576005905866623,,0.0001818537712097168,663.0,1763260290.0421994,,1545,233.78176641464233
0.0019816970452666283,0.006774932611733675,0.5471248626708984,0.001953125,-0.02591766230762005,0.00021789554739370942,136960,0.010859630070626736,,0.05989503860473633,663.0,1763260290.1524303,,1546,233.8919973373413
0.0007176268845796585,0.00022257745149545372,0.5329221487045288,0.0,-0.0009205490350723267,0.00021712749730795622,138240,0.013980654999613762,,-0.0939563512802124,664.0,1763260291.8505616,,1558,235.59012866020203
,,,,,,138249,,500.0,,,1763260291.8854392,500.0,1559,235.62500619888306
,,,,,,138749,,500.0,,,1763260292.4793997,500.0,1563,236.2189667224884
0.006608853116631508,0.0009307411382906139,0.5159141421318054,0.037109375,0.017984610050916672,0.0002166666672565043,139008,0.015937328338623047,,0.21745657920837402,664.0,1763260292.9916785,,1566,236.7312455177307
,,,,,,141249,,500.0,,,1763260296.089777,500.0,1588,239.82934403419495
0.00016611628234386444,531.0150146484375,0.5559273958206177,0.0,0.007057381793856621,0.00021528417710214853,141312,0.0014083515852689743,,0.00015211105346679688,664.0,1763260296.255945,,1589,239.995512008667
0.00021647382527589798,324.99493408203125,0.57753986120224,0.0,0.001962713897228241,0.00021490015205927193,141952,0.002808638848364353,,0.000560760498046875,664.0,1763260297.226341,,1597,240.9659080505371
0.0005033053457736969,141.91461181640625,0.49375343322753906,0.0,-0.0008253306150436401,0.00021443932200782,142720,-0.005070030689239502,,0.0023603439331054688,664.0,1763260298.407795,,1607,242.14736199378967
0.0013722674921154976,0.007353135384619236,0.5461267232894897,0.001953125,-0.025356769561767578,0.00021428571199066937,142976,-0.001223425380885601,,0.09500575065612793,664.0,1763260298.7450683,,1609,242.48463535308838
,,,,,,143017,,420.0,,,1763260298.7820828,420.0,1610,242.5216498374939
0.000890905037522316,0.03450204059481621,0.5394476652145386,0.0,-0.013314826413989067,0.00021413210197351873,143232,-0.0023692138493061066,,-0.01988399028778076,664.0,1763260299.127865,,1612,242.86743211746216
0.002757994458079338,289.5677795410156,0.5219658613204956,0.00390625,-0.0036822669208049774,0.0002132872468791902,144640,0.011109987273812294,,0.00044417381286621094,665.0,1763260301.1209052,,1626,244.86047220230103
0.002048472873866558,0.0021974542178213596,0.580520749092102,0.001953125,-0.01809651404619217,0.000212519196793437,145920,0.01034215185791254,,0.1424381136894226,666.0,1763260302.689022,,1638,246.42858910560608
0.0017676688730716705,0.00017293274868279696,0.5621367692947388,0.001953125,-0.008651480078697205,0.00020952381601091474,150912,-0.0005010683089494705,,-0.6017509698867798,675.0,1763260307.301141,,1687,251.04070806503296
,,,,,,155503,,500.0,,,1763260311.4016802,500.0,1732,255.14124727249146
9.618327021598816e-05,0.0003438469721004367,0.5493642091751099,0.0,-0.005076918751001358,0.00020599078561645,156800,-0.003208046779036522,,0.059332966804504395,685.0,1763260312.6302664,,1745,256.36983346939087
