_timestamp,losses/clipfrac,_runtime,losses/old_approx_kl,losses/value_loss,charts/SPS,charts/episodic_return,charts/episodic_length,losses/approx_kl,losses/explained_variance,global_step,_step,losses/entropy,losses/policy_loss,charts/learning_rate
1763260301.3781023,0.0,245.13887429237366,0.005957474932074547,0.00028545744135044515,667.0,,,0.0005195457488298416,-0.09228503704071045,145280,1687,0.5733841061592102,0.008632276207208633,0.0002129032218363136
1763260305.6718502,,249.43262219429016,,,,500.0,500.0,,,149789,1732,,,
1763260306.9164255,0.0,250.67719745635986,0.01224299892783165,0.0007195911603048444,677.0,,,0.0012870505452156067,-0.17560052871704102,151168,1745,0.48285388946533203,-0.009013712406158447,0.0002093702059937641
1763260307.6216795,0.0,251.38245153427124,-2.1706335246562958e-05,0.005477876868098974,678.0,,,0.00012198556214570999,0.051969945430755615,151936,1753,0.522061824798584,0.0035112202167510986,0.00020890937594231218
1763260307.7314157,0.0,251.49218773841858,-0.009250880219042301,0.0007324580219574273,678.0,,,0.0001962827518582344,-0.013727545738220215,152064,1754,0.5420373678207397,0.0010620728135108948,0.00020883257093373686
1763260308.7659204,0.009765625,252.5266923904419,-0.0012988550588488579,0.0002862796245608479,680.0,,,0.003150082193315029,-0.05606985092163086,153216,1765,0.5844190716743469,0.010687006637454033,0.00020814132585655898
1763260308.9908142,0.0,252.75158619880676,-0.008062263950705528,0.006812224164605141,681.0,,,0.0018047690391540527,0.10382336378097534,153472,1768,0.5971566438674927,-0.013604819774627686,0.00020798771583940834
1763260309.800245,0.0,253.561017036438,0.008816528134047985,789.4371948242188,682.0,,,0.0005104606971144676,-5.412101745605469e-05,154368,1777,0.5300083756446838,0.006079629063606262,0.0002074500807793811
1763260313.6085553,0.0,257.36932730674744,0.0037918779999017715,0.0008301758207380772,689.0,,,0.0001922398805618286,-0.20717883110046387,158592,1818,0.541045069694519,0.006327701732516289,0.00020491551549639553
1763260314.05173,0.0,257.81250190734863,0.0016982313245534897,0.0009558701422065496,690.0,,,0.0020099300891160965,0.05452769994735718,159104,1823,0.48847272992134094,0.002932935953140259,0.00020460829546209425
1763260316.6022918,0.0,260.36306381225586,0.004070171155035496,0.005555448587983847,695.0,,,0.000482252798974514,-0.05572164058685303,161920,1851,0.6049952507019043,-0.00907229632139206,0.0002029185852734372
1763260317.1997714,0.0,260.96054339408875,-0.0011802883818745613,0.004845397546887398,695.0,,,0.000593612901866436,-0.11850714683532715,162432,1856,0.5406932830810547,-0.002553977072238922,0.00020261136523913592
1763260318.661845,,262.42261695861816,,,,415.0,415.0,,,163650,1868,,,
1763260319.1937568,,262.95452880859375,,,,160.0,160.0,,,164000,1873,,,
1763260319.7082503,0.0,263.46902227401733,-0.007143490947782993,129.94883728027344,696.0,,,0.000797550193965435,-0.002623915672302246,164352,1877,0.4987845718860626,-4.1835010051727295e-05,0.00020145929011050612
1763260320.8174465,0.0,264.578218460083,-0.002870248630642891,882.19580078125,696.0,,,0.0006109606474637985,4.839897155761719e-05,165248,1886,0.6209192276000977,0.00510898232460022,0.00020092165505047888
1763260321.5579762,0.0,265.3187482357025,-0.005379916168749332,0.008527912199497223,697.0,,,0.00032959412783384323,-1.213329792022705,166016,1895,0.6106559634208679,-0.004813160747289658,0.00020046082499902695
1763260322.4168928,,266.1776647567749,,,,336.0,336.0,,,166782,1903,,,
1763260322.8844056,0.0,266.64517760276794,-0.004424287937581539,0.017209621146321297,698.0,,,0.0013158032670617104,0.23235219717025757,167040,1906,0.5365773439407349,0.004457481205463409,0.0001998463849304244
1763260324.361122,,268.12189388275146,,,,500.0,500.0,,,168282,1918,,,
1763260324.639272,0.0,268.400043964386,-0.003224516287446022,0.00796869769692421,698.0,,,0.0007436946034431458,-0.23773729801177979,168448,1920,0.5678066611289978,-0.0017884662374854088,0.00019900152983609587
1763260327.4937408,0.0,271.25451278686523,-0.0024054134264588356,0.004253891296684742,701.0,,,0.0001698145642876625,-0.12472701072692871,171008,1945,0.5372859239578247,0.0023584142327308655,0.0001974654442165047
1763260328.8870385,0.0,272.64781045913696,0.0056102341040968895,0.006550260819494724,703.0,,,0.0010560611262917519,-0.9879095554351807,172416,1959,0.48013463616371155,-0.004727402701973915,0.00019662058912217617
1763260330.597232,0.0,274.35800409317017,0.00236336886882782,637.193115234375,703.0,,,8.447840809822083e-05,-3.4689903259277344e-05,173824,1973,0.49078795313835144,-0.0019960813224315643,0.00019577573402784765
1763260332.077967,0.001953125,275.83873891830444,0.004441100172698498,0.0004703693266492337,704.0,,,0.004171461798250675,-0.0580744743347168,175104,1985,0.4830513894557953,0.002875030040740967,0.00019500768394209445
1763260332.7981398,0.001953125,276.5589118003845,-0.007250982336699963,0.00014962848217692226,705.0,,,0.0016465513035655022,-0.14746713638305664,175744,1991,0.4707546532154083,-0.007922708988189697,0.00019462365889921784
1763260333.730386,,277.49115800857544,,,,500.0,500.0,,,176782,2002,,,
1763260334.1700015,,277.9307734966278,,,,500.0,500.0,,,177282,2007,,,
1763260335.0170643,,278.7778363227844,,,,500.0,500.0,,,178282,2016,,,
1763260335.3138099,0.001953125,279.074581861496,0.01346107479184866,0.0003666864358820021,709.0,,,0.0008549680933356285,-0.26120078563690186,178560,2019,0.5911315083503723,0.0051942430436611176,0.0001929339487105608
