losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,_runtime,charts/episodic_return,global_step,losses/clipfrac,_step,losses/value_loss,losses/old_approx_kl,losses/policy_loss
0.17445743083953857,0.502835750579834,2.1927058696746826e-05,,1763260468.4309747,766.0,0.0001231950882356614,412.1795828342438,,294784,0.0,3129,0.0002019240491790697,0.00291643850505352,0.00021595880389213562
-0.006835222244262695,0.5189217329025269,8.682534098625183e-05,,1763260469.89694,766.0,0.0001225038431584835,413.64554810523987,,295936,0.0,3141,0.005503893364220858,-0.00010960549116134644,-0.0018551237881183624
-0.04753232002258301,0.5577085614204407,0.0002645505592226982,,1763260470.1200852,766.0,0.00012235023314133286,413.8686933517456,,296192,0.0,3143,0.0004674589727073908,0.0002414984628558159,0.0007753856480121613
-0.036432743072509766,0.5563565492630005,5.823839455842972e-05,,1763260470.345876,766.0,0.00012219662312418222,414.09448409080505,,296448,0.0,3146,0.004247685894370079,0.00011941138654947281,-0.0008324505761265755
-0.008283019065856934,0.4957018792629242,2.9544346034526825e-05,,1763260471.7391055,767.0,0.00012127496302127838,415.48771357536316,,297984,0.0,3161,0.004286333918571472,-0.0016294633969664574,0.0005302503705024719
-5.328655242919922e-05,0.4948579668998718,0.00011035427451133728,,1763260472.5674195,768.0,0.00012073732796125114,416.3160276412964,,298880,0.0,3170,498.5162048339844,-0.001590777188539505,-0.002658754587173462
-0.06112480163574219,0.5052691698074341,0.00029899924993515015,,1763260473.8433785,769.0,0.00011989247286692262,417.59198665618896,,300288,0.0,3183,0.00020144313748460263,-0.00273267924785614,-0.0004421062767505646
0.059333860874176025,0.4806005358695984,0.00024753808975219727,,1763260474.3287013,769.0,0.00011958525283262134,418.0773093700409,,300800,0.0,3188,0.00021260541689116508,-0.004121074452996254,0.0022109635174274445
-0.4813147783279419,0.5204309821128845,8.329376578330994e-05,,1763260477.0026908,772.0,0.00011781873763538897,420.75129890441895,,303744,0.0,3217,0.000280448846751824,0.004329808056354523,-0.001733291894197464
-1.4424324035644531e-05,0.4882443845272064,7.339008152484894e-05,,1763260477.6031752,772.0,0.00011743471259251237,421.35178327560425,,304384,0.0,3224,639.7672119140625,-0.0013469159603118896,-0.001435399055480957
,,,500.0,1763260479.7360137,,,423.48462176322937,500.0,306807,,3247,,,
-0.37395429611206055,0.4966614842414856,0.00038277171552181244,,1763260480.0309703,774.0,0.00011582181468838826,423.7795784473419,,307072,0.0,3250,0.00034144712844863534,-0.003481511026620865,0.0017048828303813934
,,,500.0,1763260480.2169287,,,423.96553683280945,500.0,307307,,3252,,,
0.07306969165802002,0.4825628101825714,1.18231400847435e-05,,1763260480.5179791,775.0,0.00011551459465408698,424.26658725738525,,307584,0.0,3255,0.0007260355050675571,0.0004502004012465477,-0.0005988366901874542
-0.1251469850540161,0.518836498260498,0.00046270713210105896,,1763260480.8553994,775.0,0.00011528417962836102,424.6040074825287,,307968,0.0,3259,0.003393766237422824,-0.0024142079055309296,-0.010535009205341339
,,,500.0,1763260482.0313613,,,425.77996945381165,500.0,309307,,3272,,,
-0.038909316062927246,0.5260958075523376,0.00033177342265844345,,1763260482.380683,776.0,0.00011428571451688185,426.12929105758667,,309632,0.0,3275,0.0004524376126937568,-0.0046320827677845955,-0.004328429698944092
0.03293496370315552,0.5464264750480652,0.0004285452887415886,,1763260482.4925778,776.0,0.00011420890950830653,426.2411859035492,,309760,0.0,3276,0.00016893097199499607,0.009542935527861118,0.009154871106147766
,,,500.0,1763260484.2508209,,,427.99942898750305,500.0,311807,,3296,,,
-0.057304978370666504,0.5742471218109131,6.31827861070633e-05,,1763260484.5850978,778.0,0.00011282641935395077,428.3337059020996,,312064,0.0,3299,0.0006458348361775279,0.0009821970015764236,0.0011694319546222687
0.03874152898788452,0.5323005318641663,0.0004867818206548691,,1763260488.2007658,781.0,0.00011044547136407346,431.949373960495,,316032,0.0,3338,0.004482279997318983,0.007592488080263138,-0.013656191527843475
0.044470250606536865,0.4480283260345459,0.001769229769706726,,1763260489.3612652,782.0,0.00010967742127832025,433.1098732948303,,317312,0.0,3351,0.0014429332222789526,0.0052189454436302185,0.00023194774985313416
-0.05092895030975342,0.5551905632019043,0.0005226843059062958,,1763260489.9652333,782.0,0.00010929339623544365,433.71384143829346,,317952,0.0,3357,0.0004371435206849128,-0.003847077488899231,-0.0077177993953228
-0.0685960054397583,0.572425365447998,0.0003732936456799507,,1763260490.1900997,782.0,0.00010913978621829301,433.93870782852173,,318208,0.0,3360,0.004540831781923771,0.0015348615124821663,-0.006796784698963165
1.1920928955078125e-05,0.5926230549812317,5.0727277994155884e-05,,1763260493.7278626,785.0,0.0001068356359610334,437.47647070884705,,322048,0.0,3398,977.7137451171875,0.0019148308783769608,-0.0013735182583332062
-0.003740668296813965,0.5152837038040161,0.00029616057872772217,,1763260494.0962522,785.0,0.00010660522093530744,437.8448603153229,,322432,0.0,3401,0.00031190947629511356,0.0009632278233766556,0.012207992374897003
