losses/entropy,_runtime,losses/approx_kl,_timestamp,losses/value_loss,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,losses/explained_variance,losses/policy_loss,_step,charts/SPS,global_step,losses/clipfrac,charts/episodic_return
0.22022533416748047,149.37154579162598,0.1939169317483902,1763260191.5009837,0.0014269441599026322,0.1942705363035202,,0.00023287250951398164,0.9996318221092224,-0.10633660852909088,2214,765.0,112000,0.1666666716337204,
0.21548838913440704,150.64195251464844,0.006016627885401249,1763260192.7713904,0.0003795493976213038,0.033915311098098755,,0.00023248848447110504,0.9794569611549377,-0.04608529061079025,2220,763.0,112640,0.123046875,
0.17756178975105286,151.2135512828827,0.05597884953022003,1763260193.3429892,6.705696432618424e-05,0.026431549340486526,,0.0002323348744539544,0.9988967180252075,-0.016645070165395737,2223,762.0,112896,0.095703125,
0.11349895596504211,151.70796847343445,0.006128884851932526,1763260193.8374064,0.0002547469921410084,0.03211697190999985,,0.00023218126443680376,0.9739545583724976,-0.022242367267608643,2225,761.0,113152,0.037109375,
,151.7638328075409,,1763260193.8932707,,,500.0,,,,2226,,113224,,500.0
0.17520880699157715,152.02058029174805,0.0026565678417682648,1763260194.1500182,1.3100637197494507,0.006803568452596664,,0.00023210445942822844,0.008352518081665039,0.0012579672038555145,2227,760.0,113280,0.02734375,
0.22319233417510986,153.79236769676208,0.0024056164547801018,1763260195.9218056,0.0002125441242242232,0.011275346390902996,,0.0002315668243682012,0.9821942448616028,-0.019284941256046295,2235,757.0,114176,0.00390625,
,154.91938257217407,,1763260197.0488205,,,500.0,,,,2241,,114724,,500.0
0.21338950097560883,156.46381783485413,0.006179398857057095,1763260198.5932558,0.00019584779511205852,0.02154618687927723,,0.000230798774282448,0.9935036897659302,-0.003590002655982971,2248,753.0,115456,0.013671875,
0.30070436000823975,157.00080347061157,0.016735365614295006,1763260199.1302414,0.00012374058132991195,0.013936419039964676,,0.00023064516426529735,0.976810872554779,0.00927176047116518,2250,752.0,115712,0.03125,
0.12887373566627502,157.58094835281372,0.00014191213995218277,1763260199.7103863,0.00039845489664003253,-0.0028257248923182487,,0.0002304915542481467,0.9801371097564697,0.0005335435271263123,2253,750.0,115968,0.0,
0.2195139229297638,161.9205117225647,0.008320034481585026,1763260204.0499496,0.00012118251470383257,0.010683516040444374,,0.0002292626741109416,0.9579702615737915,-0.005082651972770691,2272,743.0,118016,0.04296875,
0.0869191512465477,163.61051082611084,1.9892118871212006e-05,1763260205.7399487,0.002413202775642276,-0.0008909115567803383,,0.00022880184405948967,0.0005890727043151855,0.00020817480981349945,2280,740.0,118784,0.0,
0.15291285514831543,166.87572813034058,0.007291460409760475,1763260209.005166,0.013967102393507957,0.01940874196588993,,0.00022788018395658582,0.00038361549377441406,0.0026149265468120575,2295,734.0,120320,0.0234375,
0.2675364017486572,167.64416980743408,0.028873907402157784,1763260209.7736077,3.119071334367618e-05,0.03325367718935013,,0.00022764976893085986,0.9746959805488586,-0.060616474598646164,2298,733.0,120704,0.1328125,
0.12577056884765625,170.09526586532593,0.009613624773919582,1763260212.2247038,0.0003478340513538569,0.011571588926017284,,0.00022695852385368198,0.9968042373657227,0.04145790636539459,2310,729.0,121856,0.03125,
0.12773795425891876,170.5774266719818,0.00011999160051345825,1763260212.7068646,0.00011973045184276998,0.0018014367669820786,,0.00022680491383653134,0.9778386950492859,-0.0015809722244739532,2312,729.0,122112,0.0,
,171.62707543373108,,1763260213.7565134,,,500.0,,,,2318,,122724,,500.0
0.21591591835021973,172.9402997493744,0.0016669649630784988,1763260215.0697377,0.013754001818597317,-0.003496013581752777,,0.00022611366875935346,0.0007336735725402832,0.007593538612127304,2324,725.0,123264,0.015625,
0.23863711953163147,174.00387978553772,0.01014261320233345,1763260216.1333177,1.3696993589401245,0.05322517454624176,,0.00022580644872505218,0.0068621039390563965,-0.01882978528738022,2329,724.0,123776,0.033203125,
