losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/value_loss,losses/policy_loss,_timestamp,losses/entropy,_runtime,charts/episodic_return,losses/approx_kl,charts/learning_rate,_step,global_step,charts/SPS,charts/episodic_length
0.00020742416381835938,-0.002794809639453888,0.0,0.015519386157393456,-0.00032754987478256226,1763260172.6088972,0.14143754541873932,130.46471524238586,,4.213117063045502e-05,0.00023655913537368178,2051,105856,825.0,
0.4582238793373108,0.028460707515478134,0.03515625,0.0003113410493824631,-0.029095176607370377,1763260172.9095378,0.24954146146774292,130.7653558254242,,0.008465243503451347,0.00023648233036510646,2052,105984,824.0,
0.00022029876708984375,0.008832705207169056,0.0,0.005617158487439156,-0.014222972095012665,1763260176.5816882,0.2615385055541992,134.43750619888306,,0.0009934687986969948,0.00023540706024505198,2070,107776,815.0,
-0.4915130138397217,0.03292369842529297,0.0234375,0.0014840877847746015,-0.005301289260387421,1763260177.8789825,0.1631011962890625,135.7348005771637,,0.00916221458464861,0.00023502303520217538,2076,108416,812.0,
-1.234133243560791,-0.0006868941709399223,0.0,1.80338611244224e-05,-0.002183973789215088,1763260181.3348167,0.16853052377700806,139.19063472747803,,0.0013125250115990639,0.00023394777963403612,2093,110208,804.0,
,,,,,1763260181.3872962,,139.24311423301697,500.0,,,2094,110270,,500.0
-0.16369938850402832,0.0034801065921783447,0.05078125,4.9844151362776756e-05,-0.018033545464277267,1763260186.1838846,0.1773141473531723,144.0397026538849,,0.004214385524392128,0.00023248848447110504,2117,112640,794.0,
-0.4750702381134033,-3.622472286224365e-05,0.013671875,2.2892227207194082e-05,0.018431738018989563,1763260192.0754452,0.18975654244422913,149.93126320838928,,0.005716126412153244,0.00023072196927387267,2146,115584,782.0,
,,,,,1763260192.3658547,,150.2216727733612,500.0,,,2148,115770,,500.0
-1.5917601585388184,-0.0010833395645022392,0.0,0.0006258315406739712,0.003758201375603676,1763260193.8724163,0.19175522029399872,151.72823429107666,,0.000874086283147335,0.00023018433421384543,2155,116480,779.0,
,,,,,1763260197.2379591,,155.09377717971802,500.0,,,2172,118270,,500.0
