losses/old_approx_kl,losses/explained_variance,losses/value_loss,losses/policy_loss,_timestamp,charts/SPS,losses/clipfrac,losses/entropy,charts/episodic_length,_runtime,global_step,charts/episodic_return,charts/learning_rate,_step,losses/approx_kl
-0.02478116564452648,0.9999117255210876,0.0005310032283887267,-0.002448946237564087,1763260577.5105438,702.0,0.099609375,0.2091178148984909,,535.4368777275085,374528,,7.534561882494017e-05,4788,0.013515924103558064
-8.173100650310516e-05,0.9989300966262817,2.040592153207399e-05,-0.008678099140524864,1763260578.3442326,702.0,0.017578125,0.16085614264011383,,536.2705664634705,375296,,7.488479604944587e-05,4796,0.0008477438241243362
,,,,1763260578.6532338,,,,500.0,536.5795676708221,375619,500.0,,4799,
,,,,1763260579.740014,,,,500.0,537.6663479804993,376619,500.0,,4809,
-0.0052896300330758095,0.9999680519104004,0.001754135126248002,0.010096224024891853,1763260580.6502924,703.0,0.03125,0.12854279577732086,,538.5766263008118,377088,,7.380952592939138e-05,4813,0.0002380097284913063
0.040992140769958496,0.9992858171463013,0.0004160411190241575,-0.04060692340135574,1763260586.6142225,702.0,0.087890625,0.14712558686733246,,544.5405564308167,380928,,7.150537567213178e-05,4851,0.032356105744838715
-0.009044400416314602,0.8675154447555542,0.004843664821237326,-4.5632943511009216e-05,1763260590.1819422,702.0,0.009765625,0.17114058136940002,,548.1082761287689,383232,,7.012288551777601e-05,4874,0.0015001380816102028
,,,,1763260590.7594259,,,,500.0,548.6857597827911,383619,500.0,,4878,
,,,,1763260591.3664937,,,,500.0,549.2928276062012,384119,500.0,,4882,
0.0077644335106015205,0.9998381733894348,0.00014253704284783453,-0.015118390321731567,1763260597.9335673,700.0,0.0,0.19894887506961823,,555.8599011898041,387968,,6.728110747644678e-05,4920,0.0017455080524086952
0.020304463803768158,0.6690551042556763,0.0012849860358983278,-0.018041307106614113,1763260599.8280933,700.0,0.044921875,0.18130064010620117,,557.7544271945953,389120,,6.65898623992689e-05,4932,0.003373701125383377
0.023846415802836418,0.9990653395652771,8.97606514627114e-05,-0.014505308121442795,1763260599.9633114,700.0,0.037109375,0.24523800611495972,,557.8896453380585,389248,,6.651305739069358e-05,4933,0.009133152663707733
0.019792160019278526,0.9995151162147522,5.5954704293981194e-05,-0.028372205793857574,1763260600.6834984,700.0,0.013671875,0.23314224183559418,,558.6098322868347,389888,,6.612903234781697e-05,4939,0.0035845180973410606
,,,,1763260601.437292,,,,500.0,559.3636260032654,390619,500.0,,4946,
0.000380699522793293,0.9997179508209229,0.00011660584277706221,-0.00619954988360405,1763260602.2764137,701.0,0.0,0.19089141488075256,,560.2027475833893,391296,,6.528417725348845e-05,4953,0.0003132028505206108
0.021061314269900322,0.9995657801628113,0.00021520258451346308,-0.04154505580663681,1763260602.8675833,701.0,0.02734375,0.24243824183940887,,560.7939171791077,391808,,6.497695721918717e-05,4958,0.008812160231173038
0.05066761374473572,0.9990764856338501,0.0005347111145965755,-0.05803375691175461,1763260603.4160702,701.0,0.07421875,0.13792304694652557,,561.342404127121,392320,,6.466973718488589e-05,4963,0.033910248428583145
,,,,1763260604.2743707,,,,500.0,562.200704574585,393119,500.0,,4971,
0.0144276674836874,0.8655262589454651,0.0032610727939754725,-0.005134910345077515,1763260604.4128473,702.0,0.005859375,0.22856801748275757,,562.3391811847687,393216,,6.413210212485865e-05,4972,0.001887645572423935
0.03975003957748413,0.9992762207984924,9.350637992611155e-05,-0.04430028051137924,1763260605.12323,702.0,0.021484375,0.12838055193424225,,563.0495638847351,393856,,6.374807708198205e-05,4978,0.006604013964533806
,,,,1763260605.4139326,,,,500.0,563.3402664661407,394119,500.0,,4981,
0.054413359612226486,0.9999374151229858,0.00014440315135288984,-0.0434257946908474,1763260606.3878634,702.0,0.09375,0.16885831952095032,,564.3141973018646,395008,,6.305683200480416e-05,4989,0.014843184500932693
0.17851226031780243,0.999594509601593,0.000749827828258276,-0.057277861982584,1763260606.983301,702.0,0.076171875,0.1403784304857254,,564.9096348285675,395520,,6.27496192464605e-05,4994,0.06610031425952911
0.013719811104238033,0.9993446469306946,0.0004288936615921557,-0.04038140922784805,1763260608.5257585,703.0,0.060546875,0.19622816145420074,,566.4520924091339,396928,,6.190476415213197e-05,5008,0.013657365925610065
0.001664009876549244,0.9998278021812439,0.000383259350201115,-0.009009584784507751,1763260609.0806909,703.0,0.029296875,0.18109814822673798,,567.0070247650146,397440,,6.15975441178307e-05,5013,0.002122887410223484
,,,,1763260609.2446325,,,,500.0,567.170966386795,397619,500.0,,5015,
