charts/SPS,losses/clipfrac,_runtime,charts/episodic_return,_step,charts/learning_rate,_timestamp,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss
1080.0,0.0,151.25771474838257,,1559,0.00021881720749661326,1763260206.4239988,-0.0023657530546188354,-0.008164258673787117,-0.29241204261779785,0.5071734189987183,0.0014453679323196411,135424,,0.00015252234879881144
1080.0,0.015625,151.63114595413208,,1563,0.0002185867924708873,1763260206.79743,0.004809092730283737,0.006734621711075306,0.008983194828033447,0.4972902536392212,0.006919943727552891,135808,,0.000824894174002111
1080.0,0.0,151.85572814941406,,1566,0.00021843318245373666,1763260207.0220122,0.008263640105724335,-0.0017778538167476654,-4.661083221435547e-05,0.5146058797836304,0.001478126272559166,136064,,1072.1220703125
1080.0,0.0,153.94530844688416,,1588,0.0002170506922993809,1763260209.1115925,0.0002478063106536865,-0.000585540197789669,-0.02802884578704834,0.5407403111457825,1.7902813851833344e-05,138368,,0.0009717248030938208
1080.0,0.0,154.05584526062012,,1589,0.00021697388729080558,1763260209.2221293,-0.0018847808241844177,-0.006252136081457138,0.006414949893951416,0.5426709651947021,0.00024309009313583374,138496,,0.0002377585624344647
1080.0,0.0,154.7643759250641,,1597,0.00021651305723935366,1763260209.93066,-0.012057550251483917,-0.0010718656703829765,-0.10313427448272705,0.49130016565322876,0.0005366494879126549,139264,,0.004651426337659359
1080.0,0.0,155.69805812835693,,1607,0.0002158986171707511,1763260210.8643422,-0.001185104250907898,0.000325225293636322,0.007844746112823486,0.5000065565109253,1.8697232007980347e-05,140288,,0.0009791940683498979
,,155.84786415100098,500.0,1609,,1763260211.0141482,,,,,,140525,500.0,
1080.0,0.0,155.9241132736206,,1610,0.00021574500715360045,1763260211.0903974,0.0011088848114013672,0.005663120187819004,-0.0003063678741455078,0.51949542760849,0.000154850073158741,140544,,1279.430419921875
1080.0,0.0,156.14681434631348,,1612,0.00021559139713644981,1763260211.3130984,-0.012159846723079681,-0.0014434559270739555,0.07408308982849121,0.4792046546936035,0.0007773330435156822,140800,,0.0007377694128081203
1081.0,0.0,157.4194633960724,,1626,0.0002147465420421213,1763260212.5857475,-0.007392924278974533,-0.0008299779146909714,-0.03854489326477051,0.5855292677879333,0.001233622431755066,142208,,0.006177674513310194
1081.0,0.00390625,158.5746567249298,,1638,0.0002139784919563681,1763260213.7409408,0.006284803152084351,-0.016858883202075958,0.4175329804420471,0.5292007923126221,0.0023102592676877975,143488,,0.00011174965766258538
1081.0,0.0,163.18476009368896,,1687,0.0002109830966219306,1763260218.3510442,-0.01826847903430462,0.0017484882846474648,0.09028792381286621,0.4422387182712555,0.0018444126471877098,148480,,0.00030293507734313607
,,167.30346536636353,500.0,1732,,1763260222.4697495,,,,,,153025,500.0,
1082.0,0.0,168.54863595962524,,1745,0.0002074500807793811,1763260223.71492,4.2986124753952026e-05,-6.426218897104263e-05,-0.19979798793792725,0.37104496359825134,4.714634269475937e-05,154368,,0.0009407245088368654
1082.0,0.0,169.22301816940308,,1753,0.00020698925072792917,1763260224.3893023,0.0019020140171051025,-0.003647509030997753,-4.756450653076172e-05,0.450036883354187,0.0001930156722664833,155136,,449.3441162109375
1082.0,0.0,169.36865186691284,,1754,0.00020691244571935385,1763260224.534936,-0.009045906364917755,0.006311651319265366,0.36730486154556274,0.4562576711177826,0.000613851472735405,155264,,0.003662311704829335
