losses/old_approx_kl,charts/learning_rate,losses/approx_kl,losses/policy_loss,charts/episodic_return,_timestamp,losses/entropy,losses/clipfrac,charts/SPS,losses/value_loss,global_step,_runtime,losses/explained_variance,charts/episodic_length,_step
,,,,500.0,1763260158.782922,,,,,83033,103.93233895301819,,500.0,1125
0.004438465461134911,0.00024976959684863687,0.0036041121929883957,0.010690830647945404,,1763260159.5766563,0.5122549533843994,0.0,1060.0,0.0006511267274618149,83840,104.72607326507568,0.10346299409866333,,1133
,,,,500.0,1763260160.6342206,,,,,85033,105.78363752365112,,500.0,1145
,,,,500.0,1763260162.4223928,,,,,87033,107.57180976867676,,500.0,1164
-0.012720644474029541,0.00024784947163425386,0.0017247051000595093,0.019662223756313324,,1763260162.494741,0.4940938949584961,0.0,1061.0,1239.617919921875,87040,107.64415788650513,-0.00528264045715332,,1165
0.013951253145933151,0.00024738864158280194,0.0006964132189750671,0.0011519864201545715,,1763260163.2168612,0.4552828073501587,0.0,1061.0,0.0012319735251367092,87808,108.3662781715393,0.13736003637313843,,1172
-0.0016217026859521866,0.0002468510065227747,6.66305422782898e-05,0.0016772784292697906,,1763260164.0087857,0.42533108592033386,0.0,1061.0,0.004601860884577036,88704,109.15820264816284,0.12352520227432251,,1181
-0.003962642513215542,0.0002465437864884734,8.880067616701126e-05,0.0016263723373413086,,1763260164.4951952,0.45704013109207153,0.0,1061.0,0.004165217280387878,89216,109.64461207389832,0.027527272701263428,,1186
-0.004282565787434578,0.00024585254141129553,0.0015356000512838364,0.00380156934261322,,1763260165.5429275,0.47820645570755005,0.0,1062.0,0.0018550020176917315,90368,110.69234442710876,-0.3256150484085083,,1197
0.005404776893556118,0.00024485407629981637,0.0006797751411795616,-0.008398152887821198,,1763260167.0379076,0.4982355833053589,0.0,1063.0,0.00410867016762495,92032,112.18732452392578,-89.03791046142578,,1213
0.00013693049550056458,0.00024477727129124105,0.000330902636051178,0.004831939935684204,,1763260167.1512895,0.510162889957428,0.0,1063.0,5.140091889188625e-05,92160,112.30070638656616,0.0005604028701782227,,1215
0.00208874698728323,0.00024408602621406317,0.0011159302666783333,-0.002266082912683487,,1763260168.195275,0.5015341639518738,0.0,1063.0,0.0016990057192742825,93312,113.34469199180603,-0.2590585947036743,,1226
-0.007503286004066467,0.0002438556111883372,0.0022119060158729553,-0.013545284979045391,,1763260168.570716,0.4807676076889038,0.0,1063.0,0.006163226440548897,93696,113.72013282775879,0.010835409164428711,,1230
-0.00125015527009964,0.00024362519616261125,0.00010868161916732788,0.00014377199113368988,,1763260168.9043796,0.4901289641857147,0.0,1063.0,971.378173828125,94080,114.0537965297699,3.2782554626464844e-05,,1234
0.002480083145201206,0.00024293395108543336,0.0003794124349951744,-0.001410631462931633,,1763260169.95118,0.5512110590934753,0.0,1064.0,0.0052325488068163395,95232,115.10059690475464,0.25451427698135376,,1245
-0.003836418502032757,0.00024239631602540612,0.00019282754510641098,-0.0020662471652030945,,1763260170.768449,0.4636973440647125,0.0,1064.0,694.3743286132812,96128,115.91786599159241,0.0002792477607727051,,1254
-0.001044384203851223,0.00024132104590535164,0.000947524793446064,-0.009484540671110153,,1763260172.3679476,0.46995481848716736,0.0078125,1065.0,0.0003717605140991509,97920,117.51736450195312,0.4224472641944885,,1271
0.003336923196911812,0.0002396313357166946,4.429556429386139e-05,-0.001012500375509262,,1763260174.9463096,0.485326886177063,0.0,1066.0,0.006226222030818462,100736,120.09572649002075,-0.025238513946533203,,1299
0.0025919917970895767,0.00023717357544228435,0.0006654057651758194,-0.007100149989128113,,1763260178.6462119,0.522594153881073,0.0,1067.0,0.0012420295970514417,104832,123.79562878608704,0.09795939922332764,,1339
0.008364353328943253,0.00023709677043370903,0.002016279846429825,0.018115580081939697,,1763260178.7927644,0.41558200120925903,0.005859375,1067.0,0.00015252559387590736,104960,123.94218134880066,0.37560683488845825,,1340
-0.005755101330578327,0.00023655913537368178,0.00013045873492956161,0.004585839807987213,,1763260179.5765913,0.4384899437427521,0.0,1068.0,0.0005595534457825124,105856,124.72600817680359,0.41462641954421997,,1349
0.008887311443686485,0.00023571428027935326,0.00017904862761497498,-0.0013341307640075684,,1763260180.8858619,0.3917502760887146,0.0,1068.0,0.005325382575392723,107264,126.03527879714966,-0.0022972822189331055,,1363
0.015896422788500786,0.00023556067026220262,0.001097625121474266,-0.013711865060031414,,1763260181.107633,0.43114012479782104,0.00390625,1068.0,0.00018068695499096066,107520,126.25705003738403,-0.7029292583465576,,1365
-0.001861664466559887,0.00023525345022790134,0.003742423839867115,0.008658161386847496,,1763260181.554544,0.42982879281044006,0.00390625,1068.0,0.0002636105637066066,108032,126.70396089553833,-1.0443193912506104,,1370
,,,,500.0,1763260182.412196,,,,,109033,127.56161284446716,,500.0,1380
-0.0003075040876865387,0.00023463901015929878,0.0001202709972858429,0.006020933389663696,,1763260182.488669,0.4554021656513214,0.0,1069.0,999.268798828125,109056,127.63808584213257,0.0005615353584289551,,1381
0.010380649007856846,0.00023417819465976208,0.0005380427464842796,-0.0015566125512123108,,1763260183.1967587,0.4684246778488159,0.001953125,1069.0,0.0009784880094230175,109824,128.34617567062378,-0.08266270160675049,,1388
,,,,500.0,1763260183.7827547,,,,,110533,128.93217158317566,,500.0,1395
0.00984236691147089,0.0002334869495825842,0.0012221885845065117,0.00041146203875541687,,1763260184.2425728,0.5367538332939148,0.00390625,1069.0,0.00021839815599378198,110976,129.39198970794678,-1.9744610786437988,,1399
,,,,500.0,1763260184.7091477,,,,,111533,129.85856461524963,,500.0,1405
-0.0031355060636997223,0.00023149001935962588,0.0009626764804124832,-0.000560373067855835,,1763260187.2695358,0.6104414463043213,0.0,1070.0,0.0014823009259998798,114304,132.41895270347595,-0.2692897319793701,,1432
0.01061105728149414,0.00023141321435105056,0.0005333460867404938,0.0029072649776935577,,1763260187.379467,0.5837673544883728,0.0,1070.0,0.00031504835351370275,114432,132.528883934021,0.046247661113739014,,1433
0.0017645955085754395,0.00023018433421384543,0.00010532885789871216,-0.00020838528871536255,,1763260189.259698,0.5686845779418945,0.0,1070.0,0.0054023670963943005,116480,134.40911483764648,-0.11065018177032471,,1455
