losses/clipfrac,_runtime,charts/learning_rate,_timestamp,losses/policy_loss,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/old_approx_kl,charts/episodic_return,_step
0.0,224.87577176094055,0.00024047619081102312,1763260283.2068598,0.0005850121378898621,0.0005027931183576584,99328,,390.1665344238281,0.004035830497741699,500.0,0.37777021527290344,-0.003691965714097023,,1230
,225.40430879592896,,1763260283.7353969,,,99718,500.0,,,,,,500.0,1234
0.0078125,226.7260615825653,0.00023955453070811927,1763260285.0571496,-0.007316760718822479,0.001440117135643959,100864,,0.004800670780241489,0.8823562860488892,503.0,0.2572457790374756,-0.0011226143687963486,,1245
0.0,227.77995991706848,0.00023901689564809203,1763260286.111048,-0.004815785214304924,6.665289402008057e-05,101760,,321.0120544433594,0.0006122589111328125,505.0,0.3878571689128876,0.00014715269207954407,,1254
0.001953125,229.7712652683258,0.00023794162552803755,1763260288.1023533,-0.03066488914191723,0.002445913851261139,103552,,0.0008560274727642536,-1.753859519958496,509.0,0.3969077169895172,0.03712695837020874,,1271
0.0,233.70196914672852,0.0002362519153393805,1763260292.0330572,4.801899194717407e-06,0.0002019023522734642,106368,,0.012101980857551098,-2.6852352619171143,513.0,0.3666813373565674,0.0014746235683560371,,1299
0.0078125,241.06426072120667,0.00023379416961688548,1763260299.3953488,-0.010661199688911438,0.004822046495974064,110464,,0.005816067103296518,0.19268518686294556,514.0,0.40680909156799316,0.04849151521921158,,1339
0.0,241.28904485702515,0.00023371736460831016,1763260299.620133,-0.009387418627738953,0.0008551152423024178,110592,,0.0013032540446147323,0.4505583643913269,514.0,0.4248647689819336,0.004814698360860348,,1340
0.01953125,242.87011075019836,0.00023317972954828292,1763260301.2011988,0.006147850304841995,0.007149348966777325,111488,,0.0009473880636505783,-1.3933308124542236,515.0,0.47880294919013977,0.028654204681515694,,1349
0.0,244.89509868621826,0.0002323348744539544,1763260303.2261868,-0.026124941185116768,0.006663779728114605,112896,,0.007961073890328407,0.0800166130065918,516.0,0.5022069215774536,0.04515942558646202,,1363
0.041015625,245.1797273159027,0.00023218126443680376,1763260303.5108154,0.034166961908340454,0.00817385595291853,113152,,0.0004898536717519164,-0.028469085693359375,517.0,0.507914125919342,0.00528901070356369,,1365
0.0,245.79729628562927,0.00023187404440250248,1763260304.1283844,-0.00531386211514473,0.0006056763231754303,113664,,0.0002767639234662056,-0.8476862907409668,518.0,0.43571776151657104,0.006283309310674667,,1370
0.0,247.1020109653473,0.00023125960433389992,1763260305.433099,-0.0072930678725242615,0.0005263956263661385,114688,,0.0003172517754137516,-0.1326659917831421,519.0,0.4945577085018158,0.0032035792246460915,,1380
,247.1327793598175,,1763260305.4638674,,,114718,500.0,,,,,,500.0,1381
0.0546875,248.10161709785461,0.000230798774282448,1763260306.4327052,-0.017650093883275986,0.009024799801409245,115456,,0.0049352762289345264,-2.021834135055542,520.0,0.3624061942100525,-0.027032852172851562,,1388
,248.89502501487732,,1763260307.226113,,,116218,500.0,,,,,,500.0,1395
0.0,249.42089247703552,0.0002301075292052701,1763260307.7519805,0.0022689849138259888,0.0004989812150597572,116608,,0.000314759265165776,0.5661901831626892,523.0,0.3655214309692383,0.0034260740503668785,,1399
,250.0369153022766,,1763260308.3680034,,,117218,500.0,,,,,,500.0,1405
0.021484375,253.36774516105652,0.00022811059898231179,1763260311.6988332,-0.013248028233647346,0.0045259250327944756,119936,,0.010373925790190697,-0.830602765083313,528.0,0.36745932698249817,-0.01138529647141695,,1432
0.009765625,253.51472234725952,0.00022803379397373646,1763260311.8458104,0.0064920783042907715,0.0023241527378559113,120064,,0.000863999652210623,-0.9794483184814453,528.0,0.40204164385795593,0.013930687680840492,,1433
0.0,255.9270842075348,0.00022672810882795602,1763260314.2581723,0.006699316203594208,0.0007975967600941658,122240,,289.544921875,0.0005414485931396484,532.0,0.5334646701812744,0.0002731168642640114,,1455
0.0,256.05342173576355,0.0002266513038193807,1763260314.3845098,-0.0058721862733364105,0.0012408560141921043,122368,,0.010832470841705799,0.24465245008468628,533.0,0.4990968406200409,-0.007563016377389431,,1456
0.009765625,256.17760586738586,0.00022657449881080538,1763260314.508694,0.017122793942689896,0.005783055908977985,122496,,0.00026813868316821754,-0.5262336730957031,533.0,0.44557738304138184,-0.008517158217728138,,1457
0.0,264.8600022792816,0.00022311827342491597,1763260323.1910903,0.0023765526711940765,0.0003096777945756912,128256,,293.5082702636719,-0.0003643035888671875,538.0,0.4558834135532379,-0.007968608289957047,,1514
0.005859375,266.17865347862244,0.00022265744337346405,1763260324.5097415,-0.0023015402257442474,0.0025885477662086487,129024,,0.00013190123718231916,-0.6276581287384033,538.0,0.5157730579376221,0.004385311156511307,,1521
0.001953125,266.8467779159546,0.0002224270283477381,1763260325.177866,-0.004790924489498138,0.0023453794419765472,129408,,0.012157797813415527,-1.1636056900024414,538.0,0.4904562532901764,-0.0025125741958618164,,1525
0.068359375,267.2661075592041,0.00022227341833058745,1763260325.5971956,5.2288174629211426e-05,0.01405312865972519,129664,,0.00037576977047137916,-0.31366288661956787,538.0,0.40054237842559814,0.045438237488269806,,1527
0.0,267.5245416164398,0.00022219661332201213,1763260325.8556297,0.008708840236067772,0.000506189651787281,129792,,372.51641845703125,-0.002988100051879883,538.0,0.5239213109016418,-0.003445773385465145,,1529
0.0,268.3042287826538,0.00022188940783962607,1763260326.6353168,-0.019846118986606598,0.0018823472782969475,130304,,109.16459655761719,-0.0013282299041748047,538.0,0.4997172951698303,0.009912119247019291,,1534
0.017578125,268.62301993370056,0.00022173579782247543,1763260326.954108,0.020587049424648285,0.005789760500192642,130560,,0.0004501749062910676,0.2002144455909729,539.0,0.5418880581855774,0.009838621132075787,,1536
,269.3640351295471,,1763260327.6951232,,,131218,500.0,,,,,,500.0,1543
0.005859375,269.65182733535767,0.0002211981627624482,1763260327.9829154,0.0035343263298273087,0.0014575337991118431,131456,,0.01678592897951603,-0.8152076005935669,540.0,0.478715717792511,0.017527734860777855,,1545
0.017578125,269.801744222641,0.00022112135775387287,1763260328.1328323,-0.009897882118821144,0.007193952798843384,131584,,0.000425038393586874,-0.11546218395233154,540.0,0.44839099049568176,0.009643590077757835,,1546
0.001953125,271.76644587516785,0.000220430112676695,1763260330.097534,-0.00474122166633606,0.0035079428926110268,132736,,498.4695739746094,-0.0006136894226074219,541.0,0.42002832889556885,0.0036446237936615944,,1558
0.0,271.9742319583893,0.00022035330766811967,1763260330.30532,-0.022880040109157562,0.0015277387574315071,132864,,0.012263249605894089,-0.9260424375534058,541.0,0.42910876870155334,-0.0021660150960087776,,1559
0.0,272.56086587905884,0.0002201228926423937,1763260330.891954,0.0021811313927173615,0.001081099733710289,133248,,381.7434387207031,-0.0009558200836181641,541.0,0.4127390384674072,0.007138477638363838,,1563
0.0,273.1445343494415,0.00021989247761666775,1763260331.4756224,0.0009507462382316589,0.0001402236521244049,133632,,0.0003132066340185702,-0.09287261962890625,541.0,0.41803646087646484,-0.003958588466048241,,1566
0.0078125,275.94615864753723,0.0002185867924708873,1763260334.2772467,0.006678134202957153,0.0031138313934206963,135808,,492.91082763671875,-0.0007252693176269531,544.0,0.4422910809516907,0.0052559105679392815,,1588
0.001953125,276.08613538742065,0.00021850998746231198,1763260334.4172235,0.0036013536155223846,0.001975693739950657,135936,,0.009250364266335964,0.07880347967147827,544.0,0.5462452173233032,-0.0034397440031170845,,1589
,277.003799200058,,1763260335.3348873,,,136718,500.0,,,,,,500.0,1597
0.0078125,278.21328496932983,0.0002174347173422575,1763260336.544373,0.0030834637582302094,0.0014894390478730202,137728,,431.5096740722656,-0.00035190582275390625,547.0,0.37449780106544495,-0.005650372244417667,,1607
0.01171875,278.4788236618042,0.00021728110732510686,1763260336.8099117,-0.01936839148402214,0.004121758043766022,137984,,0.0005660617025569081,-0.1382434368133545,547.0,0.4803980886936188,0.004631705582141876,,1609
