charts/learning_rate,global_step,_timestamp,losses/clipfrac,_step,losses/explained_variance,charts/episodic_length,charts/SPS,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_return,losses/value_loss,_runtime,losses/entropy
0.0002235791034763679,127488,1763260329.196192,0.01171875,1525,-0.07575130462646484,,521.0,-0.006957005709409714,0.004198827780783176,-0.013230121694505215,,0.00037444158806465566,270.7597510814667,0.48607009649276733
,127622,1763260329.4695635,,1527,,500.0,,,,,500.0,,271.03312253952026,
0.00022334868845064193,127872,1763260329.8933287,0.0,1529,0.001521289348602295,,521.0,-0.02472248300909996,0.002038143575191498,-0.012096734717488289,,0.0017286429647356272,271.4568877220154,0.5511847734451294
0.00022304146841634065,128384,1763260330.799905,0.0,1534,-0.02421748638153076,,521.0,0.0005217958241701126,4.1387975215911865e-06,-0.00035144761204719543,,0.001007369952276349,272.36346411705017,0.5746816992759705
,128622,1763260331.0677464,,1536,,500.0,,,,,500.0,,272.6313054561615,
0.0002225038333563134,129280,1763260332.4101126,0.001953125,1543,-0.002214193344116211,,522.0,-0.02813941240310669,0.0024085892364382744,0.019574016332626343,,0.004814473446458578,273.9736716747284,0.5570196509361267
0.00022235022333916277,129536,1763260332.6844547,0.0,1545,-0.1778428554534912,,522.0,-0.018765784800052643,0.0018587345257401466,0.015035959891974926,,0.00017048038716893643,274.2480137348175,0.448350191116333
,129622,1763260332.7268977,,1546,,500.0,,,,,500.0,,274.2904567718506,
0.0002215821878053248,130816,1763260334.1999893,0.0,1558,-0.42546141147613525,,524.0,-0.00036824122071266174,0.0006278762593865395,-0.008386311121284962,,0.006076449528336525,275.763548374176,0.460663765668869
0.00022150538279674947,130944,1763260334.34718,0.0,1559,-0.2370767593383789,,524.0,-0.0020400583744049072,6.0235150158405304e-05,-0.0029821107164025307,,0.00010884343646466732,275.9107389450073,0.4532981514930725
0.0002212749677710235,131328,1763260334.8208668,0.0,1563,0.07102257013320923,,525.0,0.002574000507593155,0.0010018395259976387,-0.01283418107777834,,0.004982571117579937,276.3844258785248,0.4953365623950958
,131622,1763260335.1243773,,1566,,500.0,,,,,500.0,,276.68793630599976,
0.0002197388675995171,133888,1763260337.7337687,0.001953125,1588,0.07676255702972412,,529.0,-0.003449268639087677,0.0021356316283345222,0.0008139768615365028,,0.00044256882392801344,279.2973277568817,0.48964443802833557
0.0002196620625909418,134016,1763260337.8614283,0.0,1589,0.048329830169677734,,529.0,0.009230304509401321,0.0004801778122782707,0.001278710551559925,,0.00013181523536331952,279.4249873161316,0.4195547103881836
0.00021920123253948987,134784,1763260338.7209108,0.0,1597,-0.022600412368774414,,530.0,-0.01797165349125862,0.0013148980215191841,0.012408102862536907,,0.004688389599323273,280.28446984291077,0.44982990622520447
0.0002185867924708873,135808,1763260340.3525584,0.0,1607,-0.047051191329956055,,531.0,-0.0011113770306110382,0.0003210017457604408,0.004715261049568653,,0.0047828140668570995,281.9161174297333,0.4594525694847107
0.00021843318245373666,136064,1763260340.7827764,0.0,1609,0.04521751403808594,,531.0,0.0018821284174919128,0.0010057846084237099,-0.006920394487679005,,0.00010682405991246924,282.3463354110718,0.4331059753894806
,136122,1763260340.8326554,,1610,,500.0,,,,,500.0,,282.39621448516846,
0.00021827957243658602,136320,1763260341.2390583,0.0,1612,-0.21433699131011963,,531.0,-0.004908448085188866,8.227862417697906e-05,0.0013150908052921295,,0.005329146981239319,282.80261731147766,0.4670555293560028
0.0002174347173422575,137728,1763260343.7918863,0.0,1626,5.0008296966552734e-05,,531.0,0.002397015690803528,0.0006529539823532104,-0.005959376692771912,,205.75047302246094,285.35544538497925,0.4675706923007965
0.0002166666672565043,139008,1763260346.2219214,0.0,1638,-0.05434310436248779,,531.0,-0.002652585506439209,0.0009458763524889946,0.007494005374610424,,0.00012667212286032736,287.7854804992676,0.4663507640361786
0.0002136712719220668,144000,1763260353.064851,0.0,1687,-0.0030933618545532227,,536.0,-0.005708768963813782,0.0005505867302417755,-0.002130884677171707,,0.0004620261606760323,294.6284101009369,0.47662538290023804
0.00021090629161335528,148608,1763260359.4320989,0.0,1732,0.22912859916687012,,541.0,-0.012601600959897041,0.0028024474158883095,-0.0035820240154862404,,0.00011535716475918889,300.9956579208374,0.4116365909576416
