losses/entropy,losses/value_loss,charts/episodic_length,_runtime,losses/approx_kl,charts/learning_rate,losses/explained_variance,charts/SPS,losses/clipfrac,_step,losses/policy_loss,charts/episodic_return,global_step,_timestamp,losses/old_approx_kl
0.472470760345459,0.007950433529913425,,215.85086345672607,0.0025007277727127075,0.00023801843053661287,-0.3295673131942749,546.0,0.001953125,1213,-0.0073345378041267395,,103424,1763260274.1867125,-0.012593645602464676
0.4804927706718445,0.000285907881334424,,216.2863998413086,0.001970011740922928,0.00023786482051946223,0.14970040321350098,546.0,0.0,1215,-0.0076967328786849976,,103680,1763260274.622249,-0.011348066851496696
,,500.0,218.07790517807007,,,,,,1226,,500.0,104756,1763260276.4137542,
0.5030034780502319,0.00021890569769311696,,218.9316909313202,0.006950044073164463,0.00023694316041655838,0.1190977692604065,546.0,0.025390625,1230,-0.0034394338726997375,,105216,1763260277.26754,-0.010369463823735714
0.5304981470108032,0.00029093632474541664,,219.6002869606018,0.0011693183332681656,0.00023671274539083242,0.02786564826965332,546.0,0.0,1234,-0.024212127551436424,,105600,1763260277.936136,0.006522724404931068
0.4690301716327667,0.0001977799111045897,,221.47088146209717,0.00039612874388694763,0.00023602150031365454,0.3338286280632019,547.0,0.0,1245,-0.0063046738505363464,,106752,1763260279.8067305,0.002096375450491905
0.4727329611778259,0.000248340074904263,,223.65369248390198,0.0008225962519645691,0.0002354838652536273,-0.18176841735839844,545.0,0.0,1254,-0.004324428737163544,,107648,1763260281.9895415,-0.01418989896774292
0.4586138129234314,558.8541870117188,,226.04518842697144,0.0024801576510071754,0.00023448540014214814,0.00043576955795288086,547.0,0.001953125,1271,0.022512495517730713,,109312,1763260284.3810375,0.0032987287268042564
0.4896836280822754,416.00726318359375,500.0,229.92100167274475,0.00016798358410596848,0.000232718899496831,-0.00013709068298339844,551.0,0.0,1299,0.0023271553218364716,500.0,112256,1763260288.2568507,0.001194116659462452
0.4997941851615906,215.081787109375,,236.33888268470764,1.5342608094215393e-05,0.00023026113922242075,0.0003230571746826172,554.0,0.0,1339,-0.0005241930484771729,,116352,1763260294.6747317,-0.0002583395689725876
0.5132348537445068,0.009019281715154648,,236.53894448280334,0.002055675722658634,0.00023018433421384543,-0.056810975074768066,554.0,0.0,1340,0.003113638609647751,,116480,1763260294.8747935,0.0029351189732551575
0.5476784110069275,63.95550537109375,,238.02971744537354,0.00043109338730573654,0.0002296466991538182,-0.00010597705841064453,554.0,0.0,1349,0.0006783213466405869,,117376,1763260296.3655665,-0.00672613549977541
0.4941592514514923,627.7325439453125,,240.2713794708252,0.0019134152680635452,0.00022880184405948967,0.00022846460342407227,555.0,0.0,1363,0.017932042479515076,,118784,1763260298.6072285,-0.00010184571146965027
0.4967115521430969,0.0005562505102716386,,240.66051769256592,0.0016112728044390678,0.00022864823404233903,-0.07863950729370117,555.0,0.0,1365,0.0032890336588025093,,119040,1763260298.9963667,-0.007085773162543774
0.49186182022094727,0.000372257549315691,,241.52979612350464,0.007079689763486385,0.00022834101400803775,-0.05165266990661621,555.0,0.01953125,1370,-0.012675054371356964,,119552,1763260299.8656452,0.009715157561004162
0.49253568053245544,0.0003111977712251246,,243.11089205741882,0.00015145260840654373,0.00022772657393943518,0.04331547021865845,556.0,0.0,1380,-0.0008125714957714081,,120576,1763260301.446741,-0.003944084979593754
0.4340246319770813,0.0002356858749408275,,243.2956039905548,0.002729298546910286,0.00022764976893085986,-0.3210623264312744,556.0,0.0,1381,-0.032069310545921326,,120704,1763260301.631453,-0.00807628408074379
0.44716933369636536,407.7358703613281,,244.27340507507324,0.003775341436266899,0.00022726574388798326,-8.26120376586914e-05,557.0,0.001953125,1388,-0.023944882676005363,,121344,1763260302.6092541,0.017793700098991394
0.5548958778381348,0.00021698782802559435,,245.20992946624756,0.006639053113758564,0.00022680491383653134,0.19664978981018066,558.0,0.017578125,1395,-0.022863246500492096,,122112,1763260303.5457785,0.03769378364086151
0.42374280095100403,0.005989273078739643,,245.68429327011108,0.0006954362615942955,0.00022657449881080538,-0.08962035179138184,558.0,0.0,1399,-0.009559541940689087,,122496,1763260304.0201423,0.002716674469411373
0.4650184214115143,0.0002412971225567162,,246.52180671691895,0.0008239326998591423,0.00022619047376792878,-0.2415064573287964,559.0,0.0,1405,0.002602139487862587,,123136,1763260304.8576558,-0.01191107276827097
0.40555351972579956,364.757080078125,,250.04586338996887,0.0013630129396915436,0.00022457756858784705,-4.076957702636719e-05,562.0,0.0,1432,-0.0202898271381855,,125824,1763260308.3817124,0.005718952044844627
0.4921485185623169,0.007795893587172031,,250.2022476196289,0.0007207337766885757,0.00022450076357927173,-0.07708227634429932,562.0,0.0,1433,0.0007098270580172539,,125952,1763260308.5380967,0.00443878211081028
0.42468833923339844,345.0420837402344,500.0,253.20658421516418,0.0002608178183436394,0.00022311827342491597,4.9233436584472656e-05,565.0,0.0,1455,-0.005297340452671051,500.0,128256,1763260311.5424333,5.67389652132988e-05
0.49381184577941895,0.010359356179833412,,253.3658585548401,0.003502964973449707,0.00022304146841634065,-0.04280877113342285,565.0,0.00390625,1456,-6.81169331073761e-05,,128384,1763260311.7017076,0.017650596797466278
0.48059535026550293,0.00012839229020755738,,253.52570509910583,0.0007225610315799713,0.00022296466340776533,-0.1546926498413086,565.0,0.0,1457,-0.0004242677241563797,,128512,1763260311.8615541,-0.0022077467292547226
0.4667520225048065,387.6943664550781,,261.13017892837524,0.0001230267807841301,0.00021950845257379115,0.00019216537475585938,572.0,0.0,1514,0.002241935580968857,,134272,1763260319.466028,-0.000984244979918003
0.4653449058532715,0.0002340932551305741,,262.31621503829956,0.001270572654902935,0.00021904762252233922,-0.8980194330215454,572.0,0.00390625,1521,-0.02044978365302086,,135040,1763260320.652064,-0.0006548678502440453
0.47498664259910583,0.004772874526679516,,262.94130539894104,2.6278197765350342e-05,0.00021881720749661326,0.3125467896461487,572.0,0.0,1525,-0.0009819567203521729,,135424,1763260321.2771544,0.00032827630639076233
0.4817029535770416,0.00024451251374557614,,263.330687046051,0.0009728213772177696,0.00021866359747946262,-0.18294262886047363,572.0,0.0,1527,0.00792338140308857,,135680,1763260321.666536,-0.002443120814859867
0.49567678570747375,494.6845703125,,263.5677092075348,0.00027742795646190643,0.0002185867924708873,-0.0003255605697631836,572.0,0.0,1529,-0.0023369938135147095,,135808,1763260321.9035583,-0.00541103258728981
0.4385654330253601,122.03439331054688,,264.3779265880585,0.000920906662940979,0.00021827957243658602,-6.16312026977539e-05,572.0,0.0,1534,0.013365201652050018,,136320,1763260322.7137756,-0.0055322106927633286
0.4479912519454956,0.00024847706663422287,,264.7482807636261,0.0006775939837098122,0.00021812596241943538,0.13318133354187012,573.0,0.0,1536,-0.003423728048801422,,136576,1763260323.0841298,0.008393838070333004
,,500.0,265.7889153957367,,,,,,1543,,500.0,137256,1763260324.1247644,
0.5532435178756714,0.006438209675252438,,266.1960551738739,0.00011379271745681763,0.00021758832735940814,0.0512700080871582,573.0,0.0,1545,0.002584226429462433,,137472,1763260324.5319042,0.004927316680550575
0.5006610155105591,0.0004726847109850496,,266.39487743377686,0.002294749952852726,0.00021751152235083282,-0.15180110931396484,573.0,0.017578125,1546,-0.009969279170036316,,137600,1763260324.7307265,0.0013745902106165886
,,500.0,268.15778279304504,,,,,,1558,,500.0,138756,1763260326.4936318,
0.5526744723320007,238.78990173339844,,268.3419132232666,0.0007474403828382492,0.00021674347226507962,3.635883331298828e-05,574.0,0.0,1559,0.022082261741161346,,138880,1763260326.6777623,0.0032914280891418457
0.5009750723838806,361.6889343261719,,268.83871245384216,0.00011945609003305435,0.00021651305723935366,0.00012499094009399414,574.0,0.0,1563,-0.00696009024977684,,139264,1763260327.1745615,0.00036285165697336197
0.49388444423675537,8.097148383967578e-05,,269.27673268318176,0.00027440208941698074,0.0002162826422136277,-0.403186559677124,575.0,0.0,1566,0.00021848268806934357,,139648,1763260327.6125817,-0.0009458558633923531
0.5433306694030762,244.15496826171875,,272.6251757144928,0.0002168845385313034,0.00021497695706784725,-0.0001842975616455078,576.0,0.0,1588,-0.0014566536992788315,,141824,1763260330.9610248,-0.004388550296425819
0.48102498054504395,0.006405632942914963,,272.7687120437622,0.0008596265688538551,0.00021490015205927193,0.0928698182106018,576.0,0.0,1589,-0.0009515807032585144,,141952,1763260331.104561,0.016607236117124557
,,500.0,273.9905049800873,,,,,,1597,,500.0,142756,1763260332.326354,
,,500.0,275.23636054992676,,,,,,1607,,500.0,143756,1763260333.5722096,
0.5134726166725159,0.00538440840318799,,275.564080953598,0.0004092389717698097,0.0002136712719220668,0.10743445158004761,578.0,0.0,1609,-0.008478663861751556,,144000,1763260333.89993,0.0045114243403077126
0.47962692379951477,0.0004657189710997045,,275.717915058136,0.0060991570353507996,0.0002135944669134915,-0.33704984188079834,578.0,0.01171875,1610,-0.013249881565570831,,144128,1763260334.053764,0.010160978883504868
0.519848108291626,0.007738674990832806,,276.00403904914856,0.00028053298592567444,0.00021344085689634085,0.014516830444335938,578.0,0.0,1612,-0.0020830631256103516,,144384,1763260334.339888,0.0030351802706718445
