charts/SPS,losses/clipfrac,charts/episodic_length,losses/approx_kl,_step,losses/value_loss,losses/entropy,charts/learning_rate,losses/old_approx_kl,_runtime,charts/episodic_return,global_step,losses/explained_variance,losses/policy_loss,_timestamp
523.0,0.015625,,0.008233393542468548,1213,0.0005176228005439043,0.5167478322982788,0.00023717357544228435,0.002465548925101757,226.99628591537476,,104832,0.22575724124908447,-0.0022776424884796143,1763260285.456318
,,500.0,,1215,,,,,227.17630624771118,500.0,105018,,,1763260285.6363382
525.0,0.0,,0.000380832701921463,1226,195.6705780029297,0.5123116970062256,0.00023640552535653114,0.003368344157934189,228.52993035316467,,106112,0.00021606683731079102,0.0020185261964797974,1763260286.9899623
,,500.0,,1230,,,,,228.98835825920105,500.0,106518,,,1763260287.4483902
527.0,0.005859375,,0.00331826601177454,1234,0.00026230281218886375,0.5126163959503174,0.0002358678902965039,0.021700136363506317,229.54726767539978,,107008,-0.46764981746673584,0.005331471562385559,1763260288.0072997
529.0,0.0,,0.0003227097913622856,1245,686.4071655273438,0.4855470359325409,0.00023525345022790134,-0.0009030671790242195,230.79542589187622,,108032,-0.00013911724090576172,0.002102963626384735,1763260289.2554579
,,500.0,,1254,,,,,231.8737132549286,500.0,109018,,,1763260290.3337452
530.0,0.0,,5.3940340876579285e-05,1271,0.003339417278766632,0.4360227584838867,0.00023364055959973484,-0.00046079978346824646,235.21970105171204,,110720,-0.3109015226364136,0.00011122971773147583,1763260293.679733
531.0,0.001953125,,0.000907200388610363,1299,324.3022766113281,0.4905247688293457,0.0002319508494110778,-0.001945878379046917,240.11738109588623,,113536,-0.00020372867584228516,0.007783185690641403,1763260298.577413
535.0,0.0,,0.0001404760405421257,1339,118.4228286743164,0.4885372519493103,0.00022949308913666755,0.0013619130477309227,246.2139377593994,,117632,5.608797073364258e-05,-0.004774600267410278,1763260304.6739697
535.0,0.0,,0.0016226833686232567,1340,0.004232879262417555,0.46231335401535034,0.00022941628412809223,0.0004574144259095192,246.36745285987854,,117760,-0.08333492279052734,-0.003995202481746674,1763260304.8274848
537.0,0.0,,0.00015812739729881287,1349,0.00290178251452744,0.43733862042427063,0.000228878649068065,0.00216766819357872,247.478093624115,,118656,-0.18400299549102783,-0.0019413530826568604,1763260305.9381256
539.0,0.0,,0.0006498508155345917,1363,250.70645141601562,0.4873243272304535,0.00022803379397373646,-0.0018930565565824509,249.1450183391571,,120064,0.0003437995910644531,0.010660327970981598,1763260307.6050503
540.0,0.0,,0.0026834309101104736,1365,0.00042480885167606175,0.4592212736606598,0.00022788018395658582,0.00018315389752388,249.41754341125488,,120320,0.4333465099334717,-0.0005965437740087509,1763260307.8775754
540.0,0.0,,0.0023365765810012817,1370,0.0005978949484415352,0.42173367738723755,0.00022757296392228454,-0.02211276814341545,250.01497745513916,,120832,-0.8919048309326172,-0.010659895837306976,1763260308.4750094
542.0,0.0,,0.0002955179661512375,1380,0.0006203893572092056,0.48917073011398315,0.00022695852385368198,0.005838871002197266,251.1894564628601,,121856,-0.38890373706817627,-0.007881004363298416,1763260309.6494884
542.0,0.0,,0.001839679665863514,1381,0.00032110378379002213,0.48832055926322937,0.00022688171884510666,0.002818712033331394,251.33059072494507,,121984,-0.7563774585723877,-0.005064807832241058,1763260309.7906227
543.0,0.0,,0.0001908615231513977,1388,104.15303039550781,0.5039466023445129,0.00022649769380223006,-0.004000071436166763,252.1250832080841,,122624,0.0006652474403381348,0.00033689290285110474,1763260310.5851152
544.0,0.0,,0.0007274262607097626,1395,0.0005637432332150638,0.4430437684059143,0.00022603686375077814,0.004457978531718254,253.07201981544495,,123392,-1.461487054824829,-0.007812686264514923,1763260311.5320518
545.0,0.0,,0.00010830629616975784,1399,0.0005518860998563468,0.47089287638664246,0.00022580644872505218,0.00021893251687288284,253.53378105163574,,123776,-0.15423321723937988,-0.0015270337462425232,1763260311.993813
546.0,0.0,,2.395547926425934e-05,1405,0.00011095690570073202,0.48150599002838135,0.00022542242368217558,-0.0011093933135271072,254.2261152267456,,124416,0.14371657371520996,-0.0014049634337425232,1763260312.6861472
551.0,0.0,,0.00042978860437870026,1432,180.584716796875,0.5219179391860962,0.00022380951850209385,0.002894120290875435,257.26882576942444,,127104,7.385015487670898e-05,-0.0035323016345500946,1763260315.7288578
