_timestamp,charts/learning_rate,charts/episodic_return,losses/clipfrac,losses/approx_kl,_runtime,losses/entropy,charts/episodic_length,global_step,losses/value_loss,charts/SPS,_step,losses/explained_variance,losses/policy_loss,losses/old_approx_kl
1763260503.8715644,8.294930739793926e-05,,0.173828125,0.033189065754413605,443.64110136032104,0.19296102225780487,,361856,0.0012766954023391008,829.0,4119,0.8463568091392517,-0.008966736495494843,0.006371278315782547
1763260506.665828,,500.0,,,446.43536496162415,,500.0,364956,,,4150,,,
1763260508.3728268,7.995391933945939e-05,,0.166015625,0.024786263704299927,448.1423637866974,0.2398710548877716,,366848,0.0009030723012983799,832.0,4168,0.9873806834220886,-0.02535071223974228,-0.001943129114806652
1763260510.155363,7.903225923655555e-05,,0.013671875,0.004272310063242912,449.92490005493164,0.23853839933872223,,368384,0.001768838264979422,832.0,4184,0.9205669164657593,-0.007621869444847107,0.019550947472453117
1763260511.4482667,7.841781916795298e-05,,0.015625,0.00466519221663475,451.21780371665955,0.20461884140968323,,369408,0.0012555354041978717,832.0,4194,0.977801501750946,-0.017837226390838623,0.017482193186879158
1763260512.0792243,7.81105991336517e-05,,0.09375,0.01230347715318203,451.84876132011414,0.2507173418998718,,369920,0.001992150442674756,832.0,4199,0.8472431302070618,-0.005813390016555786,0.006670882925391197
1763260514.634898,7.665130397072062e-05,,0.017578125,0.0033144764602184296,454.4044349193573,0.2269914150238037,,372352,0.0009129637037403882,832.0,4224,0.980812132358551,-0.0030785612761974335,0.01418188028037548
1763260515.3047044,7.634408393641934e-05,,0.078125,0.01807525008916855,455.074241399765,0.21133390069007874,,372864,0.0010517118498682976,832.0,4229,0.9801101088523865,-0.007378756999969482,-0.001936761662364006
1763260517.115162,7.549922884209082e-05,,0.0,4.050508141517639e-05,456.88469886779785,0.19411242008209229,,374272,0.0007689861813560128,832.0,4243,0.9965129494667053,0.0023715198040008545,-0.00158662348985672
1763260517.4920905,7.534561882494017e-05,,0.0,0.0005781920626759529,457.2616274356842,0.22067119181156158,,374528,136.07363891601562,832.0,4246,0.12208306789398193,-0.001859039068222046,-0.0053373659029603004
1763260518.0583556,7.496160105802119e-05,,0.06640625,0.015265539288520813,457.8278925418854,0.23089075088500977,,375168,0.001030198996886611,832.0,4252,0.998696506023407,-0.045102156698703766,0.057511039078235626
1763260518.2960892,7.480799104087055e-05,,0.048828125,0.00760742649435997,458.0656261444092,0.2251831591129303,,375424,0.0004219766706228256,832.0,4254,0.8189370632171631,-0.016797952353954315,0.0010783970355987549
1763260518.3361137,,500.0,,,458.10565066337585,,500.0,375481,,,4255,,,
1763260520.0250382,7.365591591224074e-05,,0.033203125,0.005580130964517593,459.794575214386,0.29047679901123047,,377344,0.000855834863614291,833.0,4273,0.9845618605613708,-0.012732263654470444,0.009578917175531387
1763260520.247328,7.35023058950901e-05,,0.001953125,0.0009313579648733139,460.0168650150299,0.21309837698936462,,377600,32.69178009033203,834.0,4276,0.14821261167526245,-0.00042437948286533356,-0.0027935076504945755
1763260520.3582249,7.342550088651478e-05,,0.0078125,0.003995123319327831,460.1277618408203,0.28232452273368835,,377728,0.0005113199003972113,834.0,4277,0.9989029765129089,0.020364662632346153,-0.006798201240599155
1763260520.506409,7.334869587793946e-05,,0.04296875,0.011379684321582317,460.2759459018707,0.2034292370080948,,377856,0.0007844068459235132,834.0,4278,0.9883134961128235,-0.04242667555809021,0.030400557443499565
