charts/SPS,_timestamp,charts/episodic_length,global_step,losses/old_approx_kl,losses/value_loss,losses/clipfrac,losses/policy_loss,_step,charts/learning_rate,losses/entropy,charts/episodic_return,losses/explained_variance,losses/approx_kl,_runtime
1083.0,1763260172.8724642,,167040,0.024544937536120415,3.414752063690685e-05,0.0078125,-0.009816505014896393,2348,0.0001998463849304244,0.20839089155197144,,-0.013896465301513672,0.003522658720612526,161.11575508117676
,1763260173.318896,500.0,167556,,,,,2354,,,500.0,,,161.56218695640564
,1763260174.1738446,500.0,168556,,,,,2363,,,500.0,,,162.41713547706604
1084.0,1763260176.546283,,171136,0.008267389610409737,145.1066436767578,0.0,0.001977674663066864,2389,0.00019738863920792937,0.19575147330760956,,3.069639205932617e-05,0.001228388398885727,164.78957390785217
,1763260180.024974,500.0,175056,,,,,2426,,,500.0,,,168.2682650089264
1085.0,1763260180.477927,,175488,0.03787343204021454,0.00016714179946575314,0.078125,-0.023431001231074333,2430,0.00019477726891636848,0.18448832631111145,,-0.035706400871276855,0.01304948516190052,168.72121787071228
1085.0,1763260182.2240098,,177408,0.005753425881266594,7.398853085760493e-06,0.01171875,-0.010573102161288261,2449,0.00019362519378773868,0.06752060353755951,,0.12902241945266724,0.0020533930510282516,170.46730065345764
,1763260183.6372569,500.0,179056,,,,,2465,,,500.0,,,171.88054776191711
1086.0,1763260186.2336743,,181888,-0.00010110065340995789,6.045734153303783e-06,0.0,-0.0030430201441049576,2493,0.00019093701848760247,0.15441091358661652,,-0.04799330234527588,0.00019628368318080902,174.4769651889801
1086.0,1763260187.4152944,,183168,0.011869325302541256,145.5391082763672,0.046875,0.00239492766559124,2506,0.00019016896840184927,0.20935530960559845,,-1.5735626220703125e-05,0.0040237875655293465,175.6585853099823
,1763260188.1329787,500.0,184056,,,,,2514,,,500.0,,,176.37626957893372
1086.0,1763260188.2037683,,184064,-0.0018874099478125572,10.684091567993164,0.0,-0.0015815161168575287,2515,0.00018963133334182203,0.1562281996011734,,-1.0609626770019531e-05,0.0006117047742009163,176.4470591545105
1086.0,1763260188.682515,,184576,-0.004202627576887608,0.039923205971717834,0.001953125,2.905726432800293e-07,2520,0.00018932411330752075,0.2321472018957138,,8.225440979003906e-06,0.002683146856725216,176.92580580711365
1086.0,1763260189.9382966,,185984,0.008169934153556824,0.0001163448323495686,0.001953125,0.0031833797693252563,2533,0.00018847925821319222,0.2126522809267044,,-0.08740246295928955,0.001998361200094223,178.18158745765686
1086.0,1763260190.5307188,,186624,0.012496433220803738,143.67388916015625,0.02734375,0.0017321743071079254,2540,0.00018809523317031562,0.18321362137794495,,6.496906280517578e-06,0.002575046382844448,178.77400970458984
1086.0,1763260191.2094727,,187392,0.0001078583300113678,4.240286216372624e-05,0.0,-0.00033437833189964294,2547,0.0001876344031188637,0.06112639605998993,,-0.1623018980026245,3.343448042869568e-06,179.45276355743408
1087.0,1763260193.3954217,,189824,0.02040204219520092,4.609002644428983e-06,0.017578125,-0.003925293684005737,2570,0.00018617510795593262,0.11653362959623337,,-0.00475466251373291,0.002727348357439041,181.63871264457703
1087.0,1763260193.5093732,,189952,0.0018822597339749336,2.025831417995505e-05,0.001953125,-0.00449574738740921,2571,0.00018609831749927253,0.09860269725322723,,-0.05796551704406738,0.00019228924065828323,181.75266408920288
,1763260194.027554,500.0,190556,,,,,2577,,,500.0,,,182.27084493637085
1087.0,1763260196.899957,,193664,0.023424647748470306,2.082641363143921,0.01171875,0.0030349381268024445,2608,0.00018387097225058824,0.1986820101737976,,1.1444091796875e-05,0.0026871440932154655,185.1432478427887
1087.0,1763260197.1212795,,193920,0.016943851485848427,7.872380956541747e-05,0.0625,-0.006565127521753311,2610,0.0001837173622334376,0.289030522108078,,-0.020892620086669922,0.011704668402671814,185.3645703792572
1087.0,1763260198.9804902,,195968,0.005008741281926632,8.265335054602474e-05,0.0,0.00047431886196136475,2630,0.00018248848209623247,0.23560446500778198,,-0.05944228172302246,0.0001699710264801979,187.2237811088562
,1763260199.4518936,500.0,196556,,,,,2636,,,500.0,,,187.69518446922302
,1763260200.3741596,500.0,197556,,,,,2646,,,500.0,,,188.61745047569275
1087.0,1763260200.4672296,,197632,0.00016096513718366623,9.04586124420166,0.0,1.3981014490127563e-05,2647,0.0001814900169847533,0.16797477006912231,,-3.802776336669922e-05,1.283641904592514e-05,188.71052050590515
1087.0,1763260200.5766735,,197760,-0.0030238227918744087,0.0012931841192767024,0.0,-0.0003773346543312073,2648,0.000181413211976178,0.19535602629184723,,-0.03205442428588867,0.0004105186089873314,188.8199644088745
1087.0,1763260202.430837,,199808,0.03454450145363808,0.002962156431749463,0.009765625,-0.012533111497759819,2668,0.00018018433183897287,0.16661621630191803,,0.18646490573883057,0.003616238944232464,190.67412781715393
1088.0,1763260202.8767242,,200320,-0.013459062203764915,0.0001442520588170737,0.02734375,0.029005475342273712,2673,0.00017987711180467159,0.10576249659061432,,-0.06550836563110352,0.00860159657895565,191.12001514434814
1087.0,1763260203.8280373,,201344,0.002321021631360054,0.00017357099568471313,0.001953125,-0.000559728592634201,2683,0.00017926267173606902,0.11378641426563263,,-0.061455368995666504,0.00047817640006542206,192.07132816314697
1087.0,1763260204.2579212,,201728,0.0011269347742199898,0.0017647430067881942,0.001953125,-0.0018750280141830444,2687,0.00017903225671034306,0.07617844641208649,,0.00780099630355835,0.00019750650972127914,192.50121212005615
1087.0,1763260204.48008,,201984,0.017434382811188698,2.60159868048504e-05,0.0078125,-0.015241699293255806,2689,0.00017887864669319242,0.14235849678516388,,-0.1246253252029419,0.0028178300708532333,192.72337079048157
1087.0,1763260204.7046332,,202240,0.023272108286619186,0.0021913256496191025,0.03515625,-0.018117615953087807,2692,0.00017872503667604178,0.23150189220905304,,-0.04741036891937256,0.010530567727982998,192.94792413711548
1087.0,1763260208.5351496,,206464,0.017918797209858894,0.00010465327068232,0.005859375,-0.023421674966812134,2732,0.00017619047139305621,0.23001495003700256,,-0.07384598255157471,0.001867225393652916,196.77844047546387
1088.0,1763260210.388328,,208512,0.008136376738548279,1.4089865544519853e-05,0.03125,-0.0006329081952571869,2752,0.0001749615912558511,0.1738869994878769,,-0.01923978328704834,0.006683101877570152,198.63161897659302
1088.0,1763260210.8362834,,209024,0.027261771261692047,2.7517779017216526e-05,0.01171875,-0.005979498848319054,2757,0.0001746543712215498,0.32434678077697754,,-0.031929731369018555,0.004617133177816868,199.07957434654236
,1763260212.1499646,500.0,210556,,,,,2772,,,500.0,,,200.39325547218323
,1763260213.0673018,500.0,211556,,,,,2782,,,500.0,,,201.3105926513672
1088.0,1763260213.1454723,,211584,-0.007490923628211021,0.5291240811347961,0.001953125,-0.0019579827785491943,2783,0.00017311828560195863,0.2190915048122406,,-9.5367431640625e-07,0.0016341917216777802,201.3887631893158
1088.0,1763260214.0759604,,212608,-0.008862743154168129,2.5588834285736084,0.0,-0.00016411207616329193,2793,0.00017250384553335607,0.13099005818367004,,8.64267349243164e-06,0.0006945542991161346,202.31925129890442
1088.0,1763260216.9866388,,215808,0.008991300128400326,0.0017211451195180416,0.0,-0.004292614758014679,2824,0.00017058372031897306,0.18050499260425568,,-0.06465733051300049,0.0004925588145852089,205.22992968559265
1088.0,1763260218.7215874,,217728,0.0018627475947141647,0.0009185498347505927,0.001953125,-0.001446268055588007,2843,0.00016943164519034326,0.15825492143630981,,-0.035767316818237305,0.0016068648546934128,206.96487832069397
1089.0,1763260219.9798315,,219136,0.004641801118850708,9.039963722229004,0.0,0.0010013002902269363,2857,0.00016858679009601474,0.20972320437431335,,0.0,6.92419707775116e-05,208.22312235832214
1089.0,1763260222.3908339,,221824,-0.0067726122215390205,7.178002124419436e-05,0.0,-0.0011585336178541183,2882,0.000166973884915933,0.1235392764210701,,0.008290350437164307,0.00015541072934865952,210.63412475585938
