_timestamp,charts/episodic_return,losses/clipfrac,charts/episodic_length,_step,charts/learning_rate,_runtime,global_step,charts/SPS,losses/value_loss,losses/policy_loss,losses/entropy,losses/old_approx_kl,losses/approx_kl,losses/explained_variance
1763260227.9672017,,0.0,,1349,0.0002323348744539544,206.9091637134552,112896,622.0,0.00043578981421887875,-0.0043892767280340195,0.29092293977737427,0.0026130322366952896,0.00016080960631370544,0.7253769040107727
1763260230.516379,,0.00390625,,1363,0.00023149001935962588,209.45834112167358,114304,621.0,0.0006929984083399177,-0.00014131516218185425,0.35541126132011414,-0.010177824646234512,0.001774866133928299,0.8658491373062134
1763260230.960475,,0.033203125,,1365,0.00023133640934247524,209.90243697166443,114560,621.0,0.0003447440976742655,-0.014686955139040947,0.18785007297992706,0.02428879588842392,0.006204227916896343,0.2849045395851135
1763260231.8841522,,0.001953125,,1370,0.00023102918930817395,210.82611417770386,115072,621.0,0.00029827802791260183,-0.009672626852989197,0.3367535173892975,-0.017996320500969887,0.003997877240180969,0.7726110816001892
1763260233.736583,,0.041015625,,1380,0.0002304147492395714,212.67854499816895,116096,620.0,0.00026341932243667543,0.02136293798685074,0.29272064566612244,0.013631558045744896,0.01720443181693554,0.6024404168128967
1763260233.7875698,500.0,,500.0,1381,,212.72953176498413,116149,,,,,,,
1763260235.8288062,,0.046875,,1388,0.00022995391918811947,214.77076816558838,116864,617.0,0.0018572837579995394,-0.025049149990081787,0.329775869846344,0.02344496175646782,0.010736837051808834,0.8720787763595581
1763260237.155702,,0.04296875,,1395,0.00022949308913666755,216.0976641178131,117632,617.0,0.00036849529715254903,0.019808344542980194,0.29166966676712036,-0.0172286257147789,0.006088904105126858,0.34146595001220703
1763260237.825851,,0.01953125,,1399,0.0002292626741109416,216.76781296730042,118016,617.0,0.0017035691998898983,0.007489219307899475,0.28646111488342285,-0.026721324771642685,0.002697709947824478,-1.741307258605957
1763260238.7777317,500.0,,500.0,1405,,217.71969366073608,118649,,,,,,,
1763260243.169532,,0.0625,,1432,0.00022726574388798326,222.11149406433105,121344,617.0,0.00053856719750911,-0.009549342095851898,0.3095210790634155,0.015809006989002228,0.015599383972585201,0.8950667977333069
1763260243.3684583,,0.0,,1433,0.00022718893887940794,222.3104202747345,121472,617.0,0.0011868439614772797,-0.003789220005273819,0.2912368178367615,0.000929536297917366,0.0001374129205942154,-0.49413013458251953
1763260247.0647702,500.0,,500.0,1455,,226.0067322254181,123649,,,,,,,
1763260247.2600121,,0.0,,1456,0.00022580644872505218,226.20197415351868,123776,617.0,0.002085923682898283,0.0016206130385398865,0.32630133628845215,-0.002184729091823101,0.0005232999101281166,0.0061969757080078125
1763260247.4319215,,0.048828125,,1457,0.00022572964371647686,226.37388348579407,123904,617.0,0.0007616453804075718,-0.04166518896818161,0.23227396607398987,0.04823591560125351,0.01330157183110714,0.6246484518051147
1763260257.4820895,,0.0,,1514,0.00022227341833058745,236.42405152320862,129664,615.0,181.7178497314453,-0.006197784096002579,0.30931419134140015,-0.007704549469053745,0.0006277477368712425,0.0029181838035583496
1763260258.7955375,,0.00390625,,1521,0.00022181260283105075,237.73749947547913,130432,615.0,0.0011692555854097009,-0.0059377700090408325,0.35831862688064575,-0.002994408831000328,0.0010660327970981598,-0.09467267990112305
1763260259.4168305,,0.017578125,,1525,0.0002215821878053248,238.35879254341125,130816,615.0,0.0032225046306848526,-0.029222527518868446,0.31950435042381287,0.06027284637093544,0.006624707020819187,0.9132032990455627
1763260259.7780552,,0.0,,1527,0.00022142857778817415,238.72001719474792,131072,615.0,0.00034816807601600885,-0.009214304387569427,0.29954519867897034,0.0033133355900645256,0.0007865345105528831,-0.5200809240341187
1763260260.008476,,0.0,,1529,0.00022135177277959883,238.95043802261353,131200,615.0,325.3359069824219,0.0007153302431106567,0.338589608669281,-0.003982320427894592,0.0001380816102027893,0.003168165683746338
1763260260.5925992,,0.0,,1534,0.00022104455274529755,239.53456115722656,131712,615.0,116.05575561523438,0.008831240236759186,0.32052719593048096,0.007977464236319065,0.0007565049454569817,0.007403671741485596
1763260260.8684182,,0.0,,1536,0.0002208909427281469,239.8103802204132,131968,616.0,0.001617655623704195,-0.009109020233154297,0.38188260793685913,0.006168820895254612,0.0003188708797097206,-1.9556238651275635
1763260261.6176634,500.0,,500.0,1543,,240.55962538719177,132649,,,,,,,
1763260261.9034865,,0.01953125,,1545,0.00022035330766811967,240.84544849395752,132864,617.0,0.0027774907648563385,-0.006316147744655609,0.329151451587677,0.015835754573345184,0.003551522269845009,0.7432705163955688
1763260262.0408893,,0.0,,1546,0.00022027650265954435,240.98285126686096,132992,617.0,0.0006018595304340124,0.0010140277445316315,0.35096365213394165,-0.0005578380078077316,9.680353105068207e-05,-0.7839553356170654
1763260263.717463,500.0,,500.0,1558,,242.6594250202179,134149,,,,,,,
1763260263.9148343,,0.0078125,,1559,0.00021950845257379115,242.85679626464844,134272,618.0,96.47901153564453,0.0012927800416946411,0.3400741517543793,0.01872994378209114,0.0021445956081151962,0.0034290552139282227
1763260264.5625432,,0.013671875,,1563,0.00021927803754806519,243.5045051574707,134656,618.0,128.43971252441406,0.009021993726491928,0.3855324387550354,-0.007741263136267662,0.0034899674355983734,0.0004183650016784668
1763260265.1524642,,0.009765625,,1566,0.00021904762252233922,244.09442615509033,135040,618.0,0.0002669171371962875,0.007502228021621704,0.3760111927986145,-0.019912835210561752,0.002851025201380253,-1.9219262599945068
1763260268.752375,,0.0,,1588,0.00021774193737655878,247.69433689117432,137216,617.0,50.283111572265625,-0.003779962658882141,0.33260026574134827,0.006942649371922016,0.0008833194151520729,0.004609405994415283
1763260268.954416,,0.0,,1589,0.00021766513236798346,247.89637804031372,137344,617.0,0.00588635029271245,0.00645611435174942,0.3471806049346924,-0.005686702206730843,0.0015828125178813934,0.3949818015098572
1763260270.2478797,500.0,,500.0,1597,,249.18984174728394,138149,,,,,,,
1763260271.6824174,500.0,,500.0,1607,,250.6243793964386,139149,,,,,,,
1763260271.998798,,0.029296875,,1609,0.00021643625223077834,250.94075989723206,139392,618.0,0.004377743694931269,-0.017544925212860107,0.31825941801071167,0.013281465508043766,0.008853866718709469,0.5838005542755127
1763260272.1491182,,0.005859375,,1610,0.00021635944722220302,251.09108018875122,139520,618.0,0.001349995261989534,-0.005126833915710449,0.315030574798584,-0.0007476210594177246,0.002818118780851364,0.15144085884094238
1763260272.342558,500.0,,500.0,1612,,251.28451991081238,139649,,,,,,,
1763260274.0133502,500.0,,500.0,1626,,252.95531225204468,141149,,,,,,,
1763260276.0870886,,0.00390625,,1638,0.00021466973703354597,255.0290505886078,142336,620.0,0.0015875478275120258,0.008233189582824707,0.30878502130508423,0.011639623902738094,0.0029351478442549706,0.5560755133628845
1763260284.0022664,,0.02734375,,1687,0.00021167434169910848,262.9442284107208,147328,620.0,0.004050643183290958,-0.015395740047097206,0.28732234239578247,0.0001004151999950409,0.005375484004616737,0.5394521951675415
1763260289.311503,,0.0078125,,1732,0.00020890937594231218,268.2534649372101,151936,626.0,0.0008760265191085637,-0.016840390861034393,0.22810113430023193,0.01691746711730957,0.0031191855669021606,-0.015044927597045898
1763260291.042619,,0.0,,1745,0.00020814132585655898,269.98458099365234,153216,627.0,43.83636474609375,-0.004886489361524582,0.31785595417022705,0.0017692819237709045,0.0004052110016345978,0.005672037601470947
1763260292.463984,,0.00390625,,1753,0.00020760369079653174,271.40594601631165,154112,627.0,0.0004333993711043149,-0.006701160222291946,0.36222267150878906,0.0157054103910923,0.0016516372561454773,-1.0516841411590576
1763260292.5085294,500.0,,500.0,1754,,271.45049142837524,154149,,,,,,,
1763260294.317778,,0.00390625,,1765,0.00020691244571935385,273.25974011421204,155264,627.0,60.41642379760742,-0.0004652664065361023,0.3503369987010956,0.0027504675090312958,0.000794997438788414,0.006850481033325195
1763260294.882303,,0.015625,,1768,0.0002066820306936279,273.82426500320435,155648,627.0,0.0005189944058656693,-0.011200524866580963,0.3516431748867035,0.024038488045334816,0.003493242897093296,-2.4691781997680664
1763260296.3087587,,0.009765625,,1777,0.00020614439563360065,275.2507207393646,156544,627.0,0.0003984669456258416,-0.0022351890802383423,0.3110024333000183,0.02010183222591877,0.004318450577557087,-0.17679762840270996
1763260302.5920198,500.0,,500.0,1818,,281.53398180007935,160649,,,,,,,
1763260303.1706915,,0.0234375,,1823,0.00020337941532488912,282.1126534938812,161152,628.0,23.213146209716797,0.0014636032283306122,0.29329973459243774,-0.012777421623468399,0.003895701840519905,-0.0009033679962158203
1763260306.6916513,,0.0,,1851,0.00020161290012765676,285.6336133480072,164096,631.0,0.00057305081281811,-0.0027016103267669678,0.3446781635284424,0.00024184305220842361,2.3552216589450836e-05,0.3210439682006836
1763260307.3092873,,0.001953125,,1856,0.00020130568009335548,286.2512493133545,164608,631.0,0.00043747443123720586,-0.005416791886091232,0.39299726486206055,0.007120346650481224,0.001719363033771515,0.23920482397079468
1763260308.69469,,0.0,,1868,0.0002006144350161776,287.63665199279785,165760,632.0,116.47083282470703,-0.008856508880853653,0.35499313473701477,0.0036629457026720047,0.0006598159670829773,0.005734145641326904
1763260309.2968657,,0.00390625,,1873,0.00020030721498187631,288.2388277053833,166272,633.0,0.012608082965016365,-0.00320984423160553,0.3343185782432556,-0.001385449431836605,0.0016251793131232262,0.0034963488578796387
1763260309.7623558,,0.0,,1877,0.00020007679995615035,288.70431780815125,166656,633.0,331.0401916503906,-7.640570402145386e-06,0.33952757716178894,0.001211537979543209,0.00013855565339326859,0.0006885528564453125
