charts/SPS,_runtime,charts/episodic_return,_timestamp,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac
680.0,374.65125608444214,,1763260395.827434,0.0028401585295796394,,-0.08672976493835449,0.00022847112268209457,0.5467334985733032,0.00015745007840450853,0.0010491609573364258,237696,2576,0.00263392785564065,0.0
680.0,374.8040728569031,,1763260395.9802508,-0.013060246594250202,,-0.0008051395416259766,0.0032010404393076897,0.5775512456893921,0.0001573732733959332,0.00016720592975616455,237824,2577,6.544918869622052e-05,0.00390625
680.0,379.52603483200073,,1763260400.7022128,-0.004460378549993038,,-0.44785571098327637,0.0008260952308773994,0.6097422242164612,0.00015552995319012552,-0.011424019932746887,240896,2608,0.0038147412706166506,0.0
680.0,379.89366269111633,,1763260401.0698407,-0.004292006604373455,,0.05529820919036865,0.0002382444217801094,0.5062743425369263,0.00015537634317297488,-0.0014185719192028046,241152,2610,0.00011839660874102265,0.0
680.0,382.8744626045227,,1763260404.0506406,-0.0004838649183511734,,-0.5043653249740601,0.0005518067628145218,0.520041823387146,0.00015422426804434508,-0.002055654302239418,243072,2630,0.004515413194894791,0.0
680.0,383.88327407836914,,1763260405.059452,-0.011139928363263607,,-0.46182310581207275,0.0015049232169985771,0.5421534180641174,0.00015384024300146848,-0.003612220287322998,243712,2636,7.205996371340007e-05,0.0
680.0,385.2538592815399,,1763260406.4300373,-0.0007079821079969406,,-0.37314295768737793,8.6173415184021e-05,0.586534857749939,0.00015322580293286592,-0.006698839366436005,244736,2646,7.257002289406955e-05,0.0
680.0,385.3790431022644,,1763260406.555221,0.0033258097246289253,,-0.23892247676849365,0.0003197537735104561,0.5455734133720398,0.0001531489979242906,-0.0054269880056381226,244864,2647,7.071089203236625e-05,0.0
,385.41000509262085,500.0,1763260406.586183,,500.0,,,,,,244915,2648,,
,387.68185901641846,500.0,1763260408.858037,,500.0,,,,,,246915,2668,,
682.0,388.1941990852356,,1763260409.370377,-0.006212994456291199,,-0.00012242794036865234,0.00045381858944892883,0.5622704029083252,0.0001516128977527842,-0.002365369349718094,247424,2673,294.46759033203125,0.0
682.0,389.3384735584259,,1763260410.5146515,0.00392769742757082,,8.630752563476562e-05,0.0010603228583931923,0.5625455379486084,0.00015099845768418163,-0.0020295940339565277,248448,2683,18.7088565826416,0.0
,389.7842183113098,500.0,1763260410.9603963,,500.0,,,,,,248915,2687,,
683.0,390.04721784591675,,1763260411.2233958,-0.004740752279758453,,-0.16070199012756348,0.00016733258962631226,0.5516159534454346,0.00015061443264130503,-0.0030337125062942505,249088,2689,0.003195414785295725,0.0
,390.46493434906006,500.0,1763260411.6411123,,500.0,,,,,,249415,2692,,
682.0,396.90105628967285,,1763260418.0772343,0.003659292124211788,,-0.00010907649993896484,0.0005594557151198387,0.5410447716712952,0.00014800307690165937,-0.008101471699774265,253440,2732,107.9837646484375,0.0
682.0,400.0904731750488,,1763260421.2666512,0.007403731346130371,,-0.0002976655960083008,0.00030653737485408783,0.5433457493782043,0.00014677419676445425,-0.003238208591938019,255488,2752,145.5069580078125,0.0
681.0,400.9321048259735,,1763260422.1082828,-0.00022163987159729004,,0.00027310848236083984,0.00022278167307376862,0.5704945921897888,0.00014646697673015296,0.0029934868216514587,256000,2757,171.938232421875,0.0
681.0,403.38280749320984,,1763260424.5589855,-9.836442768573761e-05,,2.6285648345947266e-05,7.865391671657562e-05,0.6098577976226807,0.00014554531662724912,-0.0024728067219257355,257536,2772,0.011131107807159424,0.0
681.0,405.0312521457672,,1763260426.2074301,0.0008454266935586929,,-0.33473920822143555,0.0003849230706691742,0.55690598487854,0.00014493087655864656,-0.006659701466560364,258560,2782,0.004121692851185799,0.0
681.0,405.2263433933258,,1763260426.4025214,0.005073941312730312,,-0.045082807540893555,0.000701376236975193,0.561126708984375,0.00014485407155007124,0.00147161353379488,258688,2783,6.329610187094659e-05,0.0
681.0,406.8913571834564,,1763260428.0675352,-6.164237856864929e-05,,0.05223846435546875,7.260404527187347e-05,0.5857306718826294,0.00014423963148146868,-0.0012258924543857574,259712,2793,7.15070782462135e-05,0.0
682.0,410.9550201892853,,1763260432.1311982,0.0005053114145994186,,0.035631537437438965,0.0004383660852909088,0.5757959485054016,0.00014231950626708567,-0.009825579822063446,262912,2824,0.0001439439511159435,0.0
683.0,413.1125113964081,,1763260434.2886894,0.0027352096512913704,,-0.09656965732574463,7.23889097571373e-05,0.5839988589286804,0.00014116743113845587,-0.0015069078654050827,264832,2843,6.822151772212237e-05,0.0
684.0,414.7515652179718,,1763260435.9277432,0.0005631893873214722,,-0.04289698600769043,0.0011881571263074875,0.5739768147468567,0.00014032257604412735,0.00483369454741478,266240,2857,8.354763122042641e-05,0.0
685.0,417.67563343048096,,1763260438.8518114,0.005647661164402962,,-0.07326328754425049,0.0004655029624700546,0.5167737007141113,0.00013878647587262094,-0.004038594663143158,268800,2882,7.985675620147958e-05,0.0
685.0,418.5852861404419,,1763260439.761464,0.002970971167087555,,-0.028463006019592285,5.596131086349487e-05,0.5829150676727295,0.00013832564582116902,0.0005282089114189148,269568,2890,0.0038559383247047663,0.0
687.0,420.98186779022217,,1763260442.1580458,0.00010969676077365875,,-0.053788065910339355,5.908310413360596e-06,0.6053346395492554,0.0001370199752273038,-0.00043736398220062256,271744,2911,8.363971573999152e-06,0.0
688.0,423.5844428539276,,1763260444.7606208,-0.006074471399188042,,-0.14325106143951416,0.0008851774036884308,0.5954506993293762,0.00013556068006437272,-0.004851736128330231,274176,2935,0.00011452762555563822,0.0
689.0,425.1943347454071,,1763260446.3705127,0.0018439032137393951,,0.20823997259140015,0.0005529969930648804,0.5703303217887878,0.0001347158249700442,0.0021277405321598053,275584,2949,0.004455476999282837,0.0
690.0,426.48711347579956,,1763260447.6632915,0.005947798490524292,,-0.0215376615524292,0.0005311239510774612,0.5373634696006775,0.0001340245798928663,0.009502418339252472,276736,2960,4.71827297587879e-05,0.0
691.0,428.20237970352173,,1763260449.3785577,0.002669861540198326,,0.08405578136444092,0.0002002529799938202,0.614250659942627,0.00013310291978996247,-0.004682183265686035,278272,2975,5.2099137974437326e-05,0.0
,429.6775896549225,500.0,1763260450.8537676,,500.0,,,,,,279657,2989,,
692.0,430.65266585350037,,1763260451.8288438,0.0003051571547985077,,0.15489035844802856,0.00014542602002620697,0.586803674697876,0.00013179723464418203,0.0019831769168376923,280448,2997,6.901674350956455e-05,0.0
