losses/old_approx_kl,global_step,charts/learning_rate,losses/clipfrac,_timestamp,losses/policy_loss,_step,charts/SPS,charts/episodic_return,_runtime,losses/value_loss,charts/episodic_length,losses/explained_variance,losses/entropy,losses/approx_kl
-0.019295576959848404,127872,0.00022334868845064193,0.0078125,1763260258.0285327,-0.0012884587049484253,1514,606.0,,236.88860774040222,0.0001146665817941539,,-0.7005406618118286,0.5279324650764465,0.004814561456441879
-0.007476256228983402,128512,0.00022296466340776533,0.00390625,1763260259.1490636,0.007428765296936035,1521,606.0,,238.00913858413696,86.40190124511719,,0.00030368566513061523,0.46486803889274597,0.0022015785798430443
-0.009053797461092472,128896,0.00022273424838203937,0.005859375,1763260259.7189941,-0.0006653964519500732,1525,606.0,,238.57906913757324,266.7725524902344,,-8.106231689453125e-05,0.4925321340560913,0.0009618429467082024
0.004009720869362354,129152,0.00022258063836488873,0.0,1763260260.0772092,-0.002597913146018982,1527,606.0,,238.9372842311859,0.00025814661057665944,,-0.03860890865325928,0.4764591157436371,0.00017925258725881577
,129394,,,1763260260.2582324,,1529,,500.0,239.11830735206604,,500.0,,,
,129894,,,1763260260.8125217,,1534,,500.0,239.67259669303894,,500.0,,,
-0.005333635024726391,130048,0.00022204301785677671,0.0,1763260261.0698314,-0.014687135815620422,1536,608.0,,239.92990636825562,0.006911804433912039,,0.09567302465438843,0.47805145382881165,0.0011184858158230782
-0.0014958800747990608,130816,0.0002215821878053248,0.0,1763260261.8988676,0.003990493714809418,1543,609.0,,240.75894260406494,3.921894312952645e-05,,-0.22181224822998047,0.5448408126831055,0.0007460946217179298
0.003062138333916664,130944,0.00022150538279674947,0.0,1763260262.0657442,0.00016833096742630005,1545,609.0,,240.92581915855408,63.04928970336914,,0.0002716183662414551,0.5166336297988892,0.00014838948845863342
-5.283672362565994e-05,131072,0.00022142857778817415,0.0,1763260262.203382,0.0012621283531188965,1546,609.0,,241.0634570121765,0.005357721820473671,,-0.2480623722076416,0.441707581281662,3.734324127435684e-05
-0.0008127018809318542,132352,0.00022066052770242095,0.0,1763260264.1738584,-0.00254611112177372,1558,609.0,,243.0339334011078,8.479587995680049e-05,,-0.133880615234375,0.47466665506362915,0.00015165284276008606
,132394,,,1763260264.2176561,,1559,,500.0,243.07773113250732,,500.0,,,
-0.015687746927142143,132864,0.00022035330766811967,0.0,1763260264.9904304,-0.01600455492734909,1563,610.0,,243.85050535202026,0.00021967667271383107,,-0.11094796657562256,0.4749132990837097,0.0024219676852226257
0.006475075148046017,133120,0.00022019969765096903,0.0,1763260265.427405,-0.005931951105594635,1566,609.0,,244.2874801158905,0.004755996633321047,,0.04336732625961304,0.48860132694244385,0.0003323284909129143
,135394,,,1763260269.0438619,,1588,,500.0,247.90393686294556,,500.0,,,
0.0018924493342638016,135424,0.00021881720749661326,0.0,1763260269.2324984,0.002028476446866989,1589,609.0,,248.09257340431213,339.2900695800781,,0.0007074475288391113,0.5033390522003174,0.0004025399684906006
0.0027060210704803467,136320,0.00021827957243658602,0.0,1763260270.651362,0.004679215140640736,1597,610.0,,249.5114369392395,0.00010080319771077484,,0.05996614694595337,0.5987359285354614,0.00045588240027427673
-0.018144257366657257,137344,0.00021766513236798346,0.009765625,1763260271.921963,-0.0024219080805778503,1607,611.0,,250.78203797340393,0.0001308431674260646,,-0.05009126663208008,0.5164353847503662,0.005752344615757465
0.001183556392788887,137472,0.00021758832735940814,0.0,1763260272.093383,-0.0018888097256422043,1609,611.0,,250.953458070755,227.42800903320312,,0.0007213950157165527,0.5094791054725647,0.00025500357151031494
-0.0010119248181581497,137600,0.00021751152235083282,0.0,1763260272.2452972,0.0008945614099502563,1610,611.0,,251.10537219047546,0.005726776085793972,,0.12829583883285522,0.5412036180496216,0.00031044892966747284
-0.021657008677721024,137856,0.00021735791233368218,0.025390625,1763260272.526446,-0.012283533811569214,1612,611.0,,251.38652110099792,0.00016489147674292326,,-0.5895447731018066,0.48694324493408203,0.0033449484035372734
-0.004322312772274017,139264,0.00021651305723935366,0.0,1763260274.1134624,-0.006359826773405075,1626,613.0,,252.97353744506836,0.0005274781142361462,,-0.44216394424438477,0.5316795706748962,0.0002155248075723648
-0.006216470152139664,140416,0.00021582181216217577,0.0,1763260276.1481514,0.0019786134362220764,1638,613.0,,255.00822639465332,190.0146942138672,,0.0004813671112060547,0.42313799262046814,0.0005460884422063828
