charts/episodic_return,charts/episodic_length,_step,losses/explained_variance,charts/SPS,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,losses/policy_loss,losses/value_loss,_runtime,global_step,losses/entropy,losses/approx_kl,_timestamp
,,1405,0.0365070104598999,613.0,0.001953125,0.00022672810882795602,0.025256013497710228,-0.006681796163320541,0.00797682162374258,224.79395866394043,122240,0.44439685344696045,0.004260370507836342,1763260245.8376136
500.0,500.0,1432,,,,,,,,229.54086136817932,125016,,,1763260250.5845163
,,1433,6.729364395141602e-05,612.0,0.0,0.00022503839863929898,0.0002445550635457039,-0.0022584237158298492,66.09529876708984,229.76102256774902,125056,0.45250895619392395,0.00033684540539979935,1763260250.8046775
,,1455,0.0009257197380065918,612.0,0.0,0.0002236559084849432,0.008951477706432343,0.021109770983457565,6.451426452258602e-05,233.73636674880981,127360,0.506033182144165,0.0032672323286533356,1763260254.7800217
,,1456,-0.061434030532836914,612.0,0.0234375,0.0002235791034763679,0.016080819070339203,0.003180168569087982,0.00012868463818449527,233.93371653556824,127488,0.4436577558517456,0.00836233515292406,1763260254.9773715
500.0,500.0,1457,,,,,,,,233.9813756942749,127516,,,1763260255.0250306
,,1514,-0.2263185977935791,614.0,0.025390625,0.0002200460876338184,0.00989126693457365,-0.020786292850971222,0.0002759406343102455,242.63240480422974,133376,0.45717933773994446,0.004300118423998356,1763260263.6760597
,,1521,-0.2223750352859497,614.0,0.005859375,0.00021958525758236647,0.013664145953953266,-0.004829097539186478,0.006521143019199371,243.8808822631836,134144,0.45536187291145325,0.00072482880204916,1763260264.9245372
,,1525,-5.042552947998047e-05,614.0,0.0,0.0002193548425566405,0.00864432379603386,0.006682116538286209,271.7962341308594,244.49980807304382,134528,0.4992392361164093,0.0005457494407892227,1763260265.543463
,,1527,0.057854413986206055,614.0,0.029296875,0.00021920123253948987,0.0052825575694441795,-0.029428794980049133,0.00032373302383348346,244.88476514816284,134784,0.5105910897254944,0.009432832710444927,1763260265.92842
500.0,500.0,1529,,,,,,,,245.14018201828003,135016,,,1763260266.183837
500.0,500.0,1534,,,,,,,,245.99054074287415,135516,,,1763260267.0341957
,,1536,0.027182400226593018,614.0,0.0,0.00021866359747946262,0.0001606391742825508,-0.0004057586193084717,0.00787555892020464,246.37885928153992,135680,0.5024281740188599,4.1937455534935e-06,1763260267.4225142
,,1543,-0.09240293502807617,614.0,0.0,0.0002182027674280107,-0.0012113386765122414,0.0012156274169683456,0.0003137792809866369,247.65152287483215,136448,0.4828750491142273,0.001557585783302784,1763260268.6951778
,,1545,-3.075599670410156e-05,614.0,0.01953125,0.00021812596241943538,0.038054823875427246,0.011480569839477539,209.83602905273438,247.89906287193298,136576,0.4634108245372772,0.004048292525112629,1763260268.9427178
,,1546,-0.005983710289001465,614.0,0.001953125,0.00021804915741086006,0.031682949513196945,-0.021514996886253357,0.010358525440096855,248.0871970653534,136704,0.504097044467926,0.00287582166492939,1763260269.130852
,,1558,0.16231173276901245,614.0,0.0,0.00021728110732510686,0.0033966675400733948,0.0006973571144044399,0.00020049950398970395,250.1284704208374,137984,0.400367796421051,0.0010681003332138062,1763260271.1721253
500.0,500.0,1559,,,,,,,,250.16207075119019,138016,,,1763260271.2057257
,,1563,-0.04088938236236572,615.0,0.0,0.00021697388729080558,0.008146261796355247,7.347017526626587e-05,4.838684981223196e-05,250.73183369636536,138496,0.520070493221283,0.00015728548169136047,1763260271.7754886
