losses/explained_variance,charts/episodic_return,global_step,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/entropy,losses/old_approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length,charts/SPS,_timestamp,losses/approx_kl
-0.0014002323150634766,,78336,0.0002530721831135452,1589,0.005323424935340881,76.66735434532166,0.321388304233551,0.03810444846749306,0.15234375,0.20310693979263306,,1055.0,1763260118.8354304,0.01226547546684742
-0.010632157325744629,,79232,0.00025253454805351794,1597,-0.024760650470852852,77.48260259628296,0.3105514645576477,0.024067837744951248,0.00390625,1.0543435564613901e-06,,1055.0,1763260119.6506786,0.002325567416846752
-0.008805632591247559,,80256,0.00025192013708874583,1607,-0.010377354919910431,78.41062140464783,0.3413933217525482,0.002627158537507057,0.052734375,1.539656295790337e-07,,1056.0,1763260120.5786974,0.0005238130688667297
-0.0018694400787353516,,80384,0.0002518433320801705,1609,-0.005664017051458359,78.54724621772766,0.41649478673934937,0.01630347967147827,0.0,0.01205715537071228,,1055.0,1763260120.7153223,0.0016518635675311089
0.8866018056869507,,80512,0.0002517665270715952,1610,-0.0009469427168369293,78.6946668624878,0.3512803316116333,-0.0005622273311018944,0.0,0.00047484959941357374,,1055.0,1763260120.862743,0.0001269141212105751
-0.0003019571304321289,,83328,0.00025007681688293815,1638,-0.0014031585305929184,81.89393210411072,0.29379597306251526,0.0072331298142671585,0.021484375,0.01899506151676178,,1048.0,1763260124.0620081,0.004686886444687843
,500.0,88321,,1687,,91.59326410293579,,,,,500.0,,1763260133.7613401,
-0.0006687641143798828,,92928,0.00024431644123978913,1732,-0.0034559424966573715,100.67332768440247,0.2965163290500641,-0.008948730304837227,0.068359375,147.28602600097656,,945.0,1763260142.8414037,0.023866182193160057
,500.0,94321,,1745,,103.25827693939209,,,,,500.0,,1763260145.426353,
-0.01616537570953369,,95104,0.00024301075609400868,1753,-0.02570987679064274,104.93794369697571,0.23698022961616516,-0.01197511050850153,0.01953125,0.0001984655682463199,,927.0,1763260147.1060197,0.0016614021733403206
-0.0049332380294799805,,95232,0.00024293395108543336,1754,-0.005281612277030945,105.18250894546509,0.30392906069755554,0.00350786279886961,0.0,5.3010926421848126e-06,,926.0,1763260147.350585,0.0017646392807364464
-0.014824509620666504,,96640,0.00024208909599110484,1768,0.004580900073051453,107.99465227127075,0.20081666111946106,0.013580728322267532,0.08984375,7.955539331305772e-05,,915.0,1763260150.1627283,0.0012772101908922195
0.1557377576828003,,97536,0.0002415514609310776,1777,-0.030919793993234634,109.768301486969,0.23174764215946198,0.047022443264722824,0.091796875,0.0001832636771723628,,908.0,1763260151.9363775,0.014542418532073498
-0.0016728639602661133,,101760,0.00023901689564809203,1818,0.0018001794815063477,117.10370969772339,0.2955552637577057,0.004498342052102089,0.0,1.4312399798654951e-06,,887.0,1763260159.2717857,0.0001446995884180069
-0.004792451858520508,,102272,0.00023870967561379075,1823,-0.03589370846748352,117.97331094741821,0.28657445311546326,0.002452617511153221,0.05859375,6.24906624580035e-06,,885.0,1763260160.141387,0.004751270636916161
-0.016634106636047363,,105088,0.0002370199654251337,1851,-0.0010225586593151093,123.57316589355469,0.2967785596847534,-0.00506109744310379,0.0,1.7865406334749423e-05,,867.0,1763260165.741242,0.0004364289343357086
,500.0,106821,,1868,,126.86532688140869,,,,,500.0,,1763260169.033403,
,500.0,107321,,1873,,127.99535775184631,,,,,500.0,,1763260170.1634338,
-0.0016071796417236328,,107776,0.00023540706024505198,1877,0.08244648575782776,129.1529688835144,0.2851477265357971,0.004498917609453201,0.115234375,2.031914482358843e-05,,850.0,1763260171.321045,0.034954734146595
-0.0022695064544677734,,108672,0.00023486942518502474,1886,0.004116147756576538,131.2114782333374,0.25373849272727966,0.014590400271117687,0.064453125,0.0002856588689610362,,843.0,1763260173.3795543,0.009323946200311184
-0.0001633167266845703,,110336,0.0002338709746254608,1903,-0.004189361352473497,134.4301302433014,0.24574798345565796,-0.0014628488570451736,0.0,149.17076110839844,,835.0,1763260176.5982063,0.0011810585856437683
-0.0020176172256469727,,110720,0.00023364055959973484,1906,0.0020041484385728836,135.07311058044434,0.2271808534860611,-0.0070053692907094955,0.02734375,2.6135337975574657e-05,,834.0,1763260177.2411866,0.005978725850582123
-0.00016367435455322266,,111872,0.00023294931452255696,1918,0.010204464197158813,137.34292459487915,0.3360041677951813,0.049377717077732086,0.1015625,143.747802734375,,829.0,1763260179.5110006,0.04748709872364998
-0.005558013916015625,,112128,0.00023279570450540632,1920,-0.011699941009283066,137.79012823104858,0.3074442744255066,-0.012222999706864357,0.013671875,2.0653453248087317e-05,,828.0,1763260179.9582043,0.0020536519587039948
-0.0015850067138671875,,114688,0.00023125960433389992,1945,0.0019560232758522034,142.6549255847931,0.2793688476085663,0.0066915471106767654,0.07421875,0.00019546075782272965,,817.0,1763260184.8230016,0.0060240235179662704
-0.0002281665802001953,,115968,0.0002304915542481467,1959,0.0014622565358877182,145.12839221954346,0.2582121789455414,0.008663136512041092,0.013671875,143.38990783691406,,812.0,1763260187.2964683,0.0005496852099895477
-0.0003434419631958008,,117376,0.0002296466991538182,1973,-0.01970013976097107,147.87876772880554,0.33097726106643677,0.01182202622294426,0.056640625,0.0088088633492589,,806.0,1763260190.0468438,0.004488782957196236
-0.007855772972106934,,118656,0.000228878649068065,1985,0.02547915279865265,150.2291293144226,0.17029571533203125,-0.024337584152817726,0.091796875,0.00012658542254939675,,802.0,1763260192.3972054,0.004218768328428268
-0.0019686222076416016,,119296,0.00022849462402518839,1991,-0.0031058061867952347,151.42215704917908,0.22510573267936707,0.0026800958439707756,0.0,2.4062554075499065e-05,,800.0,1763260193.590233,0.0001434115692973137
,500.0,120341,,2002,,153.40525197982788,,,,,500.0,,1763260195.573328,
,500.0,120841,,2007,,154.3827223777771,,,,,500.0,,1763260196.5507984,
,500.0,121841,,2016,,156.10906147956848,,,,,500.0,,1763260198.2771375,
-0.0060956478118896484,,122624,0.00022649769380223006,2024,-0.0033644884824752808,157.76800274848938,0.1866684854030609,-0.008978806436061859,0.05078125,0.0002667090739123523,,789.0,1763260199.9360788,0.0004955288022756577
