losses/entropy,global_step,losses/clipfrac,losses/approx_kl,charts/episodic_length,charts/episodic_return,losses/policy_loss,_runtime,losses/value_loss,charts/learning_rate,losses/old_approx_kl,losses/explained_variance,_timestamp,_step,charts/SPS
0.19538235664367676,125952,0.029296875,0.0020345253869891167,,,0.00852394849061966,168.96435379981995,9.408267942490056e-08,0.00022450076357927173,-0.003176475875079632,0.10802370309829712,1763260211.145444,2034,756.0
0.1414368897676468,127104,0.03515625,0.002385464496910572,,,5.563907325267792e-05,171.24690532684326,1.2338441592874005e-06,0.00022380951850209385,0.01610620692372322,0.04269206523895264,1763260213.4279954,2045,753.0
,127686,,,500.0,500.0,,172.322007894516,,,,,1763260214.503098,2051,
0.19935442507266998,127744,0.01171875,0.0008077528327703476,,,0.021431036293506622,172.54666829109192,0.21345271170139313,0.00022342549345921725,-0.010432260110974312,8.225440979003906e-06,1763260214.7277584,2052,751.0
0.20027002692222595,129664,0.060546875,0.011406699195504189,,,0.02186780609190464,176.37081599235535,0.0001631807826925069,0.00022227341833058745,0.00787651538848877,-0.11680078506469727,1763260218.551906,2070,745.0
,130186,,,500.0,500.0,,177.45754432678223,,,,,1763260219.6386344,2076,
0.24456197023391724,131968,0.0234375,0.0034214649349451065,,,-0.0029651490040123463,181.02161240577698,2.8553658921737224e-05,0.0002208909427281469,0.017088500782847404,0.14178204536437988,1763260223.2027025,2093,739.0
0.2546491026878357,132096,0.09375,0.009874693118035793,,,-0.045699313282966614,181.27089142799377,9.575936019246e-06,0.0002208141377195716,0.0570889376103878,0.05125194787979126,1763260223.4519815,2094,738.0
0.0970965251326561,134400,0.04296875,0.006598995998501778,,,-0.001003628596663475,185.94347739219666,0.0006040114094503224,0.00021943164756521583,0.02986951172351837,0.28882211446762085,1763260228.1245675,2117,732.0
0.15415488183498383,137344,0.009765625,0.0022591259330511093,,,-0.007743813097476959,191.9172341823578,0.0014162613078951836,0.00021766513236798346,-0.00687924399971962,0.6775888800621033,1763260234.0983243,2146,724.0
0.24272911250591278,137600,0.1119791641831398,0.04355138540267944,,,-0.009002059698104858,192.38399863243103,0.00010994090553140268,0.00021751152235083282,0.012671960517764091,-1.03995943069458,1763260234.5650887,2148,724.0
0.23695136606693268,138240,0.00390625,0.0019832346588373184,,,0.0016838032752275467,193.7300968170166,147.6092987060547,0.00021712749730795622,0.014909215271472931,2.3484230041503906e-05,1763260235.911187,2155,722.0
0.16204160451889038,140032,0.08203125,0.016793500632047653,,,-0.057412002235651016,197.39014625549316,2.8328242478892207e-05,0.00021605222718790174,0.06915055215358734,0.2355695366859436,1763260239.5712364,2172,718.0
0.20291250944137573,141312,0.1223958358168602,0.031394023448228836,,,0.0012639351189136505,199.9743881225586,141.7716064453125,0.00021528417710214853,-0.0038325758650898933,0.0006548166275024414,1763260242.1554782,2185,715.0
0.19078288972377777,142080,0.12890625,0.020173434168100357,,,-0.03211300075054169,201.52283811569214,0.0001522298261988908,0.0002148233470506966,0.034859709441661835,-1.532951831817627,1763260243.7039282,2192,713.0
0.17882713675498962,142720,0.064453125,0.013566315174102783,,,-0.0011093709617853165,202.8650963306427,141.16595458984375,0.00021443932200782,-0.025355711579322815,0.0012516379356384277,1763260245.0461864,2199,712.0
0.0730445459485054,144000,0.0833333358168602,0.030509231612086296,,,0.06731794029474258,205.3612024784088,0.0010302463779225945,0.0002136712719220668,-0.030215095728635788,0.4959045648574829,1763260247.5422926,2211,709.0
0.11052216589450836,144256,0.00390625,0.0008108410984277725,,,0.006080936640501022,205.88202929496765,0.028134318068623543,0.00021351766190491617,-0.005040699616074562,0.010613203048706055,1763260248.0631194,2214,709.0
0.11424735188484192,144896,0.001953125,0.00142721738666296,,,-0.002489706501364708,207.12226462364197,0.0005678950692526996,0.00021313363686203957,0.0044153546914458275,0.7297961711883545,1763260249.3033547,2220,707.0
