losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.0,,1763260379.7559109,0.00020030721498187631,-6.269291043281555e-05,321.27535581588745,166272,1886,0.007253923453390598,-0.019154787063598633,563.0,0.5282686352729797,1.111254096031189e-05,-0.0005993358790874481,
0.0,,1763260380.9000843,0.00019976957992184907,-0.0032924842089414597,322.4195291996002,167168,1895,151.53717041015625,-9.846687316894531e-05,564.0,0.5366069078445435,0.00018749944865703583,-0.0031505227088928223,
,500.0,1763260381.8842955,,,323.4037404060364,168049,1903,,,,,,,500.0
0.0,,1763260382.3809924,0.0001990783348446712,0.0064722513779997826,323.9004373550415,168320,1906,0.0002900522667914629,-0.022990942001342773,565.0,0.5116422176361084,0.0009402623400092125,0.00209793820977211,
,500.0,1763260384.3811238,,,325.9005687236786,169549,1918,,,,,,,500.0
0.0,,1763260384.7436082,0.00019823347975034267,0.007516193203628063,326.26305317878723,169728,1920,0.005966024473309517,-0.01802229881286621,565.0,0.5716790556907654,0.0005924450233578682,-0.0032055675983428955,
0.0,,1763260388.0310047,0.0001966973941307515,-0.008632165379822254,329.55044960975647,172288,1945,0.008976955898106098,-0.16493117809295654,568.0,0.5053656101226807,0.0006355559453368187,-0.008689194917678833,
0.001953125,,1763260389.720808,0.00019585253903642297,-0.010971811600029469,331.24025297164917,173696,1959,0.00604662299156189,-0.013968944549560547,569.0,0.531114935874939,0.0017818016931414604,-0.021788595244288445,
0.0,,1763260391.4579005,0.00019500768394209445,0.00019602105021476746,332.97734546661377,175104,1973,453.3355712890625,5.602836608886719e-06,571.0,0.48827558755874634,0.00038215145468711853,0.004462100565433502,
0.00390625,,1763260392.9887772,0.00019423963385634124,0.017184168100357056,334.5082221031189,176384,1985,0.00020193649106658995,0.05915176868438721,572.0,0.5252629518508911,0.00386968906968832,-0.031575851142406464,
