charts/SPS,losses/clipfrac,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/old_approx_kl,global_step,charts/episodic_return,_runtime,_step,_timestamp,losses/policy_loss,charts/episodic_length,losses/value_loss
,,,,,,,139009,500.0,251.69474053382874,1610,1763260272.8719456,,500.0,
615.0,0.0,0.09949195384979248,0.0007747868075966835,0.5159865021705627,0.00021651305723935366,-0.0064366525039076805,139264,,251.99152326583862,1612,1763260273.1687284,0.008627474308013916,,5.494794459082186e-05
616.0,0.0,-0.18201828002929688,0.0003064405173063278,0.5363473296165466,0.00021566820214502513,-7.664225995540619e-05,140672,,253.94395637512207,1626,1763260275.1211615,-0.0004088878631591797,,0.004980976693332195
616.0,0.0,-0.14481043815612793,0.0012379186227917671,0.5219219923019409,0.00021490015205927193,-0.001454952172935009,141952,,256.1010081768036,1638,1763260277.2782133,-0.012738227844238281,,0.0001418084866600111
617.0,0.0,0.0022762417793273926,0.0008375821635127068,0.4494398236274719,0.00021190475672483444,-0.0024749869480729103,146944,,263.60066175460815,1687,1763260284.7778668,-0.008154988288879395,,0.0001759807055350393
,,,,,,,151509,500.0,268.73339104652405,1732,1763260289.9105961,,500.0,
623.0,0.0,0.29761970043182373,0.0007780641317367554,0.46180832386016846,0.00020837174088228494,0.0030387286096811295,152832,,270.8125538825989,1745,1763260291.989759,-0.010425321757793427,,0.0003332392079755664
623.0,0.0,0.0006912946701049805,0.000943516381084919,0.4373765289783478,0.00020791091083083302,0.011460560373961926,153600,,272.0710680484772,1753,1763260293.2482731,0.0009239949285984039,,127.72203063964844
623.0,0.0,0.28574424982070923,0.001516016200184822,0.4281756281852722,0.0002078341058222577,-0.005524253472685814,153728,,272.2622163295746,1754,1763260293.4394214,-0.0250898078083992,,0.0064491876401007175
623.0,0.0,-0.008690476417541504,0.0026196790859103203,0.43553152680397034,0.00020714286074507982,0.02090730518102646,154880,,273.9650228023529,1765,1763260295.142228,-0.006987712346017361,,0.00013333564857020974
623.0,0.0,0.00020635128021240234,0.00013613607734441757,0.46548494696617126,0.00020698925072792917,0.006554557941854,155136,,274.37135314941406,1768,1763260295.5485582,0.002155013382434845,,0.0009341284749098122
624.0,0.0,-0.0001863241195678711,0.0010994942858815193,0.5039515495300293,0.00020645161566790193,0.006849669851362705,156032,,275.6699080467224,1777,1763260296.8471131,-0.002884846180677414,,404.0976257324219
