losses/clipfrac,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,charts/SPS,losses/value_loss,_runtime,charts/learning_rate,charts/episodic_length,charts/episodic_return,_step,global_step,losses/entropy,_timestamp
0.0,0.0009204018861055374,0.00046422332525253296,-0.0037046633660793304,-0.27582991123199463,1082.0,0.00010192700574407354,126.66023969650269,0.00023563747527077794,,,1271,107392,0.5320242047309875,1763260212.0146196
0.0234375,0.008496321737766266,-0.005937863141298294,0.008791634812951088,0.062053382396698,1082.0,0.00755001325160265,129.27633810043335,0.00023394777963403612,,,1299,110208,0.4768490195274353,1763260214.630718
0.005859375,0.0017320504412055016,-0.00986131839454174,0.001636282540857792,-1.4553227424621582,1083.0,0.01216444093734026,132.6396975517273,0.00023172043438535184,,,1339,113920,0.5421550273895264,1763260217.9940774
0.0,0.00032884348183870316,-7.842108607292175e-05,-0.002214317210018635,-1.0955893993377686,1083.0,0.0010169087909162045,132.75124621391296,0.00023164362937677652,,,1340,114048,0.5460453033447266,1763260218.105626
0.0,0.00035808514803647995,-0.007768981158733368,0.007303456775844097,0.029680907726287842,1083.0,0.007615518756210804,133.56385135650635,0.00023110599431674927,,,1349,114944,0.48588424921035767,1763260218.9182312
0.0,0.00019331928342580795,0.0009098947048187256,0.00014540273696184158,-0.1839296817779541,1083.0,0.0063980575650930405,134.82573056221008,0.00023026113922242075,,,1363,116352,0.5525094866752625,1763260220.1801105
0.0,0.0005610240623354912,-0.0008194223046302795,-0.003945336677134037,0.00042045116424560547,1083.0,0.0005557672120630741,135.0457901954651,0.0002301075292052701,,,1365,116608,0.5148798823356628,1763260220.40017
0.0,0.0014278823509812355,0.007563039660453796,0.011659848503768444,-0.14818596839904785,1083.0,0.0003459737927187234,135.52528619766235,0.00022980030917096883,,,1370,117120,0.5039256811141968,1763260220.879666
0.0078125,0.005359558388590813,-0.006741859018802643,0.028334176167845726,-0.16090857982635498,1084.0,0.000530691584572196,136.42388653755188,0.00022918586910236627,,,1380,118144,0.4342295229434967,1763260221.7782664
,,,,,,,136.4513304233551,,500.0,500.0,1381,118221,,1763260221.8057103
