losses/entropy,losses/explained_variance,losses/value_loss,losses/clipfrac,_runtime,charts/SPS,losses/policy_loss,_timestamp,losses/old_approx_kl,charts/episodic_length,charts/episodic_return,losses/approx_kl,_step,global_step,charts/learning_rate
0.3794342875480652,0.9194811582565308,0.0069484286941587925,0.009765625,237.17048907279968,1082.0,-0.003907201811671257,1763260322.371148,-0.005068628117442131,,,0.002894233912229538,2449,226816,0.00016397848958149552
0.3841671347618103,-3.143277645111084,0.0013267084723338485,0.0,238.65546369552612,1082.0,-0.004471153020858765,1763260323.8561227,0.002932753413915634,,,0.0007994584739208221,2465,228480,0.00016298002447001636
,,,,241.03984117507935,,,1763260326.2405002,,500.0,500.0,,2491,231155,
0.42521557211875916,0.8866576552391052,0.007399421650916338,0.0,241.22864961624146,1082.0,0.000334814190864563,1763260326.4293087,0.0027558309957385063,,,0.00019703153520822525,2493,231296,0.00016129032883327454
,,,,242.41371488571167,,,1763260327.614374,,500.0,500.0,,2506,232655,
0.2872031033039093,0.6688101291656494,0.0016434085555374622,0.0,243.19925999641418,1082.0,-0.014353029429912567,1763260328.399919,0.006229916587471962,,,0.0010267328470945358,2514,233472,0.0001599846436874941
0.3211438059806824,-0.6087363958358765,0.0022428762167692184,0.01171875,243.30939054489136,1082.0,-0.007272845134139061,1763260328.5100496,0.021410204470157623,,,0.0034086639061570168,2515,233600,0.00015990783867891878
0.3582049012184143,0.17094337940216064,0.001212501898407936,0.005859375,243.7561936378479,1083.0,-0.005037657916545868,1763260328.9568527,-0.022202856838703156,,,0.0037691909819841385,2520,234112,0.0001596006186446175
0.37681451439857483,0.6712177991867065,0.011095734313130379,0.005859375,244.90428113937378,1083.0,0.006740886718034744,1763260330.1049402,-0.0017302650958299637,,,0.0039553046226501465,2533,235392,0.0001588325685588643
,,,,245.54450130462646,,,1763260330.7451603,,500.0,500.0,,2540,236155,
0.35835251212120056,-1.9210686683654785,0.011020651087164879,0.0,246.16885805130005,1083.0,-0.0010244213044643402,1763260331.369517,-0.0028162822127342224,,,0.0002583097666501999,2547,236800,0.00015798771346453577
,,,,248.37057375907898,,,1763260333.5712328,,500.0,500.0,,2570,239155,
0.3361184000968933,0.004484117031097412,208.6448211669922,0.001953125,248.46567153930664,1083.0,0.004986723884940147,1763260333.6663306,-0.0011305036023259163,,,0.0012465016916394234,2571,239232,0.0001565284183016047
0.2601545751094818,0.002118527889251709,285.7799072265625,0.0,248.90971755981445,1083.0,-0.0005745962262153625,1763260334.1103766,0.008304135873913765,,,0.00045277737081050873,2576,239744,0.0001562211982673034
0.31145209074020386,0.19719868898391724,0.008544610813260078,0.0,249.02087497711182,1083.0,-0.0002575814723968506,1763260334.221534,0.0010896548628807068,,,0.00015756115317344666,2577,239872,0.0001561443932587281
0.40538930892944336,0.6520204544067383,0.000890821625944227,0.0,251.98039174079895,1083.0,0.008616778999567032,1763260337.1810508,-0.01194961927831173,,,0.0013687033206224442,2608,243072,0.00015422426804434508
0.32575497031211853,0.012297868728637695,268.2449951171875,0.0,252.10006546974182,1083.0,-0.0015309453010559082,1763260337.3007245,-0.0047165267169475555,,,5.862489342689514e-05,2610,243200,0.00015414746303576976
0.3162487745285034,0.006233692169189453,376.16583251953125,0.0,254.01384234428406,1083.0,0.0009380355477333069,1763260339.2145014,-0.0001021847128868103,,,4.581734538078308e-05,2630,245248,0.00015291858289856464
0.33160579204559326,0.6501507759094238,0.0035985196009278297,0.0,254.57022643089294,1083.0,0.0009825080633163452,1763260339.7708855,0.00913410633802414,,,0.00024105235934257507,2636,245888,0.00015253455785568804
0.3123133182525635,-1.0838348865509033,0.0009411976207047701,0.013671875,255.49808621406555,1083.0,0.0018991455435752869,1763260340.6987453,0.022979537025094032,,,0.003668256103992462,2646,246912,0.00015192011778708547
0.2562592625617981,-7.015766143798828,0.0011529400944709778,0.0,255.60735368728638,1083.0,-0.020011749118566513,1763260340.8080127,-0.005266117863357067,,,0.0014033904299139977,2647,247040,0.00015184331277851015
,,,,255.64765572547913,,,1763260340.8483148,,500.0,500.0,,2648,247155,
,,,,257.5030245780945,,,1763260342.7036836,,500.0,500.0,,2668,249155,
,,,,257.9800398349762,,,1763260343.1806989,,500.0,500.0,,2673,249655,
,,,,258.9508888721466,,,1763260344.151548,,500.0,500.0,,2683,250655,
0.2380174994468689,0.4891505241394043,0.0004253129009157419,0.0,259.38456320762634,1083.0,-0.0001684427261352539,1763260344.5852222,-0.0008874088525772095,,,1.5778467059135437e-05,2687,251136,0.00014938556705601513
0.2712991237640381,0.0039179325103759766,452.8743591308594,0.0,259.4984390735626,1083.0,-0.0008981898427009583,1763260344.699098,9.875744581222534e-05,,,7.017701864242554e-05,2689,251264,0.00014930876204743981
0.31179410219192505,-0.0887448787689209,0.0014551805797964334,0.0,259.8275935649872,1083.0,-0.0030032992362976074,1763260345.0282526,-0.002976716496050358,,,0.0003098631277680397,2692,251648,0.00014907834702171385
,,,,263.44354271888733,,,1763260348.6442018,,500.0,500.0,,2732,255655,
0.32164645195007324,0.001017749309539795,392.89892578125,0.0,265.27637672424316,1084.0,0.0005628690123558044,1763260350.4770358,0.001783217303454876,,,0.000116775743663311,2752,257664,0.0001454685116186738
0.24814099073410034,0.00026798248291015625,322.717041015625,0.0,265.7258906364441,1084.0,5.1507726311683655e-05,1763260350.9265497,9.558722376823425e-05,,,1.1548399925231934e-07,2757,258176,0.00014516129158437252
0.27098578214645386,0.0014987587928771973,549.2132568359375,0.0,267.0979266166687,1084.0,3.748014569282532e-05,1763260352.2985857,-0.0002399710938334465,,,4.0046870708465576e-08,2772,259712,0.00014423963148146868
0.369234561920166,-0.003390192985534668,357.98822021484375,0.0,268.0281982421875,1084.0,-0.00024321302771568298,1763260353.2288573,0.0003607310354709625,,,5.759298801422119e-06,2782,260736,0.00014362519141286612
0.32234859466552734,0.2813902497291565,0.015536114573478699,0.001953125,268.1394295692444,1084.0,-0.003531530499458313,1763260353.3400886,0.0003649955615401268,,,0.001671857200562954,2783,260864,0.0001435483864042908
0.3246307075023651,0.5576878786087036,0.005050242878496647,0.0,269.0940115451813,1084.0,0.006287872791290283,1763260354.2946706,-0.006818429566919804,,,0.00047874171286821365,2793,261888,0.00014293394633568823
0.28216445446014404,-0.07786476612091064,0.0006972653209231794,0.001953125,272.0277416706085,1084.0,-0.008155610412359238,1763260357.2284007,-0.006459837779402733,,,0.0020994264632463455,2824,265088,0.00014101382112130523
0.37324079871177673,-2.511399507522583,0.00042250577826052904,0.0,273.7721230983734,1084.0,0.010872149839997292,1763260358.9727821,-0.012403041124343872,,,0.002675354480743408,2843,267008,0.00013986174599267542
0.3047785758972168,-0.051223158836364746,0.0005472138291224837,0.0,275.03009152412415,1084.0,-0.001805271953344345,1763260360.2307506,-0.003675379790365696,,,3.9118342101573944e-05,2857,268416,0.0001390168908983469
0.37464895844459534,-0.9885721206665039,0.00035134542849846184,0.0,277.41546511650085,1084.0,8.029863238334656e-05,1763260362.6161242,-0.0010317359119653702,,,2.8951093554496765e-05,2882,270976,0.00013748080527875572
0.3365805447101593,-0.0012505054473876953,74.6539535522461,0.0,278.1415367126465,1084.0,-0.00024688243865966797,1763260363.3421957,0.001979054883122444,,,2.814270555973053e-05,2890,271744,0.0001370199752273038
0.3145831525325775,0.2099597454071045,0.0008110873750410974,0.0,280.12320160865784,1084.0,0.0018310081213712692,1763260365.3238606,-0.0016811871901154518,,,5.1281414926052094e-05,2911,273920,0.00013571429008152336
0.45357972383499146,0.5356743335723877,0.005953127518296242,0.0,282.31075525283813,1084.0,-0.0017180033028125763,1763260367.5114143,0.004940027371048927,,,6.132759153842926e-05,2935,276352,0.00013425499491859227
0.3620069622993469,-0.001585245132446289,597.8033447265625,0.0,283.5865776538849,1085.0,0.00014693289995193481,1763260368.7872367,0.00015384051948785782,,,1.9154511392116547e-05,2949,277760,0.00013341013982426375
0.3869975805282593,-1.2159161567687988,0.0012840044219046831,0.0,284.6232569217682,1085.0,-0.005760118365287781,1763260369.823916,0.0032874643802642822,,,0.00026449188590049744,2960,278912,0.00013271889474708587
0.402883917093277,0.02729898691177368,0.0008243648335337639,0.0,286.0325725078583,1085.0,0.010501300916075706,1763260371.2332315,0.017112718895077705,,,0.001557561568915844,2975,280448,0.00013179723464418203
