losses/clipfrac,losses/explained_variance,_timestamp,global_step,charts/episodic_return,losses/entropy,charts/SPS,losses/approx_kl,charts/learning_rate,charts/episodic_length,_step,losses/old_approx_kl,losses/value_loss,losses/policy_loss,_runtime
0.0,-0.18452978134155273,1763260368.2883062,281344,,0.5888580083847046,1101.0,0.0008087838068604469,0.00013125959958415478,,2989,0.0002033999189734459,0.00016912113642320037,-0.00970265083014965,283.12753915786743
0.0,-2.5391578674316406e-05,1763260368.9534516,282112,,0.5543369054794312,1101.0,1.9552186131477356e-05,0.00013079876953270286,,2997,0.000676298514008522,307.06292724609375,0.000706896185874939,283.7926845550537
0.0,-1.398238182067871,1763260370.2469893,283520,,0.5123578906059265,1101.0,0.00030750688165426254,0.00012995391443837434,,3011,-0.005395769141614437,0.0003838196862488985,-0.00703439861536026,285.08622217178345
0.00390625,-0.7036688327789307,1763260373.9066525,287616,,0.5073199272155762,1101.0,0.0024012532085180283,0.0001274961541639641,,3051,0.024510351940989494,0.00019294976664241403,-0.01103438250720501,288.74588537216187
0.0,-0.0006679296493530273,1763260374.0201795,287744,,0.5038456320762634,1101.0,0.0004844190552830696,0.00012741934915538877,,3053,0.0028386907652020454,460.0849609375,-0.0007402300834655762,288.8594124317169
0.0,-0.03498101234436035,1763260375.2740855,289152,,0.5726415514945984,1101.0,3.427639603614807e-05,0.00012657449406106025,,3066,0.004024367779493332,0.00017647634376771748,-0.001335330307483673,290.11331844329834
0.0,0.16684353351593018,1763260375.6462288,289536,,0.5523023009300232,1101.0,0.0011367946863174438,0.0001263440790353343,,3070,-0.008166506886482239,0.0001920937211252749,-0.011918686330318451,290.48546171188354
0.0,-0.00030994415283203125,1763260376.7891688,290816,,0.541024923324585,1101.0,0.00048484280705451965,0.00012557604350149632,,3083,0.0038482751697301865,115.42831420898438,-0.005949892103672028,291.6284017562866
0.0,-0.25276267528533936,1763260378.163707,292352,,0.538981556892395,1101.0,0.0005185268819332123,0.00012465438339859247,,3098,0.006364678964018822,0.0033588900696486235,-0.006172109395265579,293.0029399394989
0.0,-0.06060457229614258,1763260378.6457667,292864,,0.5760864615440369,1101.0,0.00013693701475858688,0.0001243471633642912,,3103,0.0013955747708678246,0.0029839163180440664,-0.005378656089305878,293.48499965667725
0.0,-0.00036966800689697266,1763260380.8398132,295296,,0.5757410526275635,1101.0,7.60834664106369e-05,0.0001228878682013601,,3127,0.0026878882199525833,208.05540466308594,-0.0006913468241691589,295.6790461540222
0.0,-0.05249452590942383,1763260381.0597646,295552,,0.5454421639442444,1101.0,0.0014658123254776,0.00012273425818420947,,3129,0.017605168744921684,0.00019489250553306192,-0.018290556967258453,295.8989975452423
0.0,-0.6809291839599609,1763260382.2098968,296832,,0.4816417098045349,1101.0,3.874208778142929e-05,0.00012196620809845626,,3141,0.003349616192281246,0.004208322614431381,0.0010131783783435822,297.04912972450256
0.0,0.01835542917251587,1763260382.4289434,297088,,0.6084398031234741,1101.0,9.690411388874054e-06,0.00012181259808130562,,3143,-0.0004659099504351616,0.00017825036775320768,-0.00021728873252868652,297.26817631721497
0.0,-0.1719440221786499,1763260382.6528819,297344,,0.5264340043067932,1101.0,0.00013484247028827667,0.00012165898806415498,,3146,-0.0016668979078531265,0.0032216249965131283,-0.0019710157066583633,297.4921147823334
