_timestamp,losses/policy_loss,losses/value_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,losses/entropy,losses/clipfrac,_step,losses/explained_variance,global_step,charts/SPS,_runtime,charts/learning_rate,charts/episodic_return
1763260496.588915,-0.003712780773639679,0.0003880613949149847,0.001852015033364296,0.0017607174813747406,,0.5213074684143066,0.009765625,2506,-0.11867940425872803,226944,601.0,405.6523690223694,0.0001639016845729202,
1763260497.859834,0.0005632787942886353,0.0053949616849422455,7.664784789085388e-06,0.0012525618076324463,,0.548545777797699,0.0,2514,-0.019651055335998535,227712,601.0,406.92328786849976,0.00016344085452146828,
1763260498.0497189,-0.0002932250499725342,0.0006532178958877921,0.0007599480450153351,-6.54030591249466e-05,,0.5678504705429077,0.0,2515,-0.4965667724609375,227840,601.0,407.1131727695465,0.00016336404951289296,
1763260498.9197898,-0.0055687315762043,0.00042139869765378535,0.0005541546270251274,0.005475440062582493,,0.49581649899482727,0.0,2520,-0.010490059852600098,228352,601.0,407.98324370384216,0.00016305682947859168,
1763260500.2080696,-0.01824253611266613,557.408203125,0.0016144486144185066,0.01655636355280876,,0.4965304136276245,0.0,2533,0.01947265863418579,229376,602.0,409.271523475647,0.00016244238940998912,
1763260500.9681377,-0.001214243471622467,521.3276977539062,0.00029839109629392624,0.005646777339279652,,0.48324939608573914,0.0,2540,0.1114313006401062,230016,602.0,410.03159165382385,0.00016205837891902775,
1763260501.7429807,-0.0005369121208786964,0.6241123676300049,3.6694109439849854e-06,-0.00047109276056289673,,0.5042747259140015,0.0,2547,-1.1019797325134277,230656,603.0,410.80643463134766,0.00016167435387615114,
1763260504.08823,-0.00015039555728435516,757.6100463867188,1.821015030145645e-05,0.002307458780705929,,0.4772877097129822,0.0,2570,0.11984550952911377,232576,604.0,413.15168380737305,0.00016052227874752134,
1763260504.2280252,-0.002662457525730133,0.06880815327167511,4.1103921830654144e-05,0.0017263544723391533,,0.48069557547569275,0.0,2571,-5.911393165588379,232704,604.0,413.2914791107178,0.00016044547373894602,
1763260504.695106,-0.0029336363077163696,0.19393448531627655,0.00013405736535787582,0.00025113020092248917,,0.5177584886550903,0.0,2576,-0.9773303270339966,233088,605.0,413.7585599422455,0.00016021505871322006,
1763260504.746564,,,,,261.0,,,2577,,233204,,413.810017824173,,261.0
1763260508.0249157,,,,,500.0,,,2608,,236118,,417.0883696079254,,500.0
1763260508.2896552,-0.0037196725606918335,0.021032502874732018,0.0006398307159543037,0.0029902802780270576,,0.43233153223991394,0.0,2610,-0.23024404048919678,236288,607.0,417.35310912132263,0.00015829493349883705,
1763260510.4481351,-0.0018919240683317184,0.007406420540064573,0.00019292719662189484,-0.006959732621908188,,0.5659732222557068,0.0,2630,-2.3850719928741455,238336,609.0,419.51158905029297,0.00015706605336163193,
1763260511.0187824,-0.001784197986125946,0.00034373014932498336,0.00014466233551502228,0.0024883542209863663,,0.4970801770687103,0.0,2636,0.19193506240844727,238976,610.0,420.082236289978,0.00015668202831875533,
1763260512.1078823,-0.0017975997179746628,0.00012359156971797347,4.328135401010513e-05,-0.0008939700201153755,,0.5420897603034973,0.0,2646,-3.5457215309143066,240000,611.0,421.17133617401123,0.00015606758825015277,
1763260512.1587415,,,,,500.0,,,2647,,240118,,421.2221953868866,,500.0
1763260512.2674882,-0.0008423700928688049,695.1864624023438,3.7717632949352264e-05,-0.00276357214897871,,0.4800982177257538,0.0,2648,-0.00015425682067871094,240128,611.0,421.33094215393066,0.00015599078324157745,
1763260514.3952007,-0.0003022700548171997,408.8188781738281,0.00016639754176139832,0.007773732766509056,,0.5141557455062866,0.0,2668,-0.0002802610397338867,242176,613.0,423.4586546421051,0.00015476190310437232,
1763260515.0492744,-8.853524923324585e-05,597.934814453125,0.000186198391020298,0.000984768383204937,,0.4900366961956024,0.0,2673,-0.00031125545501708984,242688,613.0,424.11272835731506,0.00015445468307007104,
1763260516.1681626,-0.008704341016709805,548.6756591796875,0.00029926467686891556,0.00022099632769823074,,0.5357168316841125,0.0,2683,-0.0005915164947509766,243712,614.0,425.2316164970398,0.00015384024300146848,
1763260516.5880206,,,,,500.0,,,2687,,244118,,425.6514744758606,,500.0
1763260516.8465447,-0.004992157220840454,0.003979561384767294,0.00028726179152727127,0.0027622682973742485,,0.5467019081115723,0.0,2689,-0.11800897121429443,244352,614.0,425.9099986553192,0.00015345621795859188,
1763260517.1034403,,,,,500.0,,,2692,,244618,,426.166894197464,,500.0
1763260521.5171263,0.0017907842993736267,637.1809692382812,3.277044743299484e-05,-0.0006179818883538246,,0.5182464718818665,0.0,2732,-0.00038993358612060547,248704,618.0,430.5805802345276,0.000150844847667031,
1763260523.6694043,-0.001585913822054863,0.0037142103537917137,0.0002995813265442848,0.0035819048061966896,,0.5885397791862488,0.0,2752,-0.21184659004211426,250752,620.0,432.73285818099976,0.0001496159820817411,
