charts/SPS,charts/episodic_length,losses/entropy,charts/learning_rate,losses/old_approx_kl,_timestamp,losses/approx_kl,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,global_step,charts/episodic_return,_runtime,losses/clipfrac
1087.0,,0.41396456956863403,0.00014646697673015296,0.005088455975055695,1763260312.2927234,0.0005797576159238815,438.6821594238281,0.008910534903407097,-6.592273712158203e-05,2772,256000,,261.2077124118805,0.0
1087.0,,0.46331197023391724,0.0001458525366615504,0.00035490188747644424,1763260313.2290237,3.7214718759059906e-05,654.21044921875,0.0013651717454195023,0.0010998845100402832,2782,257024,,262.14401268959045,0.0
1087.0,,0.48808780312538147,0.00014577573165297508,0.0038272328674793243,1763260313.3426075,0.0005599837750196457,0.005137802567332983,-0.0012952834367752075,-2.0838959217071533,2783,257152,,262.25759649276733,0.0
1087.0,,0.4188811182975769,0.00014516129158437252,0.002409175969660282,1763260314.282385,0.0013130838051438332,0.007101418450474739,-0.009084329009056091,-0.4503883123397827,2793,258176,,263.1973741054535,0.0
1087.0,,0.5434974431991577,0.00014324116636998951,0.0025987857952713966,1763260317.2067175,0.0006988579407334328,0.0001461471401853487,-0.007082644384354353,-0.7831655740737915,2824,261376,,266.1217064857483,0.0
1088.0,,0.5107185244560242,0.0001420890912413597,0.012016814202070236,1763260318.9295292,0.0014653541147708893,0.0002241253387182951,-0.007352404296398163,-0.16686511039733887,2843,263296,,267.84451818466187,0.0
1088.0,,0.542874276638031,0.0001412442361470312,0.005962635390460491,1763260320.239744,0.0009524030610918999,0.004291438963264227,-0.0027527110651135445,-0.3603614568710327,2857,264704,,269.1547329425812,0.0
1088.0,,0.5298494100570679,0.00013963133096694946,-0.00015930365771055222,1763260322.676269,3.8463622331619263e-07,0.0005111510399729013,0.00019110925495624542,-0.7188714742660522,2882,267392,,271.59125804901123,0.0
1088.0,,0.5625644326210022,0.00013917050091549754,0.0014542918652296066,1763260323.392141,0.00014023855328559875,0.0049387626349925995,-0.0010292334482073784,-2.5708110332489014,2890,268160,,272.3071300983429,0.0
1088.0,,0.5337762832641602,0.00013786483032163233,-0.0023659290745854378,1763260325.3655853,0.00019281450659036636,0.0005306476959958673,-0.0021420344710350037,-0.18103039264678955,2911,270336,,274.2805743217468,0.0
1088.0,,0.4901573359966278,0.00013640553515870124,0.009841554798185825,1763260327.5753927,0.0030079269781708717,0.0006126913940533996,-0.027926266193389893,0.23145347833633423,2935,272768,,276.4903817176819,0.0
1088.0,,0.44460779428482056,0.00013556068006437272,0.0015643732622265816,1763260328.8521323,0.00017001386731863022,0.005187824834138155,-0.00015684962272644043,-1.5756101608276367,2949,274176,,277.76712131500244,0.0
1088.0,,0.5404570698738098,0.00013486943498719484,-0.0015825675800442696,1763260329.8954983,0.00010287482291460037,0.0003063562617171556,0.0002046152949333191,0.04856067895889282,2960,275328,,278.8104872703552,0.0
1088.0,,0.44992661476135254,0.000133947774884291,0.002086728811264038,1763260331.2786853,0.00022863782942295074,0.00030268708360381424,-0.004878677427768707,0.5337063074111938,2975,276864,,280.193674325943,0.0
1088.0,,0.531365692615509,0.00013310291978996247,0.006327399052679539,1763260332.5503407,0.0004886304959654808,0.0005163532914593816,-0.0027465131133794785,-0.36107707023620605,2989,278272,,281.4653296470642,0.0
1088.0,,0.5126047134399414,0.00013264208973851055,-0.005492971278727055,1763260333.2664185,7.166434079408646e-05,463.73309326171875,0.0001798495650291443,2.6941299438476562e-05,2997,279040,,282.18140745162964,0.0
,500.0,,,,1763260334.549762,,,,,3011,280460,500.0,283.46475100517273,
1088.0,,0.5218665599822998,0.00012926266936119646,-0.00018937047570943832,1763260338.4172328,4.2514875531196594e-06,0.005306199658662081,-0.00017922371625900269,-0.1430671215057373,3051,284672,,287.3322217464447,0.0
