losses/old_approx_kl,_timestamp,losses/entropy,losses/policy_loss,charts/episodic_return,losses/clipfrac,losses/explained_variance,losses/value_loss,charts/learning_rate,_runtime,charts/SPS,losses/approx_kl,_step,global_step,charts/episodic_length
,1763260464.8371413,,,500.0,,,,,373.86399936676025,,,2223,203100,500.0
-0.0063693951815366745,1763260465.106743,0.47733911871910095,-0.004075177013874054,,0.01953125,-0.8834390640258789,0.008088614791631699,0.00017811059660743922,374.13360118865967,588.0,0.0075981467962265015,2225,203264,
0.007584256120026112,1763260465.2383826,0.4553154706954956,-0.0009009502828121185,,0.0,0.30884647369384766,0.0004585844581015408,0.0001780337915988639,374.2652406692505,588.0,0.00018163863569498062,2226,203392,
0.004994367249310017,1763260465.3716643,0.4856056272983551,0.00288449227809906,,0.0,-0.30963563919067383,0.00033519911812618375,0.00017795698659028858,374.39852237701416,588.0,0.0002487367019057274,2227,203520,
-0.005469728261232376,1763260465.8107996,0.4640824794769287,-0.004806471988558769,,0.0,-0.37112677097320557,0.0006863627932034433,0.00017772657156456262,374.8376576900482,588.0,0.0024899188429117203,2231,203904,
-0.012196199968457222,1763260466.2614489,0.4561253786087036,-0.007123339921236038,,0.0,-1.0577208995819092,0.008995071053504944,0.00017749615653883666,375.2883069515228,589.0,0.0006151385605335236,2235,204288,
0.0033189374953508377,1763260466.9603722,0.5337235331535339,-0.0028582513332366943,,0.0,-0.28981125354766846,0.000513739709276706,0.00017711213149596006,375.9872303009033,589.0,0.00013977475464344025,2241,204928,
,1763260467.6609004,,,500.0,,,,,376.68775844573975,,,2248,205600,500.0
-0.001068180426955223,1763260467.918944,0.5162630081176758,-0.009224463254213333,,0.0,-0.05453646183013916,0.008628900162875652,0.00017657449643593282,376.9458019733429,590.0,0.00016895867884159088,2250,205824,
,1763260468.2280905,,,500.0,,,,,377.25494861602783,,,2253,206100,500.0
,1763260470.3872046,,,500.0,,,,,379.4140627384186,,,2272,208100,500.0
0.010142638348042965,1763260471.2832904,0.4572199881076813,0.005342401564121246,,0.0,-0.8362993001937866,0.0010245853336527944,0.00017473117623012513,380.3101484775543,593.0,0.0021614981815218925,2280,208896,
-0.015398027375340462,1763260472.8796034,0.4047360420227051,0.0011966526508331299,,0.01953125,0.10491335391998291,0.0004252769285812974,0.00017380953067913651,381.90646147727966,595.0,0.00548295583575964,2295,210432,
-0.006499680690467358,1763260473.1742666,0.4443909823894501,-0.0005513131618499756,,0.0,-0.0011293888092041016,532.815673828125,0.00017365592066198587,382.20112466812134,595.0,0.0011792303994297981,2298,210688,
0.009268322959542274,1763260474.4601455,0.498396635055542,-0.0053471773862838745,,0.00390625,0.17978328466415405,0.0005169782671146095,0.00017288787057623267,383.4870035648346,597.0,0.0006393138319253922,2310,211968,
,1763260474.6011977,,,500.0,,,,,383.62805581092834,,,2312,212100,500.0
0.007448041811585426,1763260475.2677407,0.5225856900215149,-0.0041104890406131744,,0.0078125,-0.3457338809967041,0.0069222962483763695,0.00017242704052478075,384.2945988178253,597.0,0.0009959060698747635,2318,212736,
0.008221190422773361,1763260475.6677535,0.5399559140205383,-0.0008880756795406342,,0.0,0.00015908479690551758,341.5770568847656,0.0001721966254990548,384.69461154937744,598.0,0.0006513223052024841,2322,213120,
-0.0018806839361786842,1763260475.9066675,0.5280393362045288,0.010556977242231369,,0.0078125,-0.3003044128417969,0.0006032568053342402,0.00017204301548190415,384.9335255622864,598.0,0.004306306131184101,2324,213376,
-0.008425441570580006,1763260476.403167,0.436743825674057,0.00136663019657135,,0.013671875,-0.7109663486480713,0.00043638356146402657,0.00017173579544760287,385.430025100708,599.0,0.002575940452516079,2329,213888,
0.016386736184358597,1763260477.456019,0.5821552276611328,0.004448071122169495,,0.001953125,-0.34174346923828125,0.0005385756376199424,0.0001711213553790003,386.4828770160675,600.0,0.0008883671835064888,2339,214912,
0.0014407569542527199,1763260477.883132,0.4815526604652405,-0.003005092963576317,,0.0,-0.5163720846176147,0.007124312222003937,0.00017089094035327435,386.90999007225037,600.0,0.0004925606772303581,2343,215296,
