global_step,losses/value_loss,_runtime,_timestamp,losses/approx_kl,losses/old_approx_kl,_step,charts/SPS,charts/episodic_return,losses/entropy,losses/policy_loss,charts/learning_rate,charts/episodic_length,losses/clipfrac,losses/explained_variance
123008,384.8454284667969,260.754652261734,1763260350.8100073,0.0005913758650422096,-0.01681172102689743,1388,531.0,,0.45939499139785767,-0.0018169358372688293,0.0002262672787765041,,0.0,-0.0003635883331298828
123776,0.0008648190996609628,261.9985375404358,1763260352.0538926,0.0010409457609057426,-0.0073422035202383995,1395,532.0,,0.5244079828262329,-0.005373258143663406,0.00022580644872505218,,0.0,-0.08706235885620117
124160,0.0032252937089651823,262.62251377105713,1763260352.6778688,2.9556453227996826e-05,-9.019114077091217e-05,1399,532.0,,0.5147866606712341,0.0005926042795181274,0.00022557603369932622,,0.0,0.5194412469863892
124800,0.0012030141660943627,263.7341763973236,1763260353.7895315,0.002902423031628132,0.004503143019974232,1405,532.0,,0.49340254068374634,0.006120864301919937,0.00022519200865644962,,0.0,-0.25339341163635254
127507,,267.5854277610779,1763260357.6407828,,,1432,,500.0,,,,500.0,,
127616,385.92449951171875,267.76166248321533,1763260357.8170176,8.887611329555511e-05,0.0022787675261497498,1433,535.0,,0.5275895595550537,-0.001148376613855362,0.00022350229846779257,,0.0,0.0006858706474304199
129920,0.000179922062670812,271.3427996635437,1763260361.3981547,0.0005180686712265015,-0.004939934238791466,1455,536.0,,0.5715315341949463,-0.0030802683904767036,0.00022211982286535203,,0.0,0.15995192527770996
130007,,271.3955783843994,1763260361.4509335,,,1456,,500.0,,,,500.0,,
130048,595.2052612304688,271.58594012260437,1763260361.6412952,0.000715283676981926,-0.0009025018662214279,1457,536.0,,0.5540961027145386,0.013975702226161957,0.00022204301785677671,,0.0,0.00025963783264160156
135680,0.007276586256921291,278.41270899772644,1763260368.468064,0.0030450057238340378,-0.008201105520129204,1514,544.0,,0.5091770887374878,-0.020215004682540894,0.00021866359747946262,,0.001953125,0.25687235593795776
136448,0.0002332844742340967,279.6476581096649,1763260369.7030132,0.00040425825864076614,-0.007238033227622509,1521,545.0,,0.5818454027175903,0.0026889294385910034,0.0002182027674280107,,0.0,-0.16312944889068604
136832,0.0010311268270015717,280.26776456832886,1763260370.3231196,0.004401680082082748,0.010542362928390503,1525,545.0,,0.6022312641143799,-0.016747405752539635,0.00021797235240228474,,0.0,-0.05293107032775879
136986,,280.5083622932434,1763260370.5637174,,,1527,,500.0,,,,500.0,,
137216,0.005649867467582226,280.8765263557434,1763260370.9318814,0.0007007354870438576,0.00014485884457826614,1529,545.0,,0.5854081511497498,-0.010337866842746735,0.00021774193737655878,,0.0,0.09029823541641235
137728,0.005074070766568184,281.672682762146,1763260371.7280378,0.0008922750130295753,0.005061314441263676,1534,545.0,,0.5987272262573242,-0.0025611259043216705,0.0002174347173422575,,0.0,0.04576927423477173
137984,0.0002601968008093536,282.07993268966675,1763260372.1352878,0.0005887243896722794,-0.004854673519730568,1536,546.0,,0.5957633256912231,-0.010787837207317352,0.00021728110732510686,,0.0,-0.8329929113388062
138624,0.007616214454174042,283.14124035835266,1763260373.1965954,0.005343282595276833,-0.016364170238375664,1543,546.0,,0.43730780482292175,-0.0025783684104681015,0.00021689708228223026,,0.01171875,-0.14684736728668213
138880,0.0002680978213902563,283.5501763820648,1763260373.6055315,0.0013941414654254913,0.007727144286036491,1545,546.0,,0.5171382427215576,0.008046947419643402,0.00021674347226507962,,0.0234375,-1.4681050777435303
138986,,283.60434794425964,1763260373.659703,,,1546,,500.0,,,,500.0,,
140160,0.007109326310455799,285.6707582473755,1763260375.7261133,0.0030072107911109924,-0.00456634908914566,1558,546.0,,0.5247738361358643,0.011585153639316559,0.00021597542217932642,,0.009765625,0.6096346974372864
140288,0.0007638835813850164,285.8526155948639,1763260375.9079707,0.0015736063942313194,0.007052064873278141,1559,546.0,,0.6186118125915527,-0.014906525611877441,0.0002158986171707511,,0.0,-0.2486124038696289
140672,0.00599764846265316,286.47491002082825,1763260376.530265,0.0009958185255527496,0.008159559220075607,1563,547.0,,0.5932067632675171,0.009410006925463676,0.00021566820214502513,,0.0,0.6252432465553284
140928,805.8187866210938,286.79355096817017,1763260376.848906,0.002603038214147091,-0.010053793899714947,1566,547.0,,0.4585666358470917,-0.02370861917734146,0.0002155145921278745,,0.0,0.0004596114158630371
143232,0.0011317187454551458,289.55010080337524,1763260379.6054559,0.00012734252959489822,0.003772214986383915,1588,550.0,,0.5203433036804199,0.0009314091876149178,0.00021413210197351873,,0.0,-0.0036581754684448242
143360,0.00021093612303957343,289.7007887363434,1763260379.7561438,0.0004265187308192253,-0.0033511193469166756,1589,550.0,,0.5257419943809509,0.006565876305103302,0.0002140552969649434,,0.0,0.15252947807312012
144128,0.004044398199766874,290.67044591903687,1763260380.725801,1.0428018867969513e-05,-0.0008449247106909752,1597,551.0,,0.5201841592788696,-0.0007857084274291992,0.0002135944669134915,,0.0,0.31820380687713623
145152,0.008862219750881195,292.41375374794006,1763260382.4691088,0.0013522449880838394,-0.004439171403646469,1607,551.0,,0.45077967643737793,0.005386851727962494,0.00021298002684488893,,0.001953125,-0.6017330884933472
145408,0.0003198220510967076,292.8572053909302,1763260382.9125605,0.0007537351921200752,0.00573370885103941,1609,551.0,,0.5331897735595703,0.002045944333076477,0.00021282641682773829,,0.0,-0.08906722068786621
145422,,292.8955149650574,1763260382.95087,,,1610,,500.0,,,,500.0,,
145664,0.005521534476429224,293.2703506946564,1763260383.3257058,4.7042034566402435e-05,-0.0008620722219347954,1612,551.0,,0.5054047703742981,0.001434188336133957,0.00021267280681058764,,0.0,0.1377289891242981
147072,0.005737831816077232,295.5783426761627,1763260385.6336977,0.0007516294717788696,0.0009835455566644669,1626,552.0,,0.532601535320282,-0.006887465715408325,0.00021182795171625912,,0.0,0.27054107189178467
148352,0.0001176336663775146,297.2053394317627,1763260387.2606945,0.000101492740213871,-0.002130831591784954,1638,553.0,,0.5452144145965576,-0.0025498773902654648,0.00021105990163050592,,0.0,0.2283349633216858
153344,0.00017675291746854782,302.9032928943634,1763260392.958648,9.060651063919067e-05,-0.003201588988304138,1687,560.0,,0.569063127040863,0.0013275146484375,0.00020806452084798366,,0.0,-0.06630229949951172
157824,0.0003536552540026605,309.11383056640625,1763260399.1691856,0.0006978632882237434,0.008906007744371891,1732,564.0,,0.5206958651542664,-0.007893376052379608,0.00020537634554784745,,0.0,0.06065940856933594
