losses/clipfrac,losses/value_loss,losses/old_approx_kl,_timestamp,charts/episodic_length,global_step,losses/policy_loss,losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_return,_runtime,charts/learning_rate,_step,charts/SPS
0.0,0.007556412369012833,0.0014200042933225632,1763260281.5783503,,73728,0.0061718374490737915,-0.25692617893218994,0.4763861298561096,0.0005901604890823364,,190.74937438964844,0.0002558371634222567,930,454.0
,,,1763260283.1617532,500.0,74598,,,,,500.0,192.332777261734,,938,
0.0,0.0006631158757954836,0.002745569683611393,1763260283.866386,,74880,0.0007145404815673828,-1.2347846031188965,0.4553481340408325,0.0003348523750901222,,193.03741002082825,0.0002551459183450788,941,455.0
0.0,0.00017983275756705552,-0.0065538398921489716,1763260284.0868342,,75008,-0.0036850199103355408,-0.973702073097229,0.47826677560806274,0.00036446377635002136,,193.2578582763672,0.0002550691133365035,942,455.0
,,,1763260285.1756005,500.0,75598,,,,,500.0,194.34662461280823,,948,
0.0,267.0188293457031,0.0020512454211711884,1763260289.9914258,,78208,-0.007949486374855042,0.00023573637008666992,0.4117904007434845,0.0005095116794109344,,199.16244983673096,0.0002531489881221205,974,458.0
0.0,0.002259359462186694,-0.0069241831079125404,1763260290.7503722,,78848,-0.0032189562916755676,-0.44911015033721924,0.5402209758758545,0.0013421187177300453,,199.92139625549316,0.0002527649630792439,980,460.0
0.001953125,0.0013505922397598624,0.004023931920528412,1763260291.3792648,,79360,0.012341540306806564,0.05669891834259033,0.4931260347366333,0.0026465095579624176,,200.55028891563416,0.0002524577430449426,985,461.0
0.009765625,0.0015208146069198847,-0.0011512590572237968,1763260292.9751284,,80384,0.0072932168841362,-0.02996993064880371,0.49932852387428284,0.0015126662328839302,,202.1461524963379,0.0002518433320801705,995,463.0
,,,1763260293.2550783,500.0,80598,,,,,500.0,202.42610239982605,,997,
0.0,0.0003868577186949551,0.008303654380142689,1763260296.591031,,82432,-0.004574671387672424,0.21251553297042847,0.45223355293273926,0.0006150612607598305,,205.7620551586151,0.0002506144519429654,1015,465.0
0.0,0.0006052883109077811,0.002190857194364071,1763260297.5179396,,82944,0.0010212808847427368,0.2960953712463379,0.4521177113056183,0.0007881699129939079,,206.6889636516571,0.0002503072319086641,1020,465.0
0.0,0.00028499620384536684,0.00016203522682189941,1763260299.5218616,,84096,-0.00554535910487175,-0.016399264335632324,0.5511608123779297,0.00018998421728610992,,208.69288563728333,0.0002496159868314862,1031,466.0
0.005859375,0.00020663018221966922,0.026481155306100845,1763260302.1833234,,86016,-0.0029101744294166565,-0.8043631315231323,0.46524572372436523,0.004730112850666046,,211.35434746742249,0.0002484639117028564,1050,470.0
0.0,0.005049517843872309,5.596969276666641e-05,1763260302.4848037,,86272,-0.0012200120836496353,0.02239280939102173,0.5063740611076355,2.093147486448288e-05,,211.6558277606964,0.0002483103016857058,1053,471.0
0.00390625,0.005571512971073389,-0.015660669654607773,1763260303.0631568,,86784,-0.0017836838960647583,0.2738906741142273,0.46910905838012695,0.002813356928527355,,212.2341809272766,0.0002480030816514045,1058,472.0
0.0,0.00445698294788599,-0.008274685591459274,1763260307.41782,,89344,-0.000452626496553421,-0.003591299057006836,0.5324355959892273,0.000622069463133812,,216.58884406089783,0.0002464669814798981,1083,475.0
