losses/clipfrac,charts/episodic_return,charts/learning_rate,losses/explained_variance,global_step,_step,losses/entropy,_timestamp,charts/SPS,_runtime,losses/value_loss,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length
0.03515625,,0.00023763440549373627,0.5234025120735168,104064,1226,0.5152124166488647,1763260328.7528315,497.0,237.74770045280457,0.0006222893134690821,-0.006468445062637329,0.01172429695725441,0.003076300024986267,
0.0,,0.0002374039904680103,0.17563271522521973,104448,1230,0.5333493947982788,1763260329.4301386,497.0,238.42500758171082,0.004472265485674143,-0.002117447555065155,0.00033105723559856415,0.00022379308938980103,
0.0,,0.00023717357544228435,0.00041025876998901367,104832,1234,0.5274877548217773,1763260330.103169,497.0,239.09803795814514,250.8477783203125,0.012969426810741425,0.0015862537547945976,0.0021567968651652336,
0.0,,0.00023648233036510646,-0.15575778484344482,105984,1245,0.5332647562026978,1763260331.9954002,498.0,240.99026918411255,0.006932305637747049,-0.007230512797832489,0.0017201639711856842,-0.0029086358845233917,
,500.0,,,106850,1254,,1763260332.9694464,,241.9643154144287,,,,,500.0
0.009765625,,0.00023494623019360006,-0.10748076438903809,108544,1271,0.5375537872314453,1763260335.1759267,503.0,244.1707956790924,0.006410584319382906,-0.015594787895679474,0.0034698210656642914,0.000408761203289032,
,500.0,,,111464,1299,,1763260338.7354267,,247.73029565811157,,,,,500.0
,500.0,,,115464,1339,,1763260343.7438388,,252.738707780838,,,,,500.0
0.005859375,,0.00023072196927387267,0.0004032254219055176,115584,1340,0.4926840364933014,1763260343.8804,514.0,252.87526893615723,126.21976470947266,-0.01569884642958641,0.0012513715773820877,0.015610413625836372,
0.001953125,,0.00023018433421384543,1.5437602996826172e-05,116480,1349,0.4758014678955078,1763260344.9118361,516.0,253.9067051410675,480.0392150878906,0.0020316950976848602,0.0008140290156006813,-0.008401823230087757,
,500.0,,,117964,1363,,1763260346.9232507,,255.91811966896057,,,,,500.0
0.0,,0.00022918586910236627,0.08802539110183716,118144,1365,0.47526341676712036,1763260347.3253465,518.0,256.3202154636383,0.005479501560330391,0.0003255419433116913,0.00043401680886745453,0.006189603358507156,
0.0,,0.000228878649068065,-0.03974330425262451,118656,1370,0.537753701210022,1763260348.1880038,518.0,257.1828727722168,0.003987633623182774,-0.006292074918746948,0.0002312818542122841,-0.0024853041395545006,
0.0,,0.00022826420899946243,-0.11003780364990234,119680,1380,0.4379235506057739,1763260349.9120874,519.0,258.9069564342499,0.005072989966720343,0.001453794538974762,0.0007909080013632774,0.0059625329449772835,
0.0078125,,0.0002281874039908871,-0.07654154300689697,119808,1381,0.5025068521499634,1763260350.1282547,519.0,259.12312364578247,0.0003355209482833743,-0.004773635417222977,0.004246587865054607,-0.01255978737026453,
,500.0,,,120464,1388,,1763260351.2676165,,260.2624855041504,,,,,500.0
0.0,,0.00022734254889655858,-0.006747126579284668,121216,1395,0.49695029854774475,1763260352.5621247,519.0,261.55699372291565,0.000987641396932304,-0.0005295500159263611,0.001413731835782528,0.0013324031606316566,
0.0,,0.00022711213387083262,-0.05893146991729736,121600,1399,0.45674368739128113,1763260353.2462282,520.0,262.24109721183777,0.004039139952510595,0.0011343024671077728,0.00040250644087791443,0.0005280245095491409,
0.005859375,,0.00022672810882795602,0.04969507455825806,122240,1405,0.47638705372810364,1763260354.3202157,520.0,263.31508469581604,0.000508619355969131,-0.016516514122486115,0.004673621617257595,0.0028060870245099068,
,500.0,,,124964,1432,,1763260358.3169148,,267.3117837905884,,,,,500.0
0.0,,0.00022503839863929898,0.00013637542724609375,125056,1433,0.48827099800109863,1763260358.5325854,523.0,267.5274543762207,626.6539916992188,-0.005236925557255745,0.00034952349960803986,0.004558781161904335,
,500.0,,,127464,1455,,1763260362.2141297,,271.20899868011475,,,,,500.0
0.00390625,,0.0002235791034763679,-0.0004923343658447266,127488,1456,0.46208328008651733,1763260362.3388693,524.0,271.33373832702637,278.78009033203125,-0.015867799520492554,0.003157741390168667,0.0003802841529250145,
0.0,,0.00022350229846779257,-0.06874227523803711,127616,1457,0.4991801977157593,1763260362.4802134,525.0,271.47508239746094,0.006035535130649805,-0.007637288421392441,0.0007500117644667625,0.0012764716520905495,
,500.0,,,133464,1514,,1763260369.2785857,,278.2734546661377,,,,,500.0
0.0,,0.00021958525758236647,0.0017614960670471191,134144,1521,0.48063647747039795,1763260370.553329,534.0,279.54819798469543,0.004327795468270779,-0.001065208576619625,9.114760905504227e-05,0.005181732587516308,
0.0,,0.0002193548425566405,-4.8995018005371094e-05,134528,1525,0.4597304165363312,1763260371.1860785,534.0,280.18094754219055,439.6116027832031,-0.007063489407300949,0.00044731050729751587,0.0005286857485771179,
0.0,,0.00021920123253948987,-0.01885199546813965,134784,1527,0.49464088678359985,1763260371.6174035,534.0,280.6122725009918,0.0004490281571634114,-0.0023434460163116455,0.0007150890305638313,0.00779747124761343,
,500.0,,,134964,1529,,1763260371.8785598,,280.8734288215637,,,,,500.0
,500.0,,,135464,1534,,1763260372.7439334,,281.7388024330139,,,,,500.0
0.0,,0.00021866359747946262,0.012158989906311035,135680,1536,0.46532562375068665,1763260373.1511168,534.0,282.1459858417511,0.005037183407694101,0.0001612156629562378,2.594664692878723e-06,-0.00014170072972774506,
0.0078125,,0.0002182027674280107,0.0836220383644104,136448,1543,0.5093587636947632,1763260374.3973076,535.0,283.3921766281128,0.0002354261087020859,-0.009264703840017319,0.004577759653329849,0.009503573179244995,
0.0,,0.00021812596241943538,4.4465065002441406e-05,136576,1545,0.5270965695381165,1763260374.6444645,535.0,283.639333486557,325.5580749511719,0.0011764243245124817,0.00018834136426448822,-0.0008632447570562363,
0.0,,0.00021804915741086006,-0.38081610202789307,136704,1546,0.45447495579719543,1763260374.867941,535.0,283.8628098964691,0.006076452787965536,-0.020310912281274796,0.0013183997943997383,0.008451518602669239,
,500.0,,,137964,1558,,1763260376.7830627,,285.77793169021606,,,,,500.0
0.0,,0.00021728110732510686,-2.2411346435546875e-05,137984,1559,0.566348671913147,1763260376.8956084,535.0,285.89047741889954,472.9918518066406,0.0004307851195335388,0.0003923904150724411,-0.008730791509151459,
,500.0,,,138464,1563,,1763260377.3552916,,286.3501605987549,,,,,500.0
0.0,,0.00021682027727365494,0.060724496841430664,138752,1566,0.42356085777282715,1763260377.7542033,537.0,286.7490723133087,0.000489897676743567,0.012968182563781738,0.0008035488426685333,-0.006609141826629639,
,500.0,,,140964,1588,,1763260380.2974691,,289.2923381328583,,,,,500.0
0.0,,0.00021543778711929917,-4.112720489501953e-05,141056,1589,0.4857005774974823,1763260380.432185,540.0,289.42705392837524,278.31365966796875,0.0015356186777353287,0.000348605215549469,0.001788618043065071,
0.0,,0.00021490015205927193,0.02905935049057007,141952,1597,0.5091068744659424,1763260381.885804,540.0,290.88067293167114,0.00021716469200327992,-0.002611003816127777,0.00014404673129320145,0.004912390373647213,
0.0,,0.00021428571199066937,-1.0132789611816406e-05,142976,1607,0.5384753942489624,1763260383.7742674,540.0,292.769136428833,474.7923278808594,0.001988569274544716,0.00014048442244529724,0.005966614931821823,
0.0,,0.00021413210197351873,-0.02174699306488037,143232,1609,0.4740293622016907,1763260384.1933455,540.0,293.18821454048157,0.0007571567548438907,0.004588976502418518,0.00011636223644018173,-0.0035423962399363518,
0.0,,0.0002140552969649434,-0.09310579299926758,143360,1610,0.4647327661514282,1763260384.4079654,541.0,293.4028344154358,0.00022999643988441676,-0.0020505059510469437,0.0005218237638473511,-0.009937595576047897,
0.0,,0.0002139784919563681,-2.8014183044433594e-05,143488,1612,0.5103851556777954,1763260384.6774702,540.0,293.6723392009735,190.01795959472656,-0.00434521958231926,0.0004905406385660172,-0.0023089181631803513,
,500.0,,,144964,1626,,1763260386.7030752,,295.6979441642761,,,,,500.0
0.0,,0.00021236558677628636,-0.07995092868804932,146176,1638,0.5470083355903625,1763260388.0815353,544.0,297.0764043331146,0.006227919831871986,-0.00674811378121376,0.0006867218762636185,0.0078260637819767,
0.0,,0.0002093702059937641,0.0034212470054626465,151168,1687,0.5820872187614441,1763260393.506107,551.0,302.50097608566284,0.003984798211604357,-0.004986028652638197,0.00015839841216802597,0.0035117855295538902,
0.0,,0.00020675883570220321,0.00011056661605834961,155520,1732,0.5457969307899475,1763260399.4906054,555.0,308.48547434806824,176.49130249023438,0.0020367130637168884,0.0012548910453915596,0.0025547193363308907,
0.0,,0.0002059139806078747,0.03062760829925537,156928,1745,0.530845046043396,1763260401.2800884,556.0,310.2749574184418,0.0001785885397111997,0.0015303604304790497,0.0010165749117732048,-0.01564595103263855,
0.001953125,,0.00020545315055642277,-0.14894235134124756,157696,1753,0.5378497838973999,1763260402.7356791,556.0,311.73054814338684,0.004693050868809223,-0.00939837098121643,0.0010939715430140495,-0.0022139986976981163,
0.0,,0.00020537634554784745,0.2423214316368103,157824,1754,0.5066838264465332,1763260402.9512281,556.0,311.9460971355438,0.0005508249741978943,0.008326135575771332,0.00041486509144306183,0.003522643819451332,
