_timestamp,losses/policy_loss,losses/value_loss,charts/episodic_return,losses/explained_variance,losses/entropy,losses/approx_kl,losses/clipfrac,charts/episodic_length,_runtime,charts/SPS,global_step,_step,losses/old_approx_kl,charts/learning_rate
1763260298.9884386,-0.0055250078439712524,0.0004168272716924548,,-0.07093226909637451,0.5576591491699219,0.000670245848596096,0.0,,207.9385106563568,508.0,91392,1125,0.004150078631937504,0.00024523810134269297
1763260300.2990108,-0.0017589926719665527,343.66064453125,,-4.756450653076172e-05,0.5885031819343567,0.0002112230286002159,0.0,,209.2490828037262,509.0,92160,1133,0.0001777810975909233,0.00024477727129124105
1763260301.8590336,-0.016791492700576782,0.00045599081204272807,,0.029719173908233643,0.5222842693328857,0.0012264605611562729,0.009765625,,210.80910563468933,512.0,93440,1145,-0.0006435606628656387,0.00024400922120548785
1763260304.1650858,,,500.0,,,,,500.0,213.1151578426361,,95345,1164,,
1763260304.3503985,-0.0006137993186712265,642.488525390625,,4.661083221435547e-05,0.5199893116950989,5.768612027168274e-06,0.0,,213.30047059059143,515.0,95360,1165,0.001329571008682251,0.00024285714607685804
1763260305.673719,-0.02406175434589386,0.0008778491173870862,,-1.9450697898864746,0.49290451407432556,0.0091792531311512,0.021484375,,214.62379097938538,516.0,96128,1172,-0.033378954976797104,0.00024239631602540612
1763260307.2465382,-0.0009061545133590698,0.00625190231949091,,-0.10576236248016357,0.5486709475517273,0.0007396042346954346,0.0,,216.19661021232605,516.0,97024,1181,-0.0033223070204257965,0.00024185868096537888
1763260308.091079,-0.013457819819450378,0.00925523042678833,,0.26172399520874023,0.5422976016998291,0.0008319150656461716,0.0,,217.04115104675293,517.0,97536,1186,-0.009105736389756203,0.0002415514609310776
1763260309.9632866,-0.00516408309340477,0.0006136965821497142,,-0.3665567636489868,0.47714391350746155,0.0005056895315647125,0.0,,218.9133586883545,517.0,98688,1197,0.008490700274705887,0.00024086021585389972
1763260312.1978974,,,500.0,,,,,500.0,221.14796948432922,,100345,1213,,
1763260312.5526948,-0.0055796802043914795,0.006795591674745083,,-0.30172038078308105,0.4914076626300812,0.00024870969355106354,0.0,,221.50276684761047,520.0,100480,1215,-0.0055215973407030106,0.00023978494573384523
1763260313.9429803,0.002758219838142395,0.00027606484945863485,,0.014318883419036865,0.44656431674957275,0.0015504080802202225,0.001953125,,222.89305233955383,522.0,101632,1226,-0.0002819932997226715,0.00023909370065666735
1763260314.439408,-0.000626150518655777,0.006049308460205793,,0.08723211288452148,0.5326977968215942,0.0009742593392729759,0.0,,223.38948011398315,523.0,102016,1230,0.010701748542487621,0.0002388632856309414
1763260314.9201286,0.004004796966910362,540.5223388671875,,-6.389617919921875e-05,0.4727686643600464,0.00036238785833120346,0.0,,223.87020063400269,523.0,102400,1234,-0.005352023057639599,0.00023863287060521543
1763260316.348387,-0.003935825079679489,0.008665014989674091,,-0.04312324523925781,0.48930656909942627,0.003051210194826126,0.009765625,,225.29845905303955,525.0,103552,1245,0.007181386463344097,0.00023794162552803755
1763260317.4125407,-0.0017927810549736023,496.7336730957031,,0.00013113021850585938,0.5187147259712219,0.0003812164068222046,0.0,,226.3626127243042,527.0,104448,1254,0.002938542515039444,0.0002374039904680103
1763260319.5435402,0.0018366724252700806,0.00023571430938318372,,-0.052568912506103516,0.47478318214416504,0.0011313678696751595,0.0,,228.4936122894287,530.0,106240,1271,0.003998789004981518,0.00023632872034795582
1763260324.3195133,-0.029374264180660248,0.007278053555637598,,-0.16923296451568604,0.5123338103294373,0.0020245155319571495,0.001953125,,233.26958537101746,532.0,109056,1299,-0.007497367449104786,0.00023463901015929878
1763260331.1303928,-0.010695749893784523,0.000171527688507922,,-0.11386966705322266,0.46691542863845825,0.003373328596353531,0.005859375,,240.0804648399353,534.0,113152,1339,-0.01696719042956829,0.00023218126443680376
1763260331.316629,-0.003370046615600586,0.00018686852126847953,,-0.05301225185394287,0.5111086964607239,0.00044252909719944,0.0,,240.26670098304749,534.0,113280,1340,0.0009123850613832474,0.00023210445942822844
1763260332.542607,-0.03718049079179764,0.00046101579209789634,,0.06215900182723999,0.5677066445350647,0.00568363256752491,0.015625,,241.4926791191101,535.0,114176,1349,-0.02182445116341114,0.0002315668243682012
1763260334.262732,-0.03446856886148453,0.006832512095570564,,0.0409160852432251,0.5473455190658569,0.003391566686332226,0.00390625,,243.2128040790558,538.0,115584,1363,-0.0009022532030940056,0.00023072196927387267
1763260334.583879,0.002247653901576996,0.00022801145678386092,,-0.02866053581237793,0.5585335493087769,0.0007245233282446861,0.0,,243.53395104408264,538.0,115840,1365,-0.004495988599956036,0.00023056835925672203
1763260335.0926573,,,500.0,,,,,500.0,244.04272937774658,,116345,1370,,
1763260336.3838592,,,500.0,,,,,500.0,245.33393120765686,,117345,1380,,
1763260336.515636,0.002317853271961212,709.8856811523438,,-1.9431114196777344e-05,0.5452202558517456,8.583813905715942e-05,0.0,,245.46570801734924,540.0,117376,1381,-0.0020068325102329254,0.0002296466991538182
1763260337.3856647,-0.009546004235744476,0.0007706963224336505,,-0.1431518793106079,0.486735075712204,0.0029728589579463005,0.001953125,,246.3357367515564,542.0,118144,1388,0.01188888493925333,0.00022918586910236627
1763260338.198469,,,500.0,,,,,500.0,247.14854097366333,,118845,1395,,
1763260338.7499442,-0.00014331750571727753,0.00014746308443136513,,-0.02686333656311035,0.5423892736434937,0.000397510826587677,0.0,,247.7000162601471,543.0,119296,1399,-0.001396210864186287,0.00022849462402518839
1763260339.3756404,,,500.0,,,,,500.0,248.32571244239807,,119845,1405,,
1763260342.6821256,0.0006597209721803665,302.8992614746094,,0.001337289810180664,0.49444007873535156,0.00022614654153585434,0.0,,251.6321976184845,548.0,122496,1432,-0.002590467222034931,0.00022657449881080538
1763260342.8149247,0.008698038756847382,0.0026026794221252203,,-0.0066918134689331055,0.5949316620826721,0.0009416844695806503,0.0,,251.76499676704407,548.0,122624,1433,0.003463340923190117,0.00022649769380223006
1763260345.2329013,,,500.0,,,,,500.0,254.18297338485718,,124918,1455,,
1763260345.3149886,0.001965641975402832,413.1603088378906,,-7.987022399902344e-06,0.5959833860397339,0.0005530780181288719,0.0,,254.26506066322327,553.0,124928,1456,0.003866155631840229,0.0002251152036478743
1763260345.4693673,0.00998593121767044,0.00865344051271677,,-0.343086838722229,0.5450693964958191,0.0039300620555877686,0.005859375,,254.4194393157959,553.0,125056,1457,0.003737799823284149,0.00022503839863929898
1763260354.5774431,,,500.0,,,,,500.0,263.5275151729584,,130918,1514,,
1763260355.7773488,0.0002832971513271332,0.008428743109107018,,-0.019408464431762695,0.46202507615089417,0.0006461367011070251,0.0,,264.72742080688477,556.0,131584,1521,-0.005315573886036873,0.00022112135775387287
1763260356.2964687,0.005559750832617283,590.0376586914062,,-0.00012814998626708984,0.46749386191368103,0.0004567215219140053,0.0,,265.2465407848358,557.0,131968,1525,0.002823983319103718,0.0002208909427281469
1763260356.5775652,2.5214627385139465e-05,0.0004962108214385808,,0.07527297735214233,0.4885788559913635,1.0651536285877228e-05,0.0,,265.5276372432709,557.0,132224,1527,0.00019857566803693771,0.00022073733271099627
1763260356.7538893,,,500.0,,,,,500.0,265.7039613723755,,132418,1529,,
1763260357.3778758,,,500.0,,,,,500.0,266.3279478549957,,132918,1534,,
1763260357.7052293,0.0004361197352409363,0.005159526132047176,,0.10344588756561279,0.5131489038467407,0.0005899388343095779,0.0,,266.65530133247375,558.0,133120,1536,-0.002870433032512665,0.00022019969765096903
1763260358.9180756,0.0006721392273902893,0.0001386293297400698,,0.03971445560455322,0.5610066056251526,0.0032491208985447884,0.001953125,,267.86814761161804,559.0,133888,1543,-0.02226363494992256,0.0002197388675995171
1763260359.1510549,0.003442995250225067,340.5,,-0.00016367435455322266,0.48852241039276123,0.0011372249573469162,0.0,,268.101126909256,559.0,134016,1545,-0.0007453225553035736,0.0002196620625909418
1763260359.3251796,-0.005876407027244568,0.005607656203210354,,-0.03010392189025879,0.5121288299560547,0.0004616193473339081,0.0,,268.2752516269684,559.0,134144,1546,-0.00016998685896396637,0.00021958525758236647
1763260361.166934,,,500.0,,,,,500.0,270.1170060634613,,135418,1558,,
1763260361.3324096,0.0030520372092723846,355.5709228515625,,-4.744529724121094e-05,0.48634740710258484,0.00032764580100774765,0.0,,270.28248167037964,559.0,135424,1559,-0.004015547223389149,0.00021881720749661326
1763260361.9617085,,,500.0,,,,,500.0,270.9117805957794,,135918,1563,,
1763260362.3504348,-0.00559435086324811,0.0004500260984059423,,-0.8926302194595337,0.3891558051109314,0.0014095129445195198,0.0,,271.30050683021545,560.0,136192,1566,0.018528670072555542,0.00021835637744516134
1763260364.9537172,,,500.0,,,,,500.0,273.9037892818451,,138418,1588,,
1763260365.0886617,-0.00040850788354873657,386.8847961425781,,-9.179115295410156e-06,0.593186616897583,0.000248882919549942,0.0,,274.0387337207794,563.0,138496,1589,0.0038370806723833084,0.00021697388729080558
1763260366.1527357,-0.017702437937259674,0.00023138299002312124,,0.03506523370742798,0.5101334452629089,0.004609785974025726,0.0078125,,275.10280776023865,564.0,139392,1597,0.005009349435567856,0.00021643625223077834
1763260367.3416827,-0.008887231349945068,0.00019695462833624333,,-0.08270573616027832,0.5374988317489624,0.0016460083425045013,0.001953125,,276.2917547225952,566.0,140416,1607,0.005033675581216812,0.00021582181216217577
1763260367.508713,-0.0023383088409900665,0.0017909326124936342,,-8.106231689453125e-06,0.5463409423828125,0.0007716603577136993,0.0,,276.45878505706787,566.0,140544,1609,-0.011228255927562714,0.00021574500715360045
1763260367.6458614,0.00661102682352066,0.0003748101007658988,,0.11826533079147339,0.5698303580284119,0.003179119899868965,0.00390625,,276.5959334373474,566.0,140672,1610,-0.011020980775356293,0.00021566820214502513
1763260367.8390799,,,500.0,,,,,500.0,276.78915190696716,,140918,1612,,
1763260369.9622257,0.0014084726572036743,0.00025695981457829475,,-0.03470480442047119,0.5735761523246765,0.004879155196249485,0.00390625,,278.9122977256775,568.0,142336,1626,-0.00010475516319274902,0.00021466973703354597
1763260371.7861402,0.006421178579330444,575.4974975585938,,-5.9723854064941406e-05,0.5774722695350647,0.0008447803556919098,0.0,,280.73621225357056,568.0,143488,1638,0.005818301811814308,0.0002139784919563681
1763260378.6943998,-0.0029639825224876404,321.7524719238281,,-0.00013244152069091797,0.5321617126464844,0.00019731838256120682,0.0,,287.6444718837738,572.0,148352,1687,0.005327890627086163,0.00021105990163050592
1763260385.2672687,-0.006156552582979202,0.0069164251908659935,,-0.2101151943206787,0.5322434902191162,0.001376759260892868,0.0,,294.21734070777893,575.0,152960,1732,-0.014211023226380348,0.00020829493587370962
1763260386.8560338,,,500.0,,,,,500.0,295.8061058521271,,154261,1745,,
1763260387.8537855,-0.004087608307600021,0.00036722279037348926,,0.001191854476928711,0.5520045161247253,0.0016607046127319336,0.009765625,,296.80385756492615,577.0,155136,1753,0.022876141592860222,0.00020698925072792917
1763260387.907254,,,500.0,,,,,500.0,296.8573260307312,,155261,1754,,
1763260389.0812368,-0.009942065924406052,693.6234130859375,,0.0037789344787597656,0.38783180713653564,0.0010755201801657677,0.001953125,,298.03130888938904,579.0,156160,1765,0.009295954369008541,0.0002063748106593266
1763260389.5267851,-0.003816034644842148,0.0009286630083806813,,-15.4310302734375,0.45293185114860535,0.00033434294164180756,0.0,,298.47685718536377,579.0,156544,1768,0.006135143339633942,0.00020614439563360065
1763260390.5348928,0.0012582838535308838,0.0006980401230975986,,0.05136299133300781,0.5057546496391296,0.0013812370598316193,0.001953125,,299.4849648475647,580.0,157440,1777,0.0077929385006427765,0.0002056067605735734
1763260395.463426,,,500.0,,,,,500.0,304.41349816322327,,161649,1818,,
1763260396.2021258,,,500.0,,,,,500.0,305.1521978378296,,162149,1823,,
1763260400.0070107,0.0019110217690467834,0.0003283560508862138,,0.000926673412322998,0.4159722924232483,0.000736764632165432,0.0,,308.9570827484131,588.0,164992,1851,0.00606811698526144,0.00020107526506762952
1763260400.6028001,-0.016139835119247437,0.000384754705009982,,-0.3973510265350342,0.4555489718914032,0.0010029776021838188,0.0,,309.5528721809387,588.0,165504,1856,0.004075082950294018,0.00020076804503332824
1763260402.6341822,-0.005634982138872147,471.4039306640625,,-2.9802322387695312e-06,0.4556114375591278,0.00053368229418993,0.0,,311.58425426483154,588.0,166656,1868,0.0025492114946246147,0.00020007679995615035
1763260403.4693694,0.0001468714326620102,539.3331909179688,,2.2351741790771484e-05,0.5228007435798645,0.00017479527741670609,0.0,,312.4194414615631,588.0,167168,1873,-0.002552610822021961,0.00019976957992184907
1763260404.1094658,,,500.0,,,,,500.0,313.05953788757324,,167649,1877,,
