_step,losses/policy_loss,charts/episodic_length,_timestamp,charts/episodic_return,_runtime,losses/approx_kl,losses/clipfrac,global_step,charts/learning_rate,losses/explained_variance,losses/old_approx_kl,charts/SPS,losses/entropy,losses/value_loss
2093,-0.017767630517482758,,1763260240.263868,,180.14844012260437,0.039215490221977234,0.17578125,135296,0.00021889401250518858,0.9952024817466736,0.02343633770942688,784.0,0.26341521739959717,4.1179737308993936e-06
2094,-0.011487822979688644,,1763260240.4321837,,180.31675577163696,0.08063452690839767,0.1484375,135424,0.00021881720749661326,0.997241199016571,0.08725684881210327,784.0,0.22913838922977448,0.0023491387255489826
2117,-0.0021073464304208755,,1763260243.5973606,,183.48193264007568,0.00012946408241987228,0.0,137600,0.00021751152235083282,0.9968132972717285,-0.0006550652906298637,782.0,0.2943308353424072,2.768204649328254e-05
2146,,352.0,1763260247.5821,352.0,187.46667194366455,,,140315,,,,,,
2148,-0.011944223195314407,,1763260247.943987,,187.82855892181396,0.001058490015566349,0.05078125,140544,0.00021574500715360045,0.9988503456115723,0.00672787893563509,779.0,0.20074127614498138,0.00020639682770706713
2155,0.03065396100282669,,1763260248.8900106,,188.77458262443542,0.009616032242774963,0.033203125,141184,0.00021536098211072385,0.99802166223526,-0.023773010820150375,779.0,0.27409669756889343,1.128631174651673e-05
2172,0.0017232894897460938,,1763260251.1825397,,191.06711173057556,0.007455662824213505,0.072265625,142720,0.00021443932200782,0.7550115585327148,0.02692841738462448,777.0,0.27230626344680786,68.91256713867188
2185,,282.0,1763260252.906491,282.0,192.79106307029724,,,143902,,,,,,
2192,0.02818303555250168,,1763260253.8811035,,193.76567554473877,0.021138664335012436,0.08984375,144512,0.00021336405188776553,0.8741776347160339,0.024108637124300003,776.0,0.36343806982040405,0.08197173476219177
2199,0.0040323249995708466,,1763260254.818475,,194.70304703712463,0.0036134980618953705,0.0703125,145152,0.00021298002684488893,0.8811594247817993,0.013990131206810474,775.0,0.33249443769454956,50.6778564453125
