losses/clipfrac,global_step,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_timestamp,charts/episodic_length,losses/explained_variance,losses/value_loss,_step,charts/learning_rate,losses/entropy,_runtime,charts/SPS
0.134765625,60288,-0.04691234230995178,0.005632383748888969,,0.014074018225073814,1763260128.122075,,0.0028638243675231934,0.003139113076031208,1340,0.00026390168932266533,0.5239746570587158,67.85224914550781,1039.0
0.009765625,62464,0.004301764070987701,0.02966821938753128,,0.0029036030173301697,1763260130.0961092,,0.5672595500946045,0.012599579989910126,1363,0.0002625960041768849,0.4944581687450409,69.82628321647644,1041.0
0.0,62720,0.0032904595136642456,0.004861733876168728,,0.00010845158249139786,1763260130.358451,,-0.008469581604003906,0.001330711878836155,1365,0.00026244239415973425,0.5833643674850464,70.08862495422363,1041.0
0.05859375,63232,-0.000994836911559105,0.002965996041893959,,0.005322668701410294,1763260130.8031528,,-0.0021532773971557617,0.0012335429200902581,1370,0.00026213517412543297,0.4570249617099762,70.53332686424255,1042.0
0.068359375,64256,-0.008680101484060287,0.014086929149925709,,0.014997939579188824,1763260131.694748,,-0.0055283308029174805,0.0015057267155498266,1380,0.0002615207340568304,0.4147333800792694,71.42492198944092,1043.0
,64332,,,500.0,,1763260131.7224157,500.0,,,1381,,,71.45258975028992,
0.0,65024,0.0048359110951423645,-0.00391440000385046,,0.0005608061328530312,1763260132.405879,,-0.011053681373596191,0.010479710064828396,1388,0.0002610599040053785,0.4176195561885834,72.13605308532715,1044.0
0.078125,65664,-0.0030412841588258743,0.020207200199365616,,0.010621429421007633,1763260132.9693208,,-0.05000710487365723,0.0015225580427795649,1395,0.0002606758789625019,0.39327681064605713,72.6994948387146,1045.0
,65897,,,38.0,,1763260133.1200495,38.0,,,1399,,,72.85022354125977,
,66408,,,500.0,,1763260133.6143675,500.0,,,1405,,,73.34454154968262,
0.041015625,69120,0.00834144651889801,-0.009346868842840195,,0.00676590483635664,1763260137.512591,,-0.07255804538726807,0.008632423356175423,1432,0.00025860214373096824,0.3916798233985901,77.24276494979858,1026.0
0.0625,69248,0.0026457812637090683,0.012817606329917908,,0.01133929006755352,1763260137.7014453,,-0.014446020126342773,0.00030417676316574216,1433,0.0002585253387223929,0.34880951046943665,77.43161940574646,1025.0
