charts/SPS,losses/approx_kl,losses/clipfrac,losses/entropy,global_step,charts/learning_rate,_runtime,charts/episodic_length,charts/episodic_return,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,_timestamp,losses/old_approx_kl
,,,,98643,,118.75239133834839,500.0,500.0,,,,1597,1763260179.0111973,
,,,,99643,,120.49432516098022,500.0,500.0,,,,1607,1763260180.7531312,
879.0,0.0008522681891918182,0.001953125,0.13977541029453278,99840,0.00024016897077672184,120.92074823379517,,,3.919896698789671e-06,-0.0014263540506362915,-0.016772747039794922,1609,1763260181.1795542,-0.004256619140505791
879.0,0.005039125680923462,0.015625,0.2119475156068802,99968,0.00024009216576814651,121.14376878738403,,,0.00015165371587499976,-0.0019884631037712097,0.005786716938018799,1610,1763260181.4025748,0.0020934417843818665
869.0,0.004130241461098194,0.087890625,0.2867850959300995,101632,0.00023909370065666735,124.33265542984009,,,7.480583735741675e-05,-0.017429614439606667,0.004553616046905518,1626,1763260184.5914614,-0.00860829558223486
864.0,0.001147933304309845,0.0,0.2817412316799164,102784,0.00023840245557948947,126.29577207565308,,,0.0005712138372473419,0.0021249204874038696,0.006361901760101318,1638,1763260186.554578,0.007118113338947296
,,,,107454,,134.17875170707703,322.0,322.0,,,,1687,1763260194.4375577,
,,,,111612,,141.53403210639954,293.0,293.0,,,,1732,1763260201.792838,
826.0,0.001953928731381893,0.150390625,0.25666606426239014,112768,0.00023241167946252972,143.8495614528656,,,5.5063050240278244e-05,-0.021885521709918976,0.9970541000366211,1745,1763260204.1083674,-0.0005827238783240318
,,,,113479,,145.03457045555115,347.0,347.0,,,,1753,1763260205.2933764,
823.0,0.0021709399297833443,0.013671875,0.2659863829612732,113536,0.0002319508494110778,145.25160384178162,,,111.92744445800781,0.007837662473320961,0.34964412450790405,1754,1763260205.5104098,0.01684851199388504
820.0,0.0022136494517326355,0.03515625,0.17534038424491882,114560,0.00023133640934247524,147.08229660987854,,,0.4707614779472351,-0.0044372789561748505,0.41322004795074463,1765,1763260207.3411026,-0.004603056237101555
819.0,0.00020481087267398834,0.0,0.31014755368232727,114816,0.0002311827993253246,147.55944275856018,,,104.97576904296875,-0.0019030570983886719,0.44596606492996216,1768,1763260207.8182487,0.0007606633007526398
816.0,0.0010917698964476585,0.0,0.26445063948631287,115712,0.00023064516426529735,149.11608266830444,,,4.117340358789079e-05,0.008333271369338036,0.9978686571121216,1777,1763260209.3748887,0.0022923266515135765
804.0,7.470324635505676e-05,0.0,0.27593016624450684,119552,0.00022834101400803775,156.03625416755676,,,2.1522868337342516e-05,-0.005737680941820145,0.9965489506721497,1818,1763260216.2950602,8.262693881988525e-05
802.0,0.000710727646946907,0.0,0.26295915246009827,120064,0.00022803379397373646,157.01586031913757,,,68.5858154296875,-0.019213255494832993,0.8350487947463989,1823,1763260217.2746663,0.013765191659331322
794.0,0.04209316521883011,0.140625,0.3011099696159363,122752,0.00022642088879365474,161.91338872909546,,,0.009037145413458347,-0.03961031883955002,0.9995283484458923,1851,1763260222.1721947,0.04055996984243393
793.0,0.011499006301164627,0.064453125,0.38978537917137146,123136,0.00022619047376792878,162.63636803627014,,,0.21687202155590057,-0.0205308198928833,0.9088934063911438,1856,1763260222.895174,0.021764378994703293
790.0,0.017110446467995644,0.056640625,0.3861302137374878,124288,0.0002254992286907509,164.69528245925903,,,32.93938446044922,0.03055691532790661,0.931553304195404,1868,1763260224.9540884,0.05598004534840584
789.0,0.004556640051305294,0.017578125,0.19977593421936035,124800,0.00022519200865644962,165.59444499015808,,,1.5320636521209963e-05,0.00601327046751976,0.9978979229927063,1873,1763260225.853251,-0.0008311038836836815
788.0,0.013742473907768726,0.076171875,0.2602251470088959,125184,0.00022496159363072366,166.28425002098083,,,0.0002109276974806562,-0.001356024295091629,0.997234582901001,1877,1763260226.543056,0.024774722754955292
,,,,126019,,167.6937644481659,313.0,313.0,,,,1886,1763260227.9525704,
782.0,0.00206021498888731,0.0,0.19656723737716675,127616,0.00022350229846779257,170.57679986953735,,,3.007859777426347e-05,-0.004052147269248962,0.9962289929389954,1903,1763260230.8356059,0.013153634034097195
781.0,0.00928893405944109,0.037109375,0.32169777154922485,127872,0.00022334868845064193,171.05846214294434,,,20.699907302856445,-0.017634734511375427,0.9679778814315796,1906,1763260231.3172681,0.008720445446670055
779.0,0.026471789926290512,0.15625,0.4330935478210449,129152,0.00022258063836488873,173.22965836524963,,,0.013127690181136131,-0.029777852818369865,0.9998551607131958,1918,1763260233.4884644,0.0008524004369974136
778.0,0.0033626025542616844,0.025390625,0.2577684223651886,129280,0.0002225038333563134,173.46202659606934,,,0.0033431830815970898,0.011893847957253456,0.9681913256645203,1920,1763260233.7208326,0.01478643249720335
