_step,charts/episodic_length,losses/explained_variance,charts/learning_rate,losses/clipfrac,losses/entropy,losses/old_approx_kl,_runtime,_timestamp,losses/value_loss,losses/policy_loss,charts/SPS,charts/episodic_return,losses/approx_kl,global_step
1543,,0.9788877964019775,0.0002502304269000888,0.03125,0.14797568321228027,0.014859993010759354,100.65495419502258,1763260160.9287841,0.0008096222300082445,-0.02446969971060753,912.0,,0.0008604871109127998,83072
1545,,-4.604280948638916,0.00025007681688293815,0.04296875,0.23307746648788452,0.008655372075736523,101.04814767837524,1763260161.3219776,0.0011169554200023413,-0.011058464646339417,911.0,,0.0011423518881201744,83328
1546,500.0,,,,,,101.09021639823914,1763260161.3640463,,,,500.0,,83334
1558,,0.8573158979415894,0.00024930876679718494,0.140625,0.2230931520462036,0.04922652617096901,103.13387727737427,1763260163.4077072,0.0011768578551709652,-0.03252963721752167,904.0,,0.024652373045682907,84608
1559,,0.9069189429283142,0.0002492319617886096,0.0,0.3123556971549988,-0.007491776719689369,103.33247494697571,1763260163.606305,0.0006091729737818241,0.004126697778701782,904.0,,0.0006456319242715836,84736
1563,,0.9148138761520386,0.00024900154676288366,0.078125,0.26628097891807556,-0.039680782705545425,103.95369482040405,1763260164.2275248,0.0010546196717768908,0.021503105759620667,902.0,,0.02437528595328331,85120
1566,,0.023160159587860107,0.000248847936745733,0.046875,0.16586823761463165,0.04325587674975395,104.41591119766235,1763260164.6897411,0.08861852437257767,-0.0007654335349798203,900.0,,0.013540888205170631,85376
1589,,0.4605265259742737,0.00024738864158280194,0.044921875,0.16705690324306488,0.011149929836392403,108.33763837814331,1763260168.6114683,0.0006684262189082801,-0.01862470805644989,889.0,,0.001309376209974289,87808
1597,,0.9650579690933228,0.00024692781153135,0.00390625,0.21260297298431396,0.011162852868437767,109.5701687335968,1763260169.8439987,0.0005336952162906528,-0.01317594200372696,886.0,,0.0019331946969032288,88576
1607,,0.8553696870803833,0.00024631337146274745,0.0651041641831398,0.16400855779647827,0.08055510371923447,111.14235830307007,1763260171.4161882,0.0008663370972499251,-0.021253451704978943,882.0,,0.05854897201061249,89600
1609,500.0,,,,,,111.36213850975037,1763260171.6359684,,,,500.0,,89834
1610,,0.002802252769470215,0.0002461597614455968,0.021484375,0.2981595993041992,0.0049821604043245316,111.52779722213745,1763260171.8016272,142.5640869140625,0.0012918263673782349,881.0,,0.006287793628871441,89856
1626,,0.9463157057762146,0.00024516129633411765,0.1171875,0.10100023448467255,0.039392706006765366,113.93587017059326,1763260174.2097,0.001279813819564879,-0.02564915642142296,877.0,,0.019240913912653923,91520
1638,,-0.2788684368133545,0.00024439324624836445,0.109375,0.24239301681518555,-0.009911233559250832,115.86822652816772,1763260176.1420565,0.0006843052105978131,0.00940022524446249,873.0,,0.012653117999434471,92800
1687,,0.6807500123977661,0.00024139785091392696,0.044921875,0.22237470746040344,-0.009451644495129585,124.89874529838562,1763260185.1725752,0.0011387275299057364,-0.01204236876219511,848.0,,0.01280605886131525,97792
1732,500.0,,,,,,132.40782237052917,1763260192.6816523,,,,500.0,,102334
1745,,0.890267550945282,0.00023786482051946223,0.1015625,0.2956560254096985,-0.000789327546954155,134.57544350624084,1763260194.8492734,0.0017453177133575082,-0.006883855909109116,829.0,,0.030547766014933586,103680
1753,,0.05110454559326172,0.0002374039904680103,0.0,0.18145835399627686,-0.006373637355864048,135.8195140361786,1763260196.093344,3.4254655838012695,-0.001095116138458252,827.0,,0.0001727556809782982,104448
1754,,0.9836475253105164,0.00023732718545943499,0.017578125,0.23097121715545654,-0.015246307477355003,135.99927306175232,1763260196.273103,0.000770062324590981,0.009970761835575104,827.0,,0.0033735930919647217,104576
1765,,0.7065231800079346,0.0002366359403822571,0.09375,0.2405065894126892,-0.004315153695642948,137.8484125137329,1763260198.1222425,0.001390164252370596,0.007956162095069885,824.0,,0.009540536440908909,105728
1768,,0.9930935502052307,0.00023648233036510646,0.02734375,0.1838497519493103,0.00354561023414135,138.26664400100708,1763260198.540474,0.0002518352121114731,0.004678130149841309,823.0,,0.0036242641508579254,105984
1777,,0.024663329124450684,0.00023594469530507922,0.001953125,0.24677827954292297,0.0011780112981796265,139.6834008693695,1763260199.9572308,141.99253845214844,7.989257574081421e-05,821.0,,3.038346767425537e-05,106880
1818,,0.9926506280899048,0.00023341014457400888,0.072265625,0.30605649948120117,-0.005541957914829254,146.39329957962036,1763260206.6671295,0.0006654321914538741,0.0032171010971069336,812.0,,0.010752120986580849,111104
1823,,0.9815189838409424,0.0002331029245397076,0.0625,0.2646545171737671,0.04019984230399132,147.20631909370422,1763260207.480149,0.0009549040114507079,-0.04235450178384781,811.0,,0.03496232628822327,111616
1851,,0.04695242643356323,0.00023141321435105056,0.001953125,0.2528845965862274,-0.021902024745941162,151.66590237617493,1763260211.9397323,22.752544403076172,0.002996020019054413,805.0,,0.0016308939084410667,114432
1856,,0.04445910453796387,0.00023110599431674927,0.03515625,0.2743433713912964,-0.03220793604850769,152.50546431541443,1763260212.7792943,22.78619956970215,-0.015042781829833984,804.0,,0.01444261521100998,114944
1868,,0.9835507273674011,0.00023033794423099607,0.037109375,0.31038856506347656,0.04408695548772812,154.5371971130371,1763260214.811027,0.0028663999401032925,-0.03563991189002991,802.0,,0.012330570258200169,116224
1873,,0.964542031288147,0.0002300307241966948,0.1640625,0.2848789095878601,0.08814945816993713,155.35615038871765,1763260215.6299803,0.005754333920776844,-0.06971560418605804,801.0,,0.12333931773900986,116736
1877,,0.9702510237693787,0.00022980030917096883,0.14453125,0.27589112520217896,0.05958680063486099,155.95868968963623,1763260216.2325196,0.00819250475615263,-0.07937030494213104,800.0,,0.11074928194284439,117120
1886,,0.9983850121498108,0.0002292626741109416,0.09375,0.20846106112003326,0.039608702063560486,157.48578596115112,1763260217.759616,0.00024001867859624326,-0.028562821447849274,798.0,,0.015259343199431896,118016
1903,,0.9342931509017944,0.0002281874039908871,0.099609375,0.2694534659385681,-0.00016629137098789215,160.3816213607788,1763260220.6554513,0.005490024574100971,-0.0005036760121583939,794.0,,0.0001276303082704544,119808
1906,,0.9993698000907898,0.00022803379397373646,0.119140625,0.2447640299797058,0.03028193488717079,160.8345274925232,1763260221.1083574,0.0006608432158827782,-0.03854109346866608,794.0,,0.00951074156910181,120064
1918,500.0,,,,,,162.6644902229309,1763260222.9383202,,,,500.0,,121334
