global_step,losses/policy_loss,losses/explained_variance,_timestamp,_runtime,losses/clipfrac,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,charts/SPS,losses/approx_kl,losses/value_loss,charts/episodic_length,_step,losses/entropy
87343,,,1763260166.4129982,113.50893926620483,,,500.0,,,,,500.0,1083,
88192,-0.00036250054836273193,-0.11620223522186279,1763260167.2218695,114.31781053543091,0.0,0.000247158226557076,,0.01113791111856699,999.0,0.003052270971238613,0.00022759147395845503,,1091,0.38643354177474976
89728,-0.0038099894300103188,-0.2344834804534912,1763260168.6650708,115.76101183891296,0.0078125,0.00024623656645417213,,0.006519407033920288,1000.0,0.0012700557708740234,0.00011830483708763495,,1106,0.4982968270778656
90880,0.007026234641671181,0.0034292936325073242,1763260169.7193336,116.81527471542358,0.0,0.00024554532137699425,,-0.004830235615372658,1001.0,0.00017311237752437592,276.2353515625,,1118,0.4642180800437927
91648,-0.006124075502157211,-0.055342674255371094,1763260170.4290457,117.524986743927,0.0,0.00024508449132554233,,0.0068865250796079636,1002.0,0.0016685668379068375,0.00036130688386037946,,1125,0.4707762897014618
92416,0.0004643276333808899,0.00041115283966064453,1763260171.1078887,118.20382976531982,0.0,0.0002446236612740904,,0.00012655183672904968,1003.0,4.496239125728607e-05,596.3430786132812,,1133,0.4864747226238251
93696,-0.0019962862133979797,-1.043379306793213,1763260172.2679996,119.3639407157898,0.0,0.0002438556111883372,,0.023883720859885216,1004.0,0.0018778080120682716,0.0007654829532839358,,1145,0.4426009953022003
95616,0.006148019805550575,-0.31001901626586914,1763260174.0332088,121.12914991378784,0.0,0.0002427035360597074,,0.007101312279701233,1005.0,0.0002009812742471695,0.0006545840878970921,,1164,0.5030747652053833
95744,-0.0012843981385231018,-0.32991039752960205,1763260174.14409,121.24003100395203,0.0,0.00024262673105113208,,0.0004444839432835579,1006.0,4.675891250371933e-05,0.00011380731302779168,,1165,0.4960291385650635
96384,0.002196110785007477,-0.00015676021575927734,1763260174.7505095,121.84645056724548,0.0,0.00024224270600825548,,0.0178407933562994,1006.0,0.0015328237786889076,303.061279296875,,1172,0.45451995730400085
97343,,,1763260175.5640476,122.65998864173889,,,500.0,,,,,500.0,1181,
97843,,,1763260176.0388644,123.13480544090271,,,500.0,,,,,500.0,1186,
98944,5.25936484336853e-05,-0.000667572021484375,1763260177.070877,124.16681814193726,0.0,0.00024070660583674908,,0.0007180636748671532,1008.0,2.755783498287201e-06,204.0699920654297,,1197,0.44761180877685547
100608,-0.01915684901177883,-0.13633179664611816,1763260178.5605466,125.65648770332336,0.0234375,0.00023970814072526991,,-0.02334049716591835,1010.0,0.008589479140937328,0.0003859415592160076,,1213,0.46076700091362
100843,,,1763260178.7076318,125.8035728931427,,,500.0,,,,,500.0,1215,
101888,0.00313480943441391,0.00011998414993286133,1763260179.7186828,126.81462383270264,0.0,0.0002389400906395167,,-0.002676711417734623,1011.0,0.0002948576584458351,273.38079833984375,,1226,0.5248902440071106
102343,,,1763260180.1176639,127.21360492706299,,,500.0,,,,,500.0,1230,
102784,0.0014517158269882202,-0.1330256462097168,1763260180.5435772,127.63951826095581,0.0,0.00023840245557948947,,0.007690305821597576,1012.0,0.0009926734492182732,0.000154241977725178,,1234,0.42300060391426086
103843,,,1763260181.4885309,128.58447194099426,,,500.0,,,,,500.0,1245,
104832,0.00447218120098114,-0.33358633518218994,1763260182.4121528,129.50809383392334,0.0,0.00023717357544228435,,0.012014998123049736,1013.0,0.0015483703464269638,0.000152764463564381,,1254,0.47275757789611816
106496,-0.013986612670123577,0.48205357789993286,1763260183.9116867,131.0076277256012,0.001953125,0.00023617511033080518,,0.002281881868839264,1014.0,0.0017187092453241348,0.006195083726197481,,1271,0.4456740617752075
109343,,,1763260186.5383298,133.63427090644836,,,500.0,,,,,500.0,1299,
