global_step,charts/episodic_length,losses/value_loss,losses/policy_loss,charts/learning_rate,losses/clipfrac,losses/explained_variance,_step,charts/SPS,losses/entropy,_runtime,charts/episodic_return,_timestamp,losses/approx_kl,losses/old_approx_kl
91156,500.0,,,,,,1106,,,121.04497146606445,500.0,1763260174.1162024,,
92416,,0.0008215794805437326,0.013296514749526978,0.0002446236612740904,0.0,-0.03263354301452637,1118,963.0,0.38440752029418945,122.21426677703857,,1763260175.2854977,0.0005565499886870384,0.00033872853964567184
93156,500.0,,,,,,1125,,,122.81348586082458,500.0,1763260175.8847167,,
93952,,0.00046971964184194803,0.023601055145263672,0.00024370200117118657,0.00390625,-0.05420815944671631,1133,965.0,0.4932618737220764,123.61334252357483,,1763260176.6845734,0.0017248140648007393,0.008458622731268406
95156,500.0,,,,,,1145,,,124.75061106681824,500.0,1763260177.821842,,
97152,,0.00023009520373307168,0.0020571015775203705,0.00024178187595680356,0.0,-0.04288041591644287,1164,968.0,0.5901200771331787,126.64427733421326,,1763260179.7155082,0.0004455428570508957,0.008294854313135147
97156,500.0,,,,,,1165,,,126.6465950012207,500.0,1763260179.717826,,
97920,,0.00038784893695265055,-0.005011856555938721,0.00024132104590535164,0.0,-0.8229358196258545,1172,968.0,0.49321356415748596,127.35828685760498,,1763260180.4295177,9.997934103012085e-05,-0.0035187862813472748
98816,,0.0007158785592764616,-0.006256729364395142,0.0002407834108453244,0.0,-0.37415003776550293,1181,969.0,0.5139833688735962,128.1755199432373,,1763260181.2467508,0.0005033183842897415,-0.000637521967291832
99328,,0.0012082200264558196,-0.011602971702814102,0.00024047619081102312,0.001953125,-1.3555166721343994,1186,969.0,0.46611306071281433,128.68871235847473,,1763260181.7599432,0.0017728740349411964,-0.002156679518520832
100480,,0.0002346474793739617,-0.001006580889225006,0.00023978494573384523,0.0,-0.44593536853790283,1197,971.0,0.46730852127075195,129.75000190734863,,1763260182.8212328,4.665181040763855e-05,-0.0009506568312644958
102016,,242.7120819091797,0.0005921404808759689,0.0002388632856309414,0.0,0.0004388093948364258,1213,972.0,0.5070792436599731,131.1743938922882,,1763260184.2456248,0.00016053207218647003,-0.00019837543368339539
102272,,0.0004416181764099747,0.002448946237564087,0.00023870967561379075,0.001953125,-0.04305076599121094,1215,972.0,0.44776350259780884,131.40204071998596,,1763260184.4732716,0.0011822255328297615,-0.013219819404184818
103424,,0.00024698840570636094,-0.006692871451377869,0.00023801843053661287,0.0,-0.6017336845397949,1226,973.0,0.5251781940460205,132.56462574005127,,1763260185.6358566,0.0008659940212965012,-0.003239354118704796
103808,,0.00043397388071753085,-0.005342606455087662,0.0002377880155108869,0.0,-0.5602250099182129,1230,973.0,0.49972760677337646,132.94368410110474,,1763260186.014915,0.0007004179060459137,-0.007944989949464798
104192,,0.0066582211293280125,-0.004090193659067154,0.00023755760048516095,0.00390625,-0.27698349952697754,1234,973.0,0.468284547328949,133.30081367492676,,1763260186.3720446,0.0022585857659578323,-0.013163819909095764
105344,,0.0006923699984326959,-0.0002940203994512558,0.00023686635540798306,0.0,0.13473093509674072,1245,974.0,0.5037859678268433,134.42952346801758,,1763260187.5007544,2.5107525289058685e-05,0.003721536137163639
106368,,0.0001262192236026749,0.0016082637012004852,0.0002362519153393805,0.001953125,-0.21078956127166748,1254,974.0,0.47789111733436584,135.41968178749084,,1763260188.4909127,0.0011996002867817879,-0.010105269961059093
