charts/learning_rate,charts/SPS,global_step,losses/clipfrac,_runtime,losses/value_loss,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,_step,charts/episodic_length,_timestamp
0.00023686635540798306,515.0,105344,0.0,230.6355540752411,324.51068115234375,0.4534955322742462,,0.007147803902626038,0.00011324882507324219,0.0002478277310729027,0.0018410487100481987,1226,,1763260289.1159432
,,105750,,231.05879044532776,,,500.0,,,,,1230,500.0,1763260289.5391796
0.00023632872034795582,517.0,106240,0.0234375,231.6053032875061,0.00018074334366247058,0.5030655264854431,,-0.0035463757812976837,-0.06882154941558838,0.00500073004513979,-0.00234921183437109,1234,,1763260290.0856924
0.00023571428027935326,518.0,107264,0.0,233.4759180545807,157.4736785888672,0.433789998292923,,0.0031318478286266327,9.804964065551758e-05,0.0002073301002383232,-0.0018255868926644325,1245,,1763260291.9563072
,,108250,,235.1827781200409,,,500.0,,,,,1254,500.0,1763260293.6631672
0.00023410138965118676,519.0,109952,0.0,238.23020267486572,0.005680642556399107,0.5264567136764526,,-0.0045538730919361115,0.047738492488861084,0.0004404662176966667,0.008348575793206692,1271,,1763260296.7105918
0.00023241167946252972,520.0,112768,0.0,243.2622570991516,298.4997253417969,0.46848395466804504,,0.005216524004936218,9.560585021972656e-05,0.0007286183536052704,-0.0014831405133008957,1299,,1763260301.7426462
,,116853,,248.30547642707825,,,500.0,,,,,1339,500.0,1763260306.7858655
0.00022995391918811947,526.0,116864,0.0,248.44450402259827,279.1446533203125,0.5036043524742126,,0.0005265399813652039,-0.00015747547149658203,0.0005831830203533173,-0.0022912919521331787,1340,,1763260306.9248931
,,117849,,249.5592827796936,,,500.0,,,,,1349,500.0,1763260308.039672
0.00022864823404233903,529.0,119040,0.001953125,251.17847275733948,72.15557861328125,0.5316181182861328,,-0.013072837144136429,0.001368403434753418,0.0016053421422839165,-0.0027907276526093483,1363,,1763260309.6588619
0.00022849462402518839,530.0,119296,0.0,251.4503035545349,0.0007746489718556404,0.5147551894187927,,-0.012609213590621948,-0.29972267150878906,0.0014931419864296913,-0.004134972579777241,1365,,1763260309.9306927
0.0002281874039908871,530.0,119808,0.0,252.15686178207397,0.00047221651766449213,0.48401087522506714,,0.001677975058555603,-0.24823319911956787,0.0008732220157980919,0.004264465533196926,1370,,1763260310.637251
0.00022757296392228454,532.0,120832,0.001953125,253.55964970588684,0.0007987631834112108,0.4384581446647644,,-0.009434562176465988,-0.8973267078399658,0.0020582890138030052,0.0008489517495036125,1380,,1763260312.0400388
,,120954,,253.61722445487976,,,500.0,,,,,1381,500.0,1763260312.0976136
0.00022711213387083262,533.0,121600,0.0,254.49528765678406,0.007191992364823818,0.4290822446346283,,-0.00943116843700409,-0.5100784301757812,0.0003628423437476158,0.011092648841440678,1388,,1763260312.9756768
0.0002266513038193807,534.0,122368,0.0,255.4192202091217,0.00032195495441555977,0.49164724349975586,,0.0021172240376472473,-0.2825279235839844,0.0006540156900882721,0.0027390941977500916,1395,,1763260313.8996093
0.00022642088879365474,535.0,122752,0.01171875,255.8744010925293,0.00013173758634366095,0.5259184837341309,,-0.008320435881614685,0.12799203395843506,0.00516488216817379,0.02621234580874443,1399,,1763260314.3547902
0.00022603686375077814,536.0,123392,0.0,256.63789916038513,0.00020189231145195663,0.5312830805778503,,-0.00042447634041309357,-0.2361992597579956,0.0014474820345640182,-0.00017730891704559326,1405,,1763260315.1182883
0.0002244239585706964,538.0,126080,0.0,260.5506772994995,0.006209259387105703,0.43208765983581543,,0.003987714648246765,0.00017946958541870117,0.001054232008755207,0.011101475916802883,1432,,1763260319.0310664
0.0002243471535621211,538.0,126208,0.0,260.744669675827,0.00055892817908898,0.4348103404045105,,-0.00021519511938095093,-0.21963584423065186,0.0006091045215725899,0.010706300847232342,1433,,1763260319.2250588
,,128454,,264.37076354026794,,,500.0,,,,,1455,500.0,1763260322.8511527
0.00022296466340776533,539.0,128512,0.005859375,264.57447719573975,482.44122314453125,0.5076538920402527,,-0.01227203756570816,-0.00011014938354492188,0.0026236968114972115,0.003136678598821163,1456,,1763260323.0548663
0.00022288785839919,539.0,128640,0.0,264.77844190597534,0.0069585684686899185,0.466426819562912,,-0.010948937386274338,-0.13038361072540283,0.001548677682876587,-0.001677822321653366,1457,,1763260323.258831
,,134454,,273.80252504348755,,,500.0,,,,,1514,500.0,1763260332.2829142
0.0002189708175137639,544.0,135168,0.001953125,274.7370295524597,0.007659913040697575,0.5304258465766907,,-0.007731731981039047,-0.029555797576904297,0.0015640798956155777,-0.008353089913725853,1521,,1763260333.2174187
0.00021874040248803794,544.0,135552,0.0,275.267471075058,223.2945098876953,0.5018293857574463,,-0.004559502005577087,0.00028568506240844727,0.000384490005671978,-0.00038136448711156845,1525,,1763260333.7478602
0.0002185867924708873,545.0,135808,0.001953125,275.5587434768677,0.0004963999963365495,0.5103155970573425,,-0.0036867111921310425,-0.012946486473083496,0.0011847876012325287,0.004158230498433113,1527,,1763260334.0391326
,,135954,,275.7314302921295,,,500.0,,,,,1529,500.0,1763260334.2118194
,,136454,,276.4001042842865,,,500.0,,,,,1534,500.0,1763260334.8804934
0.00021804915741086006,546.0,136704,0.0,276.6953008174896,0.0035482002422213554,0.5355154871940613,,-0.001252535730600357,0.0025231242179870605,0.00018434133380651474,-0.0020725922659039497,1536,,1763260335.17569
,,137454,,277.56327080726624,,,500.0,,,,,1543,500.0,1763260336.04366
0.00021751152235083282,547.0,137600,0.005859375,277.8486874103546,0.00962476059794426,0.43994027376174927,,-0.01708066835999489,0.10220110416412354,0.0020808493718504906,-0.004470235668122768,1545,,1763260336.3290765
0.0002174347173422575,547.0,137728,0.00390625,278.0294439792633,0.00040542351780459285,0.46324053406715393,,-0.013063598424196243,-0.053132057189941406,0.0037205303087830544,0.02377498894929886,1546,,1763260336.509833
,,138954,,279.4447319507599,,,500.0,,,,,1558,500.0,1763260337.925121
0.0002166666672565043,549.0,139008,0.0,279.5673930644989,263.468505859375,0.5377210378646851,,-4.101172089576721e-05,7.522106170654297e-05,6.578303873538971e-05,-0.0031016115099191666,1559,,1763260338.0477822
,,139454,,280.0350911617279,,,500.0,,,,,1563,500.0,1763260338.5154803
0.00021620583720505238,550.0,139776,0.0,280.49327206611633,0.0002658018784131855,0.49608364701271057,,-0.005059793591499329,-0.06229841709136963,0.000580349937081337,-0.00209156796336174,1566,,1763260338.9736612
,,141954,,284.0118308067322,,,500.0,,,,,1588,500.0,1763260342.49222
0.0002148233470506966,551.0,142080,0.0,284.20453095436096,132.62661743164062,0.4457559287548065,,-0.0010318923741579056,-5.745887756347656e-05,0.00032596662640571594,0.008175672963261604,1589,,1763260342.68492
,,142954,,285.41242241859436,,,500.0,,,,,1597,500.0,1763260343.8928115
,,143954,,287.08880639076233,,,500.0,,,,,1607,500.0,1763260345.5691955
