charts/SPS,charts/episodic_length,_timestamp,global_step,losses/approx_kl,losses/explained_variance,charts/episodic_return,losses/entropy,losses/old_approx_kl,losses/clipfrac,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/value_loss
794.0,,1763260468.7982764,306048,0.000245559960603714,3.4570693969726562e-06,,0.5662776827812195,0.0027481168508529663,0.0,0.00011643625475699082,3217,0.0033530201762914658,412.79334235191345,588.4232788085938
794.0,,1763260469.749916,306816,8.33515077829361e-05,0.08836960792541504,,0.562661349773407,0.000941818580031395,0.0,0.0001159754247055389,3224,-0.003949746489524841,413.74498200416565,0.00029452284798026085
796.0,,1763260471.980473,309248,0.0013907067477703094,-0.004079341888427734,,0.5413983464241028,-0.003676716238260269,0.001953125,0.00011451612954260781,3247,-0.0018145516514778137,415.9755389690399,0.0003627114347182214
796.0,,1763260472.2094197,309504,7.415749132633209e-05,-5.245208740234375e-06,,0.5045827627182007,0.0023449156433343887,0.0,0.00011436251952545717,3250,-0.0012838616967201233,416.20448565483093,443.7663269042969
796.0,,1763260472.4341211,309760,0.00010526273399591446,-0.0005142688751220703,,0.5550273656845093,-0.0002929260954260826,0.0,0.00011420890950830653,3252,0.0017930082976818085,416.42918705940247,0.0002957420365419239
796.0,,1763260472.6676333,310016,0.00015716906636953354,-3.0040740966796875e-05,,0.5070008039474487,-0.000395176000893116,0.0,0.00011405529949115589,3255,0.0014859437942504883,416.6626992225647,801.783447265625
,500.0,1763260473.1006856,310444,,,500.0,,,,,3259,,417.09575152397156,
798.0,,1763260474.3583567,311808,0.00037834420800209045,-0.00662684440612793,,0.5465545654296875,0.011101320385932922,0.0,0.00011298002937110141,3272,0.0027508027851581573,418.35342264175415,0.0001995483471546322
798.0,,1763260474.582722,312064,3.414880484342575e-05,0.0001443028450012207,,0.4965566098690033,-0.0008910940960049629,0.0,0.00011282641935395077,3275,0.000515323132276535,418.57778787612915,415.4297790527344
798.0,,1763260474.6952038,312192,4.659872502088547e-05,-0.27074944972991943,,0.5007277131080627,-0.0013821115717291832,0.0,0.00011274961434537545,3276,-0.0015662722289562225,418.6902697086334,0.003232705406844616
799.0,,1763260476.5670009,314240,0.0006133383139967918,-0.0068405866622924805,,0.5434697866439819,0.009560503996908665,0.0,0.00011152073420817032,3296,-0.008966825902462006,420.5620667934418,0.000332234485540539
799.0,,1763260476.792394,314496,7.937196642160416e-05,1.1324882507324219e-06,,0.49785083532333374,0.0030744364485144615,0.0,0.00011136712419101968,3299,-0.0012301020324230194,420.7874598503113,1004.7374877929688
802.0,,1763260480.439766,318464,8.018128573894501e-05,5.030632019042969e-05,,0.5150448083877563,-0.0011949539184570312,0.0,0.00010898617620114237,3338,-0.0034925416111946106,424.4348318576813,507.40643310546875
803.0,,1763260481.7142355,319872,0.00025851186364889145,-0.4111727476119995,,0.49822086095809937,0.0001416737213730812,0.0,0.00010814132110681385,3351,0.0020279735326766968,425.7093014717102,0.0001769745722413063
,500.0,1763260482.223444,320444,,,500.0,,,,,3357,,426.21850991249084,
,320.0,1763260482.4690177,320764,,,320.0,,,,,3360,,426.4640836715698,
805.0,,1763260484.044486,322432,0.00014818087220191956,0.18063783645629883,,0.49382591247558594,0.004759164527058601,0.0,0.00010660522093530744,3377,-0.005105394870042801,428.0395519733429,0.0029089029412716627
806.0,,1763260486.0331738,324608,0.0003569265827536583,-1.8328909873962402,,0.4830484390258789,0.0027354517951607704,0.0,0.000105299535789527,3398,0.0005370639264583588,430.02823972702026,0.0016269783955067396
806.0,,1763260486.2608964,324864,2.0332634449005127e-05,0.0065444111824035645,,0.4458160400390625,8.783489465713501e-05,0.0,0.00010514592577237636,3401,-0.0009195953607559204,430.2559623718262,597.2114868164062
807.0,,1763260486.7453299,325376,2.8277747333049774e-05,4.5180320739746094e-05,,0.497090220451355,-0.0007713912054896355,0.0,0.00010483871301403269,3406,-0.0017455406486988068,430.74039578437805,325.7099304199219
807.0,,1763260486.856425,325504,5.853641778230667e-05,-0.024912476539611816,,0.5223135352134705,-5.7456083595752716e-05,0.0,0.00010476190800545737,3407,-0.002211380749940872,430.85149097442627,0.0034263262059539557
,500.0,1763260487.9304795,326717,,,500.0,,,,,3419,,431.92554545402527,
808.0,,1763260488.621047,327424,0.00039141252636909485,-1.8545355796813965,,0.45403358340263367,-0.010208431631326675,0.0,0.00010360983287682757,3426,-0.009014874696731567,432.616112947464,0.0074419304728507996
808.0,,1763260488.7363818,327552,0.0001453021541237831,0.0009554624557495117,,0.48023703694343567,0.001259402371942997,0.0,0.00010353302786825225,3428,0.002539217472076416,432.7314476966858,921.8801879882812
