losses/clipfrac,losses/old_approx_kl,_timestamp,charts/episodic_return,losses/entropy,losses/approx_kl,_runtime,losses/policy_loss,charts/learning_rate,charts/episodic_length,charts/SPS,losses/explained_variance,_step,global_step,losses/value_loss
0.0,0.004479086957871914,1763260232.2533402,,0.5060880184173584,0.0001316247507929802,176.2267541885376,-0.003959856927394867,0.00024208909599110484,,650.0,2.1576881408691406e-05,1133,96640,671.1353759765625
0.01171875,0.009218785911798477,1763260233.963374,,0.5145643353462219,0.0059623196721076965,177.93678784370422,-0.0213930606842041,0.00024132104590535164,,651.0,-0.1947927474975586,1145,97920,0.0008145327446982265
0.0,-0.002659915015101433,1763260236.53337,,0.499796599149704,0.00022150389850139618,180.50678396224976,-0.0037580281496047974,0.00024016897077672184,,653.0,0.0028453469276428223,1164,99840,0.0006675167824141681
0.009765625,-0.005648222751915455,1763260236.699008,,0.4929366409778595,0.0030480576679110527,180.67242193222046,-0.006566010415554047,0.00024009216576814651,,653.0,-1.9879114627838135,1165,99968,0.0005381305818445981
0.0,-0.0011674156412482262,1763260237.5675492,,0.5013527274131775,9.720493108034134e-05,181.5409631729126,0.0012858882546424866,0.00023970814072526991,,653.0,0.0015624761581420898,1172,100608,699.101806640625
,,1763260238.7631867,500.0,,,182.7366006374359,,,500.0,,,1181,101540,
,,1763260239.4318628,500.0,,,183.4052767753601,,,500.0,,,1186,102040,
0.02734375,0.0722985714673996,1763260241.098589,,0.5079597234725952,0.008791177533566952,185.07200288772583,-0.028060555458068848,0.0002380952355451882,,656.0,0.10281658172607422,1197,103296,0.00047987530706450343
0.017578125,-0.0006189104169607162,1763260243.4359355,,0.5633483529090881,0.003533126786351204,187.40934944152832,-0.0025330446660518646,0.00023709677043370903,,656.0,-0.0167386531829834,1213,104960,0.00019255289225839078
0.0,0.0009891465306282043,1763260243.8145533,,0.5719603300094604,0.00047911517322063446,187.7879672050476,-0.0035859402269124985,0.0002370199654251337,,656.0,0.00016814470291137695,1215,105088,722.8750610351562
0.029296875,-0.013474284671247005,1763260245.4259644,,0.5022549033164978,0.008227498270571232,189.39937829971313,-0.021550968289375305,0.00023632872034795582,,656.0,0.16663968563079834,1226,106240,0.007085768505930901
0.0,-0.0002437792718410492,1763260245.9192607,,0.49998682737350464,7.849559187889099e-05,189.89267468452454,0.002891790121793747,0.00023609830532222986,,657.0,-6.783008575439453e-05,1230,106624,757.2799682617188
,,1763260246.4690096,500.0,,,190.44242358207703,,,500.0,,,1234,107040,
0.0,0.008242604322731495,1763260247.9819794,,0.509208619594574,0.000828244723379612,191.95539331436157,0.00218312069773674,0.00023517664521932602,,658.0,2.586841583251953e-05,1245,108160,119.33277130126953
0.0,0.0070337699726223946,1763260249.219908,,0.5711944103240967,0.0002925535663962364,193.19332194328308,-0.0009940750896930695,0.00023463901015929878,,658.0,0.0003482699394226074,1254,109056,824.7575073242188
0.001953125,-0.003119080327451229,1763260251.5839765,,0.5960274934768677,0.0015731463208794594,195.55739045143127,-0.00927823781967163,0.00023356375459115952,,660.0,0.18188852071762085,1271,110848,0.0005675823194906116
0.00390625,0.009634952060878277,1763260255.550002,,0.5096539258956909,0.0023127449676394463,199.52341604232788,-0.006848637014627457,0.00023179723939392716,,661.0,-0.030943989753723145,1299,113792,0.0002779184724204242
0.01171875,0.032734937965869904,1763260260.59953,,0.3734522759914398,0.005891523323953152,204.57294392585754,-0.006856411695480347,0.0002293394791195169,,666.0,0.1035536527633667,1339,117888,0.0003081541508436203
,,1763260260.605255,500.0,,,204.57866883277893,,,500.0,,,1340,117896,
,,1763260261.5307047,500.0,,,205.50411868095398,,,500.0,,,1349,118896,
0.04296875,-0.01213858649134636,1763260262.961838,,0.3853599429130554,0.0040566278621554375,206.93525195121765,-0.010484166443347931,0.00022788018395658582,,671.0,-0.07563138008117676,1363,120320,0.00024949904764071107
0.0,-0.003897484391927719,1763260263.1409357,,0.4611347019672394,0.0003952663391828537,207.11434960365295,0.008417423814535141,0.0002278033789480105,,671.0,-5.0187110900878906e-05,1365,120448,541.689208984375
0.0,0.0016863467171788216,1763260263.7974226,,0.4610024094581604,0.00012516509741544724,207.77083659172058,-0.005311109125614166,0.00022749615891370922,,671.0,9.5367431640625e-06,1370,120960,834.876708984375
0.0,0.014199716970324516,1763260265.0542667,,0.438212513923645,0.0014138184487819672,209.02768063545227,0.009616971015930176,0.00022688171884510666,,672.0,-2.0265579223632812e-05,1380,121984,631.8045654296875
0.013671875,-0.003360041417181492,1763260265.1885414,,0.4476909935474396,0.006078309379518032,209.1619553565979,-0.01747196912765503,0.00022680491383653134,,672.0,-0.3257550001144409,1381,122112,0.006232752930372953
0.013671875,-0.009973021224141121,1763260266.118809,,0.3877541422843933,0.004599189385771751,210.09222292900085,0.002590697258710861,0.00022634408378507942,,673.0,-0.4015669822692871,1388,122880,0.00017379118071403354
0.0,0.001355757936835289,1763260266.9240294,,0.40909290313720703,0.0006742365658283234,210.89744329452515,-0.00713481567800045,0.00022596005874220282,,673.0,-0.00013148784637451172,1395,123520,0.006083602551370859
0.0,0.00143410824239254,1763260267.3772812,,0.40609076619148254,0.00017959251999855042,211.35069513320923,0.0018989592790603638,0.00022572964371647686,,674.0,0.000213623046875,1399,123904,496.1553039550781
0.0,0.008940007537603378,1763260268.1504533,,0.42999643087387085,0.0011455509811639786,212.1238672733307,-0.012503981590270996,0.00022534561867360026,,675.0,-0.31078147888183594,1405,124544,0.006150845903903246
