losses/entropy,global_step,losses/clipfrac,charts/learning_rate,_runtime,losses/value_loss,_step,_timestamp,losses/old_approx_kl,losses/explained_variance,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/policy_loss,charts/SPS
0.1287447065114975,115456,0.04296875,0.000230798774282448,112.25684118270874,0.0008157598203979433,2045,1763260122.932964,0.037773266434669495,0.7063105702400208,,0.015652364119887352,,-0.00640002079308033,1057.0
0.15620586276054382,116096,0.09375,0.0002304147492395714,112.83433938026428,0.00010532384476391599,2051,1763260123.5104623,0.022960927337408066,0.8997064828872681,,0.04330243915319443,,-0.028536200523376465,1057.0
0.282731831073761,116224,0.091796875,0.00023033794423099607,112.94607996940613,3.0630577384727076e-05,2052,1763260123.6222029,0.0011225491762161255,0.9164075255393982,,0.0026715118438005447,,-0.021607249975204468,1057.0
0.2563976049423218,118016,0.0,0.0002292626741109416,114.5731155872345,3.987146556028165e-06,2070,1763260125.2492385,-0.0029329005628824234,0.7425074577331543,,0.00017696432769298553,,0.0020728036761283875,1058.0
0.14507931470870972,118656,0.0078125,0.000228878649068065,115.13673281669617,1.8066826669382863e-05,2076,1763260125.8128557,0.000692097470164299,0.923306405544281,,0.00368611142039299,,0.019172485917806625,1058.0
0.1077067106962204,120320,0.08984375,0.00022788018395658582,116.4853003025055,140.22825622558594,2093,1763260127.1614232,0.10392443835735321,0.0054534077644348145,,0.040044717490673065,,-0.025806879624724388,1060.0
0.1252613365650177,120448,0.00390625,0.0002278033789480105,116.59535431861877,0.00021617750462610275,2094,1763260127.2714772,0.020098106935620308,0.9722117781639099,,0.0018080808222293854,,-0.008996710181236267,1061.0
0.13038478791713715,122752,0.00390625,0.00022642088879365474,118.39373445510864,0.006521463859826326,2117,1763260129.0698574,0.005869710817933083,-1.3232231140136719e-05,,0.00031816959381103516,,-0.009791947901248932,1064.0
,125727,,,121.06348896026611,,2146,1763260131.7396119,,,500.0,,500.0,,
0.2353871762752533,125952,0.046875,0.00022450076357927173,121.27418446540833,0.0009795492514967918,2148,1763260131.9503074,0.0673028826713562,0.456170916557312,,0.030335165560245514,,-0.033754363656044006,1065.0
0.14206987619400024,126720,0.005859375,0.0002240399335278198,121.98561549186707,3.479969018371776e-05,2155,1763260132.6617384,0.0008451100438833237,0.6114195585250854,,2.6166439056396484e-05,,-0.0023112185299396515,1065.0
0.14650557935237885,128384,0.00390625,0.00022304146841634065,123.47813415527344,0.0008778644260019064,2172,1763260134.154257,0.012438216246664524,0.7643308043479919,,0.0023412397131323814,,-0.018215492367744446,1066.0
,129727,,,124.66776371002197,,2185,1763260135.3438866,,,500.0,,500.0,,
0.13578470051288605,130432,0.02734375,0.00022181260283105075,125.36266112327576,0.0004955421900376678,2192,1763260136.038784,0.009868435561656952,0.23631948232650757,,0.006474346853792667,,-0.007875457406044006,1066.0
0.16918696463108063,131200,0.060546875,0.00022135177277959883,126.06372046470642,7.0473353844136e-05,2199,1763260136.7398434,0.019035495817661285,-0.11524713039398193,,0.005973849445581436,,-0.015032079070806503,1066.0
0.14090538024902344,132352,0.03515625,0.00022066052770242095,127.08202075958252,0.005741672590374947,2211,1763260137.7581437,0.026478884741663933,4.470348358154297e-05,,0.005043148994445801,,-0.03735288977622986,1067.0
,132727,,,127.36286878585815,,2214,1763260138.0389917,,,500.0,,500.0,,
0.21897728741168976,133248,0.1328125,0.0002201228926423937,127.88277292251587,141.81333923339844,2220,1763260138.5588958,0.09307688474655151,5.435943603515625e-05,,0.019312044605612755,,0.013683527708053589,1067.0
0.20846202969551086,133632,0.07421875,0.00021989247761666775,128.25293636322021,5.602511009783484e-06,2223,1763260138.9290593,-0.011571582406759262,-0.5302422046661377,,0.025636501610279083,,0.03245408833026886,1067.0
0.061110783368349075,133760,0.0546875,0.00021981567260809243,128.3648865222931,141.95205688476562,2225,1763260139.0410094,0.06277160346508026,7.68899917602539e-05,,0.01474175788462162,,0.008476853370666504,1067.0
0.15388764441013336,133888,0.04296875,0.0002197388675995171,128.47520399093628,0.0001006839083856903,2226,1763260139.151327,0.042099691927433014,0.8149706125259399,,0.013143066316843033,,-0.04017278552055359,1067.0
0.14336857199668884,134016,0.05078125,0.0002196620625909418,128.58622860908508,0.00015013149823062122,2227,1763260139.2623515,0.07465486973524094,0.08589416742324829,,0.020812520757317543,,-0.03642188385128975,1067.0
