losses/old_approx_kl,losses/explained_variance,losses/policy_loss,losses/value_loss,charts/episodic_return,charts/SPS,charts/episodic_length,losses/entropy,_step,global_step,losses/approx_kl,losses/clipfrac,charts/learning_rate,_runtime,_timestamp
-0.0041153691709041595,0.007652103900909424,-0.01737023890018463,0.06847862154245377,,988.0,,0.4950568974018097,1920,56576,0.004104815423488617,0.021484375,0.0002661290345713496,61.1250536441803,1763260072.1547797
0.032760921865701675,-0.00036656856536865234,0.008959317579865456,41.819908142089844,,993.0,,0.34904271364212036,1945,59136,0.009090937674045563,0.029296875,0.0002645929343998432,63.43328332901001,1763260074.4630094
0.004494332708418369,-0.0005091428756713867,-0.01074296422302723,0.05226663872599602,,994.0,,0.3087659478187561,1959,60544,0.008492651395499706,0.033203125,0.0002637480793055147,64.74904155731201,1763260075.7787676
,,,,500.0,,500.0,,1973,62031,,,,66.07944989204407,1763260077.109176
-0.001247442327439785,-0.20188689231872559,0.0030289143323898315,0.025112858042120934,,998.0,,0.23615354299545288,1985,63232,0.0017270268872380257,0.00390625,0.00026213517412543297,67.20481705665588,1763260078.234543
0.02843569591641426,0.1735682487487793,-0.026755303144454956,0.023213043808937073,,1000.0,,0.2410278171300888,1991,63872,0.007073359563946724,0.072265625,0.00026175114908255637,67.7590343952179,1763260078.7887604
0.004926547408103943,-0.05130958557128906,0.007248442620038986,0.018879707902669907,,1001.0,,0.2999189794063568,2002,65024,0.0040863268077373505,0.041015625,0.0002610599040053785,68.79659962654114,1763260079.8263257
,,,,500.0,,500.0,,2007,65531,,,,69.26229405403137,1763260080.29202
-0.01621786318719387,-0.5314130783081055,0.02108333632349968,0.017603600397706032,,1003.0,,0.2657490074634552,2016,66432,0.012829957529902458,0.0625,0.00026021504891104996,70.11232471466064,1763260081.1420507
0.013701244257390499,-0.23009860515594482,-0.029986253008246422,0.023056119680404663,,1003.0,,0.16117076575756073,2024,67200,0.006523321382701397,0.044921875,0.00025975421885959804,70.8241195678711,1763260081.8538456
,,,,500.0,,500.0,,2027,67531,,,,71.08597683906555,1763260082.1157029
0.023279055953025818,0.29083025455474854,-0.03431672230362892,0.02117619663476944,,1005.0,,0.14895927906036377,2034,68224,0.005742876790463924,0.03515625,0.0002591397787909955,71.767982006073,1763260082.797708
0.0017418162897229195,0.33694469928741455,-0.0064383018761873245,0.012277520261704922,,1006.0,,0.2260812520980835,2045,69376,0.0005034143105149269,0.0,0.0002584485337138176,72.80978441238403,1763260083.8395104
0.16284026205539703,-1.5833916664123535,-0.06550628691911697,0.010415468364953995,,1007.0,,0.3015938401222229,2051,70016,0.05483919009566307,0.140625,0.000258064508670941,73.37272882461548,1763260084.4024549
0.002432510256767273,0.26111292839050293,0.013121837750077248,0.007131227292120457,,1009.0,,0.22832226753234863,2070,71936,0.002548687160015106,0.001953125,0.0002569124335423112,75.11906051635742,1763260086.1487865
,,,,500.0,,500.0,,2076,72531,,,,75.64129996299744,1763260086.671026
0.0056200334802269936,0.24908435344696045,-0.006484396755695343,0.010410704649984837,,1012.0,,0.22924943268299103,2093,74240,0.0007464410737156868,0.0,0.00025552994338795543,77.22405648231506,1763260088.2537825
0.003689877688884735,0.4940735101699829,-0.004589438438415527,0.005918523296713829,,1012.0,,0.18431740999221802,2094,74368,0.0004182159900665283,0.0,0.0002554531383793801,77.33347821235657,1763260088.3632042
0.017354033887386322,0.7145686149597168,-0.03305014222860336,0.015071024186909199,,1015.0,,0.1200837641954422,2117,76672,0.0017846599221229553,0.009765625,0.00025407064822502434,79.41455793380737,1763260090.444284
0.014268049970269203,-0.00024199485778808594,0.0024467315524816513,94.7626724243164,,1017.0,,0.21969552338123322,2146,79616,0.0019240295514464378,0.064453125,0.000252304133027792,82.12401819229126,1763260093.1537442
-0.02992359735071659,0.3248581886291504,0.050117067992687225,0.003394543193280697,,1017.0,,0.19927625358104706,2148,79872,0.013914641924202442,0.0625,0.0002521505521144718,82.35883498191833,1763260093.388561
,,,,500.0,,500.0,,2155,80531,,,,83.0133626461029,1763260094.0430887
0.001876218244433403,-0.21246719360351562,-0.0071162208914756775,0.0007518749334849417,,1019.0,,0.1612856090068817,2172,82304,0.0012864209711551666,0.0,0.0002506912569515407,84.63882875442505,1763260095.6685548
0.0022400561720132828,-0.0001537799835205078,0.005817100405693054,0.007353359367698431,,1020.0,,0.13573187589645386,2185,83584,0.0020960792899131775,0.044921875,0.0002499232068657875,85.82301998138428,1763260096.852746
0.009847752749919891,0.5591516494750977,0.003214391879737377,0.0002645724161993712,,1020.0,,0.1765853762626648,2192,84352,0.0013054031878709793,0.0,0.0002494623768143356,86.52105569839478,1763260097.5507817
,,,,500.0,,500.0,,2199,85031,,,,87.09591484069824,1763260098.1256409
0.003430614247918129,0.6303069591522217,-0.0017742067575454712,0.004034974612295628,,1022.0,,0.27676376700401306,2211,86272,0.004687527194619179,0.01953125,0.0002483103016857058,88.26095700263977,1763260099.290683
,,,,500.0,,500.0,,2214,86531,,,,88.49536156654358,1763260099.5250876
-0.002492828294634819,0.6039495468139648,-0.012823224067687988,0.003013203153386712,,1023.0,,0.2324109673500061,2220,87168,0.00386824831366539,0.001953125,0.00024777266662567854,89.0504903793335,1763260100.0802164
,,,,500.0,,500.0,,2223,87531,,,,89.33687376976013,1763260100.3665998
0.0036661410704255104,0.6085615158081055,0.0019515156745910645,0.0019939434714615345,,1023.0,,0.18630929291248322,2225,87680,0.0014448007568717003,0.025390625,0.00024746544659137726,89.53265595436096,1763260100.562382
0.03196040540933609,0.22968637943267822,-0.04110060632228851,0.0014743726933375,,1023.0,,0.11682555824518204,2226,87808,0.005910145118832588,0.05859375,0.00024738864158280194,89.64372944831848,1763260100.6734555
0.007214292883872986,0.4445323944091797,-0.011840276420116425,0.0010476596653461456,,1024.0,,0.09721238911151886,2227,87936,0.0007683746516704559,0.0,0.0002473118365742266,89.75442218780518,1763260100.7841482
-0.0052498457953333855,-0.09537744522094727,0.01330111175775528,0.0008328576805070043,,1024.0,,0.24961623549461365,2235,88704,0.003905058838427067,0.00390625,0.0002468510065227747,90.45579504966736,1763260101.485521
-0.001697019673883915,-0.03326058387756348,0.004898697137832642,3.0488248739857227e-05,,1025.0,,0.23643998801708221,2241,89344,0.003079270012676716,0.001953125,0.0002464669814798981,91.01404428482056,1763260102.0437703
,,,,500.0,,500.0,,2248,90031,,,,91.62969470024109,1763260102.6594207
0.009876888245344162,0.05085664987564087,-0.010253213346004486,0.0036055389791727066,,1026.0,,0.06267084181308746,2250,90240,0.001956220716238022,0.00390625,0.00024592934641987085,91.83503246307373,1763260102.8647585
,,,,500.0,,500.0,,2253,90531,,,,92.06906771659851,1763260103.0987937
,,,,500.0,,500.0,,2272,92531,,,,93.84294629096985,1763260104.8726723
0.001200081780552864,0.09870606660842896,-0.001292593777179718,1.442503162252251e-05,,1028.0,,0.2730402648448944,2280,93312,0.0004946384578943253,0.0,0.00024408602621406317,94.60975861549377,1763260105.6394846
0.007909600622951984,-0.7942192554473877,-0.0010068565607070923,7.328942592721432e-05,,1029.0,,0.1916382759809494,2295,94848,0.0019070068374276161,0.001953125,0.00024316436611115932,95.99046468734741,1763260107.0201907
0.021713724359869957,-0.00016248226165771484,-0.012167304754257202,0.0028151022270321846,,1030.0,,0.18467406928539276,2298,95104,0.004487540572881699,0.056640625,0.00024301075609400868,96.21447443962097,1763260107.2442005
-0.004048854112625122,-0.10667896270751953,0.00965600460767746,4.3779236875707284e-05,,1031.0,,0.11865131556987762,2310,96384,0.0006116162985563278,0.001953125,0.00024224270600825548,97.3713927268982,1763260108.4011188
,,,,500.0,,500.0,,2312,96531,,,,97.49073100090027,1763260108.520457
0.0392010398209095,-0.00030612945556640625,-0.037913281470537186,0.006504666060209274,,1031.0,,0.1472957581281662,2318,97152,0.013032319024205208,0.0546875,0.00024178187595680356,98.07329201698303,1763260109.103018
0.020323658362030983,0.5716652274131775,-0.018161717802286148,9.607886022422463e-05,,1032.0,,0.10858216881752014,2324,97792,0.00419880636036396,0.01171875,0.00024139785091392696,98.62910389900208,1763260109.65883
0.012491853907704353,0.501133918762207,-0.015257865190505981,1.319437797064893e-05,,1032.0,,0.13480640947818756,2329,98304,0.0024445895105600357,0.0078125,0.00024109063087962568,99.11483144760132,1763260110.1445575
0.006060008890926838,0.5080874562263489,-0.010371699929237366,2.9595876185339876e-06,,1032.0,,0.18402718007564545,2339,99328,0.000653519295156002,0.0,0.00024047619081102312,100.0433394908905,1763260111.0730655
0.0019424911588430405,0.3909098505973816,-0.0027425363659858704,0.0007145717390812933,,1033.0,,0.18700560927391052,2348,100224,1.5674158930778503e-05,0.0,0.00023993855575099587,100.82092308998108,1763260111.850649
0.05414734035730362,0.1964174509048462,-0.03987199068069458,4.453747533261776e-05,,1034.0,,0.13919289410114288,2354,100864,0.012221074663102627,0.06640625,0.00023955453070811927,101.4169282913208,1763260112.4466543
0.03858909755945206,0.7914800643920898,-0.03769919276237488,0.0014376157196238637,,1034.0,,0.09348376095294952,2363,101760,0.011983560398221016,0.041015625,0.00023901689564809203,102.23244214057922,1763260113.2621682
-0.0032369624823331833,0.6114411354064941,0.01258636824786663,4.414075374370441e-05,,1036.0,,0.18413595855236053,2389,104448,0.0008733309805393219,0.017578125,0.0002374039904680103,104.64543294906616,1763260115.675159
0.010314350947737694,0.6763173341751099,0.029368162155151367,0.0005695316358469427,,1039.0,,0.20069937407970428,2426,108160,0.02791459858417511,0.068359375,0.00023517664521932602,107.98328590393066,1763260119.013012
0.00025754235684871674,-1.633167266845703e-05,-0.006359981372952461,0.003251309273764491,,1038.0,,0.22013437747955322,2430,108544,0.003547651693224907,0.03125,0.00023494623019360006,108.35841655731201,1763260119.3881426
,,,,500.0,,500.0,,2449,110531,,,,110.09250473976135,1763260121.1222308
0.0033574895933270454,-0.00012195110321044922,-0.008771844208240509,0.0048267352394759655,,1041.0,,0.1937631368637085,2465,112128,0.001078297384083271,0.02734375,0.00023279570450540632,111.59765982627869,1763260122.6273859
,,,,500.0,,500.0,,2493,115031,,,,114.2248432636261,1763260125.2545693
0.007225466892123222,0.8133259415626526,-0.008457176387310028,5.386559132602997e-05,,1042.0,,0.11095510423183441,2506,116352,0.0007037166506052017,0.01953125,0.00023026113922242075,115.45753741264343,1763260126.4872634
0.017062492668628693,-9.119510650634766e-05,-8.527934551239014e-05,0.0006076825666241348,,1043.0,,0.12183360010385513,2514,117120,0.002455012872815132,0.01953125,0.00022980030917096883,116.16343951225281,1763260127.1931655
