losses/old_approx_kl,charts/episodic_length,_step,charts/learning_rate,charts/episodic_return,_timestamp,losses/entropy,losses/explained_variance,losses/policy_loss,_runtime,global_step,losses/approx_kl,losses/value_loss,charts/SPS,losses/clipfrac
0.08969265222549438,,2007,0.0002491551567800343,,1763260097.134024,0.26101189851760864,-0.0006878376007080078,-0.041925836354494095,86.19348382949829,84864,0.022761154919862747,0.003662029281258583,1017.0,0.072265625
0.06465938687324524,,2016,0.00024861752172000706,,1763260098.0893724,0.2734017074108124,-0.0002009868621826172,0.009061207994818687,87.14883232116699,85760,0.018656577914953232,127.4073257446289,1016.0,0.04296875
0.008992409333586693,,2024,0.0002480798866599798,,1763260098.9934258,0.1540737748146057,-0.13675761222839355,-0.01254681870341301,88.05288577079773,86656,0.0008585955947637558,0.0003570384287741035,1016.0,0.013671875
0.00023867283016443253,,2027,0.0002479262766428292,,1763260099.284377,0.23498433828353882,-0.13448750972747803,0.004137061536312103,88.34383702278137,86912,0.0039685918018221855,0.0006468044011853635,1016.0,0.021484375
,495.0,2034,,495.0,1763260099.9641778,,,,89.02363777160645,87630,,,,
0.02676030993461609,,2045,0.0002468510065227747,,1763260101.0629325,0.19820788502693176,-0.0003294944763183594,-0.02752745896577835,90.12239241600037,88704,0.0036439457908272743,0.003545906627550721,1015.0,0.017578125
0.019181175157427788,,2051,0.0002464669814798981,,1763260101.6710591,0.17243316769599915,0.009751200675964355,-0.011414315551519394,90.73051905632019,89344,0.004476132802665234,0.00015708149294368923,1016.0,0.02734375
0.015903644263744354,,2070,0.0002453149063512683,,1763260103.4265215,0.16051214933395386,0.3898387551307678,0.006284262984991074,92.48598146438599,91264,0.007133464328944683,0.00040192183223553,1017.0,0.091796875
0.0042509520426392555,,2076,0.0002449308813083917,,1763260103.978193,0.19600962102413177,0.07726925611495972,-0.0006714761257171631,93.03765296936035,91904,0.003055102191865444,7.035132512100972e-07,1018.0,0.021484375
-0.005498228594660759,,2093,0.00024393241619691253,,1763260105.4685886,0.17436005175113678,-0.00012755393981933594,0.006276123225688934,94.52804851531982,93568,0.0004653092473745346,0.002859832951799035,1020.0,0.02734375
0.044033318758010864,,2094,0.0002438556111883372,,1763260105.6115108,0.14286836981773376,0.04148876667022705,-0.03911757469177246,94.67097067832947,93696,0.013345137238502502,0.00026952498592436314,1019.0,0.099609375
,500.0,2117,,500.0,1763260107.700619,,,,96.76007890701294,96016,,,,
,500.0,2146,,500.0,1763260110.3522294,,,,99.41168928146362,99003,,,,
