losses/old_approx_kl,losses/value_loss,charts/episodic_return,losses/policy_loss,losses/entropy,losses/approx_kl,charts/SPS,losses/clipfrac,charts/episodic_length,_runtime,_timestamp,charts/learning_rate,losses/explained_variance,_step,global_step
0.01947888359427452,8.304180664708838e-05,,0.005308240652084351,0.41372910141944885,0.008851475082337856,741.0,0.037109375,,174.07062363624573,1763260201.9665005,0.00022427034855354577,-0.11736845970153809,1543,126336
0.0010628225281834602,28.68402099609375,,-0.01818845421075821,0.3722212314605713,0.0010566497221589088,740.0,0.0,,174.30542254447937,1763260202.2012994,0.00022419354354497045,0.00028401613235473633,1545,126464
-0.003974851220846176,0.011371848173439503,,-0.001016959547996521,0.36193394660949707,0.006203759461641312,740.0,0.017578125,,174.48414540290833,1763260202.3800223,0.00022411673853639513,0.6461814641952515,1546,126592
0.005732358433306217,9.796922677196562e-05,,0.0004029860720038414,0.362103134393692,0.0006816918030381203,739.0,0.009765625,,176.5182020664215,1763260204.414079,0.00022334868845064193,0.12523412704467773,1558,127872
,,500.0,,,,,,500.0,176.56449437141418,1763260204.4603713,,,1559,127921
0.0010482016950845718,6.0885042330482975e-05,,-0.000616956502199173,0.41305309534072876,1.8496066331863403e-05,738.0,0.0,,177.38238096237183,1763260205.2782578,0.00022304146841634065,-0.18282175064086914,1563,128384
0.009938465431332588,0.0058844564482569695,,-0.011080754920840263,0.35747507214546204,0.003894333727657795,738.0,0.01953125,,177.78930115699768,1763260205.685178,0.00022288785839919,0.4742918610572815,1566,128640
,,500.0,,,,,,500.0,181.4375741481781,1763260209.333451,,,1588,130921
-0.01726153865456581,2.3432083129882812,,-0.0021508820354938507,0.3687058091163635,0.0027442146092653275,735.0,0.00390625,,181.64176082611084,1763260209.5376377,0.00022150538279674947,0.0007191896438598633,1589,130944
-0.004290594719350338,6.029576979926787e-05,,0.007728748023509979,0.3914933502674103,0.005236112512648106,734.0,0.01171875,,183.12277913093567,1763260211.018656,0.00022096774773672223,0.24612337350845337,1597,131840
0.0021271761506795883,0.00023006013361737132,,-0.008843842893838882,0.41816818714141846,0.0024316683411598206,733.0,0.001953125,,184.8336145877838,1763260212.7294915,0.00022035330766811967,-0.27937912940979004,1607,132864
0.009428190998733044,36.33395004272461,,0.0026927869766950607,0.4136519134044647,0.004141268320381641,732.0,0.005859375,,185.0884850025177,1763260212.984362,0.00022027650265954435,0.001720726490020752,1609,132992
0.015958193689584732,0.007274688687175512,,-0.007112105377018452,0.4307023584842682,0.001054767519235611,732.0,0.0,,185.29373598098755,1763260213.1896129,0.00022019969765096903,0.7575310468673706,1610,133120
0.002567760646343231,8.92500756890513e-05,,-0.0025706514716148376,0.42449912428855896,0.001004830002784729,732.0,0.0,,185.7058663368225,1763260213.6017432,0.0002200460876338184,-1.0271239280700684,1612,133376
0.01117723248898983,0.00031798367854207754,,-0.012303952127695084,0.43102553486824036,0.002517556771636009,730.0,0.013671875,,188.12799167633057,1763260216.0238686,0.00021920123253948987,0.2636007070541382,1626,134784
-0.024108178913593292,114.71931457519531,,-0.04214005544781685,0.4032571613788605,0.006333167664706707,729.0,0.01171875,,190.05296659469604,1763260217.9488435,0.00021850998746231198,3.4868717193603516e-05,1638,135936
-0.007035406306385994,203.7698211669922,,-0.0024004504084587097,0.3182889223098755,0.0011151544749736786,724.0,0.0,,198.24756932258606,1763260226.1434462,0.0002155145921278745,0.0004658699035644531,1687,140928
0.0031644264236092567,119.27391815185547,,0.003224756568670273,0.2724442481994629,0.0006456440314650536,720.0,0.0,,205.58211374282837,1763260233.4779906,0.00021274961181916296,0.001134634017944336,1732,145536
,,500.0,,,,,,500.0,207.62104725837708,1763260235.5169241,,,1745,146921
0.0013130083680152893,0.00012253453314770013,,-1.9915401935577393e-05,0.2636578679084778,2.3035332560539246e-05,719.0,0.0,,208.95926094055176,1763260236.8551378,0.00021144392667338252,0.06853693723678589,1753,147712
0.0049163708463311195,0.00011373902088962495,,-0.0176456980407238,0.24407269060611725,0.0011354824528098106,719.0,0.0,,209.14072632789612,1763260237.0366032,0.0002113671216648072,0.3438897132873535,1754,147840
,,500.0,,,,,,500.0,210.7238256931305,1763260238.6197026,,,1765,148921
-0.030192041769623756,0.00036119914148002863,,0.027347680181264877,0.30890733003616333,0.017906498163938522,718.0,0.046875,,211.31109976768494,1763260239.2069767,0.00021052226657047868,-0.047751665115356445,1768,149248
0.000550784170627594,0.01062590628862381,,-0.00016406551003456116,0.20877224206924438,4.993751645088196e-05,717.0,0.0,,212.72855734825134,1763260240.6244342,0.00020998464606236666,0.7834352254867554,1777,150144
-0.004611587151885033,0.0004530725709628314,,0.0010451655834913254,0.2270883321762085,0.00029243528842926025,715.0,0.0,,219.4083731174469,1763260247.30425,0.0002074500807793811,0.2584691047668457,1818,154368
0.013536270707845688,0.00016019093163777143,,-0.010950054973363876,0.2573389410972595,0.01020299643278122,715.0,0.078125,,220.16703486442566,1763260248.0629117,0.00020714286074507982,0.13954299688339233,1823,154880
0.008828544057905674,0.00020410462457221001,,-0.006260037422180176,0.23798099160194397,0.0017767800018191338,713.0,0.0,,224.67794013023376,1763260252.573817,0.00020545315055642277,0.7314891815185547,1851,157696
0.01708882674574852,0.0003977739252150059,,-0.010885320603847504,0.3335229158401489,0.0013903239741921425,713.0,0.001953125,,225.46525120735168,1763260253.361128,0.0002051459305221215,0.08018654584884644,1856,158208
,,500.0,,,,,,500.0,227.37587928771973,1763260255.2717562,,,1868,159421
,,500.0,,,,,,500.0,228.21615862846375,1763260256.1120355,,,1873,159921
0.004232005216181278,0.0003493602853268385,,-0.005548596382141113,0.2760915458202362,0.0005634380504488945,711.0,0.0,,229.0084583759308,1763260256.9043353,0.00020384024537634104,0.5436673164367676,1877,160384
0.002973047085106373,0.0008773128502070904,,0.016238203272223473,0.3664582073688507,0.0025403210893273354,711.0,0.00390625,,230.42315554618835,1763260258.3190324,0.0002033026103163138,0.6592066884040833,1886,161280
