_timestamp,_step,global_step,charts/episodic_length,losses/clipfrac,charts/learning_rate,charts/SPS,losses/entropy,losses/value_loss,losses/old_approx_kl,_runtime,losses/explained_variance,losses/policy_loss,losses/approx_kl,charts/episodic_return
1763260285.1602652,1973,174976,,0.0,0.00019508448895066977,690.0,0.3179464638233185,0.011676611378788948,-0.0030722692608833313,256.87331914901733,0.09662479162216187,-0.0029480159282684326,0.0004521738737821579,
1763260287.0959659,1985,176256,,0.0,0.00019431643886491656,690.0,0.2756253480911255,0.0001432737917639315,0.0007779523730278015,258.80901980400085,0.044558823108673096,7.689744234085083e-05,0.00130547396838665,
1763260287.907193,1991,176794,500.0,,,,,,,259.62024688720703,,,,500.0
1763260289.7323978,2002,177920,,0.0,0.0001933179737534374,689.0,0.2428719401359558,146.7816925048828,-0.0003439430147409439,261.4454517364502,0.00021374225616455078,-0.00018197111785411835,0.000412890687584877,
1763260290.5695724,2007,178432,,0.017578125,0.00019301075371913612,689.0,0.27205774188041687,0.010778510943055153,0.04381823167204857,262.28262639045715,-0.09524023532867432,0.0017791902646422386,0.008351974189281464,
1763260291.87999,2016,179328,,0.021484375,0.00019247311865910888,689.0,0.2082522064447403,114.57504272460938,-0.0008610496297478676,263.5930440425873,-3.361701965332031e-05,0.028993871062994003,0.0024231960996985435,
1763260292.4641323,2019,179712,,0.0,0.00019224270363338292,689.0,0.24289193749427795,0.00022423146583605558,-0.006197566166520119,264.17718625068665,0.1497821807861328,-0.0020658671855926514,0.0003199838101863861,
1763260293.2732835,2024,180224,,0.005859375,0.00019193548359908164,688.0,0.3111135959625244,5.018013689550571e-05,0.006257563829421997,264.9863374233246,0.0023846030235290527,-0.0020032934844493866,0.0026990845799446106,
1763260293.6994898,2027,180480,,0.013671875,0.000191781873581931,688.0,0.30160826444625854,0.007860361598432064,0.018985910341143608,265.4125437736511,0.13623231649398804,-0.0013418570160865784,0.005120991729199886,
1763260294.089253,2029,180736,,0.021484375,0.00019162826356478035,688.0,0.30441775918006897,0.0005876252544112504,0.041804008185863495,265.80230689048767,0.07743006944656372,-0.006051929667592049,0.009252200834453106,
1763260294.9110606,2034,181248,,0.072265625,0.00019132104353047907,688.0,0.3100939393043518,4.768075086758472e-05,-0.016164395958185196,266.6241145133972,-0.018875956535339355,-0.008057867176830769,0.01316771749407053,
1763260296.5817106,2045,182294,500.0,,,,,,,268.2947645187378,,,,500.0
1763260297.5684392,2051,182912,,0.021484375,0.0001903225784189999,687.0,0.3254678249359131,3.449683666229248,-0.02272653952240944,269.2814931869507,-4.1604042053222656e-05,-0.004084700718522072,0.003747698850929737,
1763260297.7396703,2052,183040,,0.0,0.0001902457734104246,687.0,0.4132643938064575,0.008579209446907043,0.0037041446194052696,269.45272421836853,0.11283612251281738,-0.023010432720184326,0.0018466496840119362,
1763260300.9917433,2070,184832,,0.001953125,0.0001891705032903701,686.0,0.3163451850414276,116.24778747558594,-0.0007158741354942322,272.7047972679138,6.377696990966797e-05,0.006647288799285889,0.0007035583257675171,
