losses/explained_variance,_timestamp,charts/episodic_return,_step,losses/value_loss,losses/policy_loss,charts/episodic_length,losses/entropy,_runtime,global_step,losses/clipfrac,charts/learning_rate,charts/SPS,losses/approx_kl,losses/old_approx_kl
,1763260517.5477233,500.0,3476,,,500.0,,489.671635389328,327663,,,,,
-0.11676955223083496,1763260517.9289234,,3479,0.0014152652584016323,-0.012659233063459396,,0.42315176129341125,490.05283546447754,327936,0.0,0.00010330261284252629,674.0,0.000635945238173008,0.0013048676773905754
0.002406477928161621,1763260520.4595501,,3498,0.005565248429775238,0.0030673108994960785,,0.42999109625816345,492.58346223831177,329856,0.0,0.00010215053771389648,674.0,5.252007395029068e-05,0.0021799253299832344
0.014924108982086182,1763260521.137263,,3503,0.006613570265471935,-0.011535190045833588,,0.369994193315506,493.26117515563965,330368,0.0,0.0001018433176795952,674.0,0.0017207767814397812,0.010157445445656776
-0.061371803283691406,1763260522.396876,,3513,0.004854509606957436,-0.00042610615491867065,,0.383296400308609,494.520788192749,331392,0.0,0.00010122887761099264,675.0,2.1972693502902985e-05,-0.0012851012870669365
,1763260523.8933768,500.0,3525,,,500.0,,496.01728892326355,332663,,,,,
-0.03917813301086426,1763260525.4365027,,3537,0.005367412697523832,-0.004927199333906174,,0.4188765287399292,497.5604147911072,333824,0.0,9.976958244806156e-05,676.0,0.0009349389001727104,-0.00653351005166769
-0.11662006378173828,1763260527.6069274,,3554,0.00035071439924649894,-0.002089735120534897,,0.36897462606430054,499.7308394908905,335616,0.001953125,9.869431960396469e-05,676.0,0.0005642138421535492,0.0016302485018968582
,1763260527.646083,500.0,3555,,,500.0,,499.76999521255493,335663,,,,,
-0.08028233051300049,1763260530.3852463,,3576,0.005646473728120327,0.0003847554326057434,,0.34367093443870544,502.509158372879,337792,0.0,9.738863445818424e-05,677.0,2.3778527975082397e-05,0.0018801335245370865
0.03391242027282715,1763260530.699323,,3578,0.000605490175075829,0.0074581578373909,,0.2824414372444153,502.8232350349426,338048,0.0,9.72350244410336e-05,677.0,0.0010748114436864853,-0.005599282681941986
0.1087910532951355,1763260531.0467057,,3581,0.005668299272656441,-0.00547424703836441,,0.38722071051597595,503.1706178188324,338304,0.0,9.708141442388296e-05,677.0,0.0004182923585176468,0.004992783069610596
,1763260532.0051193,500.0,3589,,,500.0,,504.129031419754,339163,,,,,
-0.1188889741897583,1763260535.1256993,,3613,0.00038495162152685225,0.0012954063713550568,,0.3022061288356781,507.24961137771606,341632,0.0,9.508448420092463e-05,678.0,0.00011491402983665466,0.0004983432590961456
-0.0356752872467041,1763260536.2373354,,3622,0.0007864938816055655,-0.004067223519086838,,0.34969112277030945,508.36124753952026,342528,0.0,9.45468491408974e-05,678.0,0.0002598501741886139,0.010503193363547325
-0.003975868225097656,1763260538.5933828,,3640,0.004730572458356619,-0.018913254141807556,,0.3250839114189148,510.71729493141174,344320,0.0,9.347157902084291e-05,679.0,0.0012613553553819656,0.013564666733145714
0.017604053020477295,1763260540.7036777,,3656,0.0012502418830990791,-0.004227839410305023,,0.34632447361946106,512.8275897502899,345984,0.0,9.247312118532136e-05,679.0,0.0008234912529587746,-0.00601597223430872
-4.076957702636719e-05,1763260542.3400507,,3669,32.050254821777344,0.0011262968182563782,,0.3779953718185425,514.4639627933502,347264,0.0,9.170507109956816e-05,680.0,1.959875226020813e-05,0.0005789753049612045
3.528594970703125e-05,1763260543.6595268,,3679,0.004210956394672394,0.0021912511438131332,,0.251901239156723,515.7834389209747,348288,0.0,9.10906310309656e-05,680.0,2.5674700736999512e-05,-0.0012917537242174149
-6.0439109802246094e-05,1763260544.1285582,,3683,18.662118911743164,-0.00028467923402786255,,0.35995495319366455,516.2524702548981,348672,0.0,9.086021600523964e-05,680.0,6.640329957008362e-07,0.0005212137475609779
-0.15029025077819824,1763260544.2902315,,3684,0.005730859935283661,-0.004586555063724518,,0.3773510754108429,516.4141435623169,348800,0.0,9.078341099666432e-05,680.0,0.0002533337101340294,-0.0011791596189141273
-0.013705611228942871,1763260547.8640764,,3711,0.0006706491694785655,0.00021992623805999756,,0.3429993987083435,519.9879884719849,351616,0.0,8.909370080800727e-05,681.0,0.00025124382227659225,0.003100915811955929
2.86102294921875e-05,1763260548.0616028,,3713,131.43569946289062,-0.0038292519748210907,,0.4237109422683716,520.1855149269104,351744,0.0,8.901689579943195e-05,681.0,3.937073051929474e-05,0.00030299462378025055
-0.09711313247680664,1763260548.3554714,,3715,0.0010358942672610283,-0.002276487648487091,,0.3690047562122345,520.4793834686279,352000,0.0,8.886328578228131e-05,681.0,7.502641528844833e-05,0.0008293585851788521
,1763260550.399909,500.0,3731,,,500.0,,522.5238211154938,353663,,,,,
0.021395862102508545,1763260550.8427296,,3734,0.0013117986964061856,-0.0033309077844023705,,0.27516496181488037,522.966641664505,353920,0.00390625,8.77112106536515e-05,681.0,0.001285560429096222,0.010686544701457024
-0.06914234161376953,1763260553.5925076,,3755,0.0009239949285984039,3.467872738838196e-05,,0.3389284610748291,525.7164196968079,356096,0.0,8.640553278382868e-05,682.0,0.0008839527145028114,0.00772914569824934
0.04250049591064453,1763260556.0743508,,3775,0.0010477460455149412,-0.0009675412438809872,,0.43190351128578186,528.1982629299164,358144,0.009765625,8.517665264662355e-05,682.0,0.0035244813188910484,0.01538221538066864
0.06661111116409302,1763260556.5166326,,3779,0.000849651638418436,-0.008507377468049526,,0.42820626497268677,528.6405446529388,358528,0.0,8.494623762089759e-05,683.0,0.0008541326969861984,0.00986088253557682
-0.037343502044677734,1763260559.4813325,,3804,0.0008883464615792036,-0.0005911961197853088,,0.3958858847618103,531.6052446365356,361088,0.0,8.341013744939119e-05,684.0,0.00014942511916160583,-0.006705543026328087
-0.005069136619567871,1763260559.736191,,3807,0.00486843753606081,-0.013804815709590912,,0.3540880084037781,531.8601031303406,361344,0.0,8.325652743224055e-05,684.0,0.0013342825695872307,0.01915828511118889
-0.05986201763153076,1763260563.898397,,3847,0.0012402472784742713,0.0006650537252426147,,0.4027816951274872,536.0223090648651,365440,0.0,8.079877443378791e-05,686.0,0.0003727106377482414,0.013078874908387661
,1763260567.0544696,500.0,3879,,,500.0,,539.1783816814423,368663,,,,,
-0.06125080585479736,1763260567.5849955,,3883,0.0009432640508748591,-0.00016473233699798584,,0.44111841917037964,539.7089076042175,369152,0.0,7.857142918510363e-05,688.0,0.00016697682440280914,0.001420624554157257
,1763260567.5909476,500.0,3884,,,500.0,,539.7148597240448,369163,,,,,
-0.028475284576416016,1763260567.9429784,,3887,0.001416780287399888,-0.0025782138109207153,,0.45913535356521606,540.0668904781342,369536,0.0,7.834101415937766e-05,689.0,0.00021045561879873276,2.509821206331253e-05
