losses/approx_kl,losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/value_loss,charts/learning_rate,_step,global_step,losses/entropy,losses/policy_loss,_timestamp,charts/episodic_return,_runtime,charts/SPS,losses/old_approx_kl
0.0003337133675813675,0.0,0.6764283180236816,,0.15659189224243164,0.0002526881580706686,1015,78976,0.5338194370269775,0.006622506305575371,1763260297.0874243,,206.8354573249817,444.0,-0.0027489904314279556
0.0005206437781453133,0.0,0.20409125089645386,,0.1317092776298523,0.0002523809380363673,1020,79488,0.5526480674743652,0.0009304434061050415,1763260298.0566583,,207.80469131469727,445.0,0.0034847212955355644
0.0025444375351071358,0.001953125,0.7129281759262085,,0.03631403297185898,0.00025168972206301987,1031,80640,0.4848145544528961,0.010343439877033234,1763260300.2464666,,209.99449968338013,445.0,-0.015594054944813251
0.006597270257771015,0.01171875,-0.3485060930252075,,0.0026269087102264166,0.00025053764693439007,1050,82560,0.5018988251686096,-0.013538181781768799,1763260302.71329,,212.4613230228424,450.0,-0.003248062916100025
0.0021218163892626762,0.00390625,-1.8953042030334473,,0.01716398075222969,0.00025038403691723943,1053,82816,0.57783442735672,-0.026607796549797058,1763260303.0457168,,212.79374980926514,451.0,-0.010825655423104763
0.0009168405085802078,0.0,-4.766935348510742,,0.12913496792316437,0.00025007681688293815,1058,83328,0.5073995590209961,-0.009660761803388596,1763260303.6951206,,213.44315361976624,452.0,-0.003891199827194214
0.0018510343506932259,0.0,-0.9577286243438721,,0.004536427557468414,0.00024854071671143174,1083,85888,0.4432786703109741,-0.02259000577032566,1763260308.6985579,,218.44659090042114,453.0,0.016685850918293
,,,500.0,,,1091,86659,,,1763260310.129493,500.0,219.87752604484558,,
0.00043478142470121384,0.0,-2.8252601623535156e-05,,820.1044921875,0.000247158226557076,1106,88192,0.4650447368621826,-0.0003832876682281494,1763260312.6319277,,222.37996077537537,456.0,0.009875253774225712
0.003139595501124859,0.0,-0.47257423400878906,,0.0006475524860434234,0.0002463901764713228,1118,89472,0.5457108020782471,-0.0036032143980264664,1763260314.215473,,223.96350598335266,459.0,-0.012738351710140705
,,,500.0,,,1125,90159,,,1763260314.9665818,500.0,224.71461486816406,,
0.0021365443244576454,0.0,-0.5745687484741211,,0.0005737486644648015,0.00024546851636841893,1133,91008,0.5644413232803345,0.005912577733397484,1763260316.0779781,,225.82601118087769,462.0,0.020467929542064667
6.755907088518143e-05,0.0,-0.00023484230041503906,,574.5418090820312,0.00024477727129124105,1145,92160,0.5643945932388306,0.001561380922794342,1763260317.492534,,227.24056696891785,465.0,-0.00026469212025403976
,,,500.0,,,1164,94099,,,1763260319.8799405,500.0,229.62797355651855,,
9.931065142154694e-05,0.0,-6.258487701416016e-05,,339.9986572265625,0.00024354839115403593,1165,94208,0.5911734700202942,-0.0022513829171657562,1763260320.1418705,,229.88990354537964,469.0,0.00027240999042987823
