charts/learning_rate,charts/episodic_return,_runtime,_timestamp,losses/explained_variance,global_step,losses/clipfrac,losses/approx_kl,losses/value_loss,losses/entropy,losses/old_approx_kl,losses/policy_loss,charts/episodic_length,charts/SPS,_step
7.749615906504914e-05,,554.1791524887085,1763260645.1319425,-0.21951508522033691,370944,0.0,0.00028000958263874054,0.0005818689824081957,0.5611311197280884,-5.6838616728782654e-05,0.00033415574580430984,,705.0,3912
7.73425490478985e-05,,554.4638528823853,1763260645.416643,0.1954866647720337,371200,0.0,0.0003551216796040535,0.0031964569352567196,0.49681949615478516,-0.004036947153508663,0.0025049354881048203,,705.0,3915
,500.0,555.7405405044556,1763260646.6933305,,372520,,,,,,,500.0,,3928
7.557603385066614e-05,,557.447024345398,1763260648.3998144,-6.99758529663086e-05,374144,0.0,1.099705696105957e-05,412.05535888671875,0.5660754442214966,-0.00015443377196788788,0.0016506277024745941,,707.0,3944
7.549922884209082e-05,,557.6046643257141,1763260648.5574543,-0.10086953639984131,374272,0.0,0.0012228460982441902,0.0014451182214543223,0.5533187389373779,0.0017256969586014748,-0.008997984230518341,,707.0,3945
7.54224238335155e-05,,557.72376704216,1763260648.676557,0.042425334453582764,374400,0.0,0.0005140006542205811,0.000523258640896529,0.5724048614501953,0.004737270995974541,-0.004212701693177223,,707.0,3946
7.496160105802119e-05,,558.4946482181549,1763260649.4474382,0.1392229199409485,375168,0.0,0.00014445558190345764,0.003140071639791131,0.5123826265335083,-0.0006218124181032181,-0.007881633937358856,,707.0,3954
7.442396599799395e-05,,559.4294402599335,1763260650.3822303,-0.0009125471115112305,376064,0.0,0.00022375397384166718,442.93218994140625,0.531400740146637,0.003041757270693779,0.005577594041824341,,708.0,3963
7.403994095511734e-05,,560.0589218139648,1763260651.0117118,0.1322886347770691,376704,0.0,0.00039964262396097183,0.0037847876083105803,0.5452020168304443,-0.010416372679173946,-0.002037249505519867,,708.0,3969
7.327189086936414e-05,,561.3357989788055,1763260652.288589,-0.04905557632446289,377984,0.0,0.000197581946849823,0.00046257878420874476,0.5936267971992493,-0.00022295117378234863,-0.0010891109704971313,,709.0,3981
7.319508586078882e-05,,561.472639799118,1763260652.4254298,-0.00021660327911376953,378112,0.0,6.956048309803009e-06,455.4945983886719,0.4877796471118927,0.00046081747859716415,0.00033101625740528107,,709.0,3983
7.227342575788498e-05,,563.0434949398041,1763260653.996285,-1.942375898361206,379648,0.0,0.00028934702277183533,0.003324228571727872,0.5368843674659729,0.0029230285435914993,0.00044179148972034454,,710.0,3997
,500.0,565.529589176178,1763260656.4823792,,382020,,,,,,,500.0,,4020
,500.0,569.6260471343994,1763260660.5788372,,386020,,,,,,,500.0,,4059
6.682027742499486e-05,,572.4691376686096,1763260663.4219277,0.28550636768341064,388736,0.0,0.0010584071278572083,0.0035158696118742228,0.5174501538276672,0.013566194102168083,-0.0008796267211437225,,714.0,4087
6.65898623992689e-05,,572.8222529888153,1763260663.775043,0.00017911195755004883,389120,0.0,1.1850148439407349e-05,276.5347900390625,0.5243250727653503,-0.0014960579574108124,2.390146255493164e-05,,714.0,4091
,500.0,574.2331562042236,1763260665.1859462,,390533,,,,,,,500.0,,4105
,500.0,574.6667261123657,1763260665.6195161,,391033,,,,,,,500.0,,4109
6.513056723633781e-05,,575.2491011619568,1763260666.2018912,-0.0004457235336303711,391552,0.0,3.246217966079712e-05,273.440185546875,0.531177282333374,0.000847991555929184,0.0011047013103961945,,716.0,4115
,500.0,575.6270942687988,1763260666.5798843,,392033,,,,,,,500.0,,4119
6.336405203910545e-05,,578.0752739906311,1763260669.028064,-0.007860302925109863,394496,0.0,9.48738306760788e-05,0.0005631697131320834,0.517266035079956,0.0007126778364181519,-0.0036012958735227585,,717.0,4144
,500.0,578.5401513576508,1763260669.4929414,,395046,,,,,,,500.0,,4150
