losses/clipfrac,losses/old_approx_kl,losses/approx_kl,_runtime,losses/entropy,charts/learning_rate,_timestamp,charts/SPS,charts/episodic_length,losses/explained_variance,_step,losses/policy_loss,charts/episodic_return,global_step,losses/value_loss
0.0,-0.0007034633308649063,2.911314368247986e-06,586.3105118274689,0.5273084044456482,5.568356209550984e-05,1763260677.2631779,730.0,,-7.855892181396484e-05,4243,2.8267502784729004e-05,,407296,376.896484375
0.0,-0.0008831238374114037,0.0002891002222895622,586.7063939571381,0.5494430065155029,5.545315070776269e-05,1763260677.65906,730.0,,-0.14157605171203613,4246,-0.013603463768959045,,407680,0.0005595929105766118
0.0,-0.0040895165875554085,3.466662019491196e-05,587.2107372283936,0.5268288254737854,5.514593067346141e-05,1763260678.1634033,730.0,,1.2516975402832031e-05,4252,0.0005787909030914307,,408192,449.9405517578125
0.0,3.8362108170986176e-05,1.6211532056331635e-05,587.460037946701,0.5618699193000793,5.499232065631077e-05,1763260678.412704,730.0,,-0.02405405044555664,4254,-0.0010386193171143532,,408448,0.00038250829675234854
0.0,-0.00046846363693475723,1.1070631444454193e-05,587.5773901939392,0.47733891010284424,5.491551564773545e-05,1763260678.5300562,730.0,,0.5268176794052124,4255,-0.000859077088534832,,408576,0.0002964623272418976
0.0,-0.0010942351073026657,0.00011665374040603638,589.3664658069611,0.5195711851119995,5.384024552768096e-05,1763260680.3191319,731.0,,-0.45066773891448975,4273,-0.0013012364506721497,,410368,0.002154212910681963
,,,589.6389150619507,,,1763260680.591581,,500.0,,4276,,500.0,410681,
0.0,-0.0007407795637845993,2.434663474559784e-05,589.7655758857727,0.5425820350646973,5.3609830501955e-05,1763260680.718242,731.0,,-4.279613494873047e-05,4277,-0.0009112246334552765,,410752,445.42889404296875
0.0,-0.00804121047258377,0.0005099903792142868,589.8901898860931,0.5271764993667603,5.353302549337968e-05,1763260680.842856,731.0,,-0.34647810459136963,4278,-0.0008887611329555511,,410880,0.00274400576017797
0.0,0.0006956420838832855,6.399676203727722e-05,590.9262690544128,0.5253505706787109,5.291858542477712e-05,1763260681.878935,732.0,,0.04766470193862915,4288,-0.0002831351011991501,,411904,0.002120302990078926
0.0,-0.003280678763985634,0.0002480391412973404,591.1970701217651,0.5035943984985352,5.276497540762648e-05,1763260682.1497362,732.0,,0.01162642240524292,4290,-0.0034199953079223633,,412160,0.0004313731915317476
0.0,-0.002635394223034382,3.196392208337784e-05,591.340399980545,0.4955641031265259,5.268817039905116e-05,1763260682.293066,732.0,,0.0003986954689025879,4292,0.0013963617384433746,,412288,564.1708374023438
0.0,-0.00016172323375940323,1.3384036719799042e-05,593.7343282699585,0.5819898247718811,5.13056838826742e-05,1763260684.6869943,733.0,,-0.19784486293792725,4314,-0.00036929547786712646,,414592,0.0004067569097969681
0.0,0.0033999523147940636,2.422090619802475e-05,594.1147289276123,0.5877134203910828,5.107526885694824e-05,1763260685.067395,733.0,,-0.3825562000274658,4318,-0.00039029866456985474,,414976,0.0005450258613564074
0.0,-0.00010279938578605652,7.856078445911407e-05,597.0645315647125,0.5271589756011963,4.938556230627e-05,1763260688.0171976,734.0,,-0.0004221200942993164,4346,0.0011023804545402527,,417792,289.6197814941406
0.0,0.0010245805606245995,2.5804154574871063e-05,599.1906323432922,0.5360512733459473,4.815668216906488e-05,1763260690.1432984,735.0,,-0.3495277166366577,4366,-0.002489745616912842,,419840,0.0023181415162980556
