losses/value_loss,losses/old_approx_kl,losses/approx_kl,_runtime,charts/episodic_return,charts/learning_rate,charts/SPS,charts/episodic_length,losses/entropy,_timestamp,global_step,losses/clipfrac,_step,losses/policy_loss,losses/explained_variance
0.004759587347507477,0.00645644124597311,0.0006739133968949318,236.2644019126892,,0.0002400153607595712,481.0,,0.48304665088653564,1763260327.2695959,100096,0.0,1197,-0.002022393047809601,-0.1828596591949463
0.00021949446818325669,0.00254131481051445,0.0003325939178466797,239.46050214767456,,0.00023901689564809203,482.0,,0.47647178173065186,1763260330.465696,101760,0.0,1213,0.004460141062736511,-0.03965497016906738
361.55084228515625,0.0032271742820739746,8.277967572212219e-05,239.73904585838318,,0.0002389400906395167,482.0,,0.5126649737358093,1763260330.7442398,101888,0.0,1215,0.00012992322444915771,4.351139068603516e-06
0.005037674214690924,-0.007133647799491882,0.0006148107349872589,241.45896434783936,,0.00023824884556233883,483.0,,0.4702600836753845,1763260332.4641583,103040,0.0,1226,-0.01332174800336361,-0.020221948623657227
627.6263427734375,-0.002038644626736641,0.0009351000189781189,241.9311559200287,,0.00023801843053661287,484.0,,0.5677938461303711,1763260332.9363499,103424,0.0,1230,-0.002414233982563019,9.751319885253906e-05
,,,242.40354990959167,500.0,,,500.0,,1763260333.4087439,103853,,1234,,
241.05755615234375,0.0022041257470846176,0.0006420928984880447,243.8286190032959,,0.00023709677043370903,487.0,,0.5267000198364258,1763260334.833813,104960,0.0,1245,-0.005824033170938492,4.9591064453125e-05
243.57168579101562,-0.0013699373230338097,7.979292422533035e-05,244.92493152618408,,0.00023655913537368178,488.0,,0.49646517634391785,1763260335.9301255,105856,0.0,1254,-7.615610957145691e-05,0.00012159347534179688
0.00042864857823587954,-0.001231929287314415,0.00034723803400993347,247.06009650230408,,0.0002354838652536273,492.0,,0.5448081493377686,1763260338.0652905,107648,0.0,1271,-0.003942757844924927,0.015234589576721191
212.74365234375,0.0033263452351093292,0.0006760098040103912,250.41637778282166,,0.00023379416961688548,497.0,,0.5805032849311829,1763260341.4215717,110464,0.0,1299,0.002436809241771698,3.5643577575683594e-05
