losses/clipfrac,losses/entropy,charts/learning_rate,losses/explained_variance,losses/approx_kl,charts/episodic_return,charts/SPS,_runtime,losses/old_approx_kl,losses/policy_loss,_step,global_step,_timestamp,losses/value_loss,charts/episodic_length
0.0,0.42902204394340515,0.00022457756858784705,0.007749438285827637,0.000813756138086319,,505.0,277.79681372642517,0.012719688937067986,-0.01595703512430191,1456,125824,1763260368.2810597,0.000305612338706851,
,,,,,500.0,,277.83052682876587,,,1457,125854,1763260368.3147728,,500.0
0.01953125,0.4768100082874298,0.00022104455274529755,-0.005251288414001465,0.007562041282653809,,509.0,287.46720600128174,-0.023220285773277283,-0.014897741377353668,1514,131712,1763260377.951452,0.0007000648765824735,
,,,,,500.0,,288.2689905166626,,,1521,132354,1763260378.7532365,,500.0
,,,,,500.0,,288.77485704421997,,,1525,132854,1763260379.259103,,500.0
0.0,0.44973987340927124,0.00022027650265954435,0.12726622819900513,0.00030141137540340424,,511.0,289.039103269577,0.00013241544365882874,0.00032511912286281586,1527,132992,1763260379.5233493,0.0038093843031674623,
0.0,0.45726278424263,0.0002201228926423937,-0.3516576290130615,0.00028470437973737717,,511.0,289.33653020858765,-0.0060934266075491905,-0.0031020939350128174,1529,133248,1763260379.8207762,0.0001316329144174233,
0.005859375,0.4424263536930084,0.00021981567260809243,0.039240479469299316,0.0018120752647519112,,512.0,289.9330749511719,0.008338059298694134,-0.013102293014526367,1534,133760,1763260380.417321,0.00016852350381668657,
0.0,0.4245724678039551,0.0002197388675995171,-1.1086463928222656e-05,0.0005087116733193398,,512.0,290.1579804420471,0.008445641957223415,0.00842568650841713,1536,133888,1763260380.6422265,608.726318359375,
0.005859375,0.4824579954147339,0.00021927803754806519,0.076072096824646,0.002308538183569908,,512.0,291.5310890674591,-0.003383345901966095,0.007836498320102692,1543,134656,1763260382.015335,0.0005203188047744334,
,,,,,500.0,,291.77833104133606,,,1545,134854,1763260382.262577,,500.0
0.0,0.40998539328575134,0.00021912442753091455,8.988380432128906e-05,0.00021017808467149734,,512.0,292.0270907878876,-0.0036408500745892525,-0.00168711319565773,1546,134912,1763260382.5113368,282.0362854003906,
0.00390625,0.4842982292175293,0.00021835637744516134,-0.19727158546447754,0.0008411658927798271,,513.0,294.3071572780609,-3.6745332181453705e-05,-0.005677979439496994,1558,136192,1763260384.7914033,0.0005100425332784653,
0.00390625,0.44541215896606445,0.00021827957243658602,0.07926905155181885,0.0014700349420309067,,513.0,294.5136458873749,0.005567530170083046,0.002085752785205841,1559,136320,1763260384.997892,0.00012508456711657345,
0.0,0.4793544411659241,0.00021804915741086006,-0.2855724096298218,0.003564298152923584,,513.0,295.19343852996826,0.016682356595993042,-0.003635779023170471,1563,136704,1763260385.6776845,0.00035880584619008005,
0.0,0.5366417169570923,0.00021789554739370942,0.0004509091377258301,6.894581019878387e-05,,513.0,295.6544966697693,0.0025434624403715134,0.0009876899421215057,1566,136960,1763260386.1387427,539.595458984375,
0.0,0.46430423855781555,0.00021651305723935366,-0.1045907735824585,0.00013664737343788147,,516.0,298.40707755088806,-0.0002430994063615799,-0.0011644884943962097,1588,139264,1763260388.8913236,0.00018440850544720888,
,,,,,500.0,,298.45342111587524,,,1589,139354,1763260388.9376671,,500.0
0.017578125,0.4461638927459717,0.00021597542217932642,0.06608045101165771,0.005342206917703152,,518.0,299.5115809440613,-0.02579689398407936,-0.00470443069934845,1597,140160,1763260389.995827,0.0007144934497773647,
0.0,0.5689973831176758,0.00021536098211072385,-0.02638232707977295,0.0011644288897514343,,519.0,300.71558260917664,-0.0016428902745246887,0.00035743415355682373,1607,141184,1763260391.1998286,0.0008246749639511108,
,,,,,500.0,,300.9028079509735,,,1609,141354,1763260391.387054,,500.0
0.0,0.5227388739585876,0.0002152073720935732,-0.0001609325408935547,0.0006500557065010071,,519.0,301.05063581466675,-0.01107434369623661,-0.01236947625875473,1610,141440,1763260391.5348818,758.7266235351562,
