_timestamp,losses/value_loss,global_step,losses/approx_kl,charts/episodic_return,_step,charts/SPS,charts/episodic_length,losses/policy_loss,losses/old_approx_kl,losses/entropy,losses/clipfrac,charts/learning_rate,_runtime,losses/explained_variance
1763260366.44824,0.0005449341842904687,134272,0.0017666928470134735,,1529,543.0,,-0.011062730103731155,0.010022919625043869,0.47323542833328247,0.001953125,0.00021950845257379115,276.15951800346375,-0.1060018539428711
1763260366.9874334,0.0008449232554994524,134784,0.0009034192189574242,,1534,544.0,,-0.0025430098176002502,-0.008176510222256184,0.51949143409729,0.0,0.00021920123253948987,276.6987113952637,-0.16113483905792236
1763260367.1348162,,134956,,500.0,1536,,500.0,,,,,,276.8460941314697,
1763260367.9291327,0.0068983822129666805,135680,0.004006106406450272,,1543,546.0,,-0.028374388813972473,-0.0007929280400276184,0.43411627411842346,0.017578125,0.00021866359747946262,277.6404106616974,0.23291832208633423
1763260368.1880848,0.00018189731054008007,135936,0.00029465649276971817,,1545,546.0,,0.0003773719072341919,0.007852855138480663,0.5041166543960571,0.0,0.00021850998746231198,277.8993628025055,-0.029642581939697266
1763260368.2210786,,135956,,500.0,1546,,500.0,,,,,,277.93235659599304,
1763260370.2250402,0.0008244962082244456,137216,0.0003611268475651741,,1558,547.0,,-0.004781175404787064,0.0047977035865187645,0.5599642395973206,0.0,0.00021774193737655878,279.9363181591034,0.003107786178588867
1763260370.4316447,0.00028558532358147204,137344,0.0024786610156297684,,1559,547.0,,-0.010615922510623932,0.0029423553496599197,0.49185559153556824,0.009765625,0.00021766513236798346,280.1429226398468,-0.1879732608795166
1763260371.0690205,0.00033792207250371575,137728,8.514337241649628e-05,,1563,547.0,,-0.003246404230594635,-0.0037246886640787125,0.5093905925750732,0.0,0.0002174347173422575,280.7802984714508,-0.042603373527526855
1763260371.5140502,332.920654296875,137984,5.812477320432663e-05,,1566,547.0,,0.0013523492962121964,0.0022954465821385384,0.5328975915908813,0.0,0.00021728110732510686,281.225328207016,-2.1457672119140625e-06
1763260375.2221694,,140228,,272.0,1588,,272.0,,,,,,284.93344736099243,
1763260375.4520235,637.4799194335938,140288,1.0406598448753357e-05,,1589,547.0,,0.0017540603876113892,-0.00014124438166618347,0.4911538064479828,0.0,0.0002158986171707511,285.1633014678955,0.00012385845184326172
1763260376.8127258,0.00028648265288211405,141184,0.0012369370087981224,,1597,548.0,,0.001122213900089264,0.004023528657853603,0.5399144291877747,0.0,0.00021536098211072385,286.52400374412537,-0.8515448570251465
1763260377.8821146,,142204,,500.0,1607,,500.0,,,,,,287.5933926105499,
1763260378.1155837,0.006667925510555506,142336,0.0011712973937392235,,1609,550.0,,-0.009126933291554451,-0.007367263548076153,0.5481885075569153,0.0,0.00021466973703354597,287.82686161994934,-0.6995539665222168
1763260378.2654567,0.0006822894793003798,142464,0.0012185899540781975,,1610,550.0,,0.01504003256559372,0.018159426748752594,0.5541085004806519,0.0078125,0.00021459293202497065,287.9767346382141,-0.8616132736206055
1763260378.473277,,142704,,500.0,1612,,500.0,,,,,,288.18455505371094,
1763260380.0110426,0.004731672815978527,144000,0.00045233964920043945,,1626,552.0,,0.00699407234787941,0.003169940784573555,0.5418861508369446,0.0,0.0002136712719220668,289.7223205566406,0.0668720006942749
1763260381.77711,,145273,,500.0,1638,,500.0,,,,,,291.48838806152344,
1763260388.7508967,0.0004948007990606129,150144,0.0017469711601734161,,1687,557.0,,-0.017822928726673126,-0.003527579829096794,0.5549702048301697,0.0,0.00020998464606236666,298.46217465400696,0.1953245997428894
