_timestamp,losses/old_approx_kl,global_step,losses/entropy,charts/learning_rate,losses/clipfrac,charts/SPS,_runtime,losses/approx_kl,losses/policy_loss,charts/episodic_length,charts/episodic_return,_step,losses/value_loss,losses/explained_variance
1763260362.4509254,0.00688392948359251,188288,0.6364359259605408,0.00018709676805883646,0.0,754.0,283.9207034111023,0.0012186923995614052,-0.012459170073270798,,,2172,1208.7398681640625,0.00022590160369873047
1763260363.75469,0.018451455980539322,189696,0.592869758605957,0.00018625191296450794,0.0,756.0,285.2244679927826,0.001347632147371769,-0.0010875537991523743,,,2185,0.0016891671111807227,-8.465361595153809
1763260364.2137053,-0.00496713537722826,190208,0.5664746761322021,0.00018594470748212188,0.0,756.0,285.6834833621979,0.0003255428746342659,0.004695909097790718,,,2192,1789.4522705078125,0.021747291088104248
1763260364.7043598,0.008480454795062542,190720,0.5333108901977539,0.0001856374874478206,0.0,757.0,286.17413783073425,0.0006629051640629768,0.0011732429265975952,,,2198,1759.488037109375,0.03908991813659668
1763260364.8167882,-0.0028593884781003,190848,0.543067991733551,0.00018556068243924528,0.0,757.0,286.2865662574768,1.558195799589157e-05,-0.0002083703875541687,,,2199,1.096248984336853,0.5926046371459961
1763260365.838933,,191762,,,,,287.3087110519409,,,266.0,266.0,2211,,
1763260366.0479968,,191912,,,,,287.51777482032776,,,137.0,137.0,2214,,
1763260366.7469919,-0.0013549299910664558,192512,0.6196742653846741,0.00018456221732776612,0.0,758.0,288.21676993370056,2.1836720407009125e-05,-0.0009712874889373779,,,2220,0.1884908527135849,0.6659440994262695
1763260366.9294784,-0.002198939211666584,192640,0.5359724760055542,0.0001844854123191908,0.0,758.0,288.3992564678192,6.242375820875168e-05,0.00019458308815956116,,,2223,1411.26513671875,0.008274316787719727
1763260367.1182468,0.0007368065416812897,192768,0.5131034851074219,0.00018440860731061548,0.0,758.0,288.58802485466003,1.9781291484832764e-06,0.0002489611506462097,,,2225,1345.603515625,0.0059157609939575195
1763260367.2588465,-0.004727733321487904,192896,0.5989726781845093,0.00018433180230204016,0.0,758.0,288.72862458229065,0.002161187119781971,-0.008846744894981384,,,2226,0.2077043056488037,0.6778750419616699
1763260367.420679,0.017543504014611244,193024,0.6185010671615601,0.00018425499729346484,0.00390625,758.0,288.8904571533203,0.0053738076239824295,-0.03998570144176483,,,2227,9.190786361694336,-0.6725493669509888
1763260367.90825,0.0011214269325137138,193408,0.5988500118255615,0.00018402458226773888,0.0,758.0,289.37802815437317,2.0825304090976715e-05,0.0008974820375442505,,,2231,0.375515878200531,0.22224682569503784
1763260368.253213,0.0076497867703437805,193792,0.5888413786888123,0.00018379416724201292,0.0,759.0,289.72299098968506,0.0004250016063451767,-8.246488869190216e-05,,,2235,1058.84130859375,0.05184662342071533
1763260368.9115927,0.00049614068120718,194432,0.6005898714065552,0.00018341014219913632,0.0,759.0,290.3813707828522,5.884189158678055e-05,-0.0009330734610557556,,,2241,0.2182513177394867,0.10745596885681152
1763260369.6586204,0.0012762220576405525,195200,0.49143481254577637,0.0001829493121476844,0.0,760.0,291.1283984184265,0.00015786010771989822,0.0006263628602027893,,,2248,0.033719614148139954,-0.2471480369567871
1763260369.7731972,0.00015026703476905823,195328,0.5752335786819458,0.00018287250713910908,0.0,760.0,291.24297523498535,3.17208468914032e-06,0.001390017569065094,,,2250,148.2677001953125,0.0008449554443359375
1763260370.1463816,0.04508235305547714,195712,0.589782178401947,0.00018264209211338311,0.0,760.0,291.6161596775055,0.005014733411371708,-0.012003104202449322,,,2253,0.0027007898315787315,0.6561383008956909
1763260372.1654363,-0.001241687685251236,197632,0.588383674621582,0.0001814900169847533,0.0,762.0,293.63521432876587,7.405132055282593e-05,-0.0006251521408557892,,,2272,0.0004648736212402582,0.4014270305633545
1763260373.22504,-0.0027337586507201195,198400,0.5737298130989075,0.0001810291869333014,0.0078125,762.0,294.69481801986694,0.0033973557874560356,-0.026419688016176224,,,2280,0.004502541851252317,0.06215381622314453
1763260374.8809721,,199694,,,,,296.350750207901,,,26.0,26.0,2295,,
1763260375.218582,0.0007348479703068733,199936,0.5901327729225159,0.00018010752683039755,0.0,762.0,296.6883599758148,3.9412640035152435e-05,-0.0009395740926265717,,,2298,0.03031357377767563,-0.23950862884521484
1763260376.6120303,0.007644192315638065,201088,0.5172009468078613,0.00017941628175321966,0.0,762.0,298.08180832862854,0.0004402017220854759,0.0015781447291374207,,,2310,608.8865356445312,-0.00014197826385498047
1763260376.7881799,-0.0006577996537089348,201216,0.5593743920326233,0.00017933947674464434,0.0,762.0,298.25795793533325,2.6621855795383453e-05,-0.0013836175203323364,,,2312,1523.8408203125,-0.00010848045349121094
1763260377.5145218,0.00522312056273222,201856,0.5818888545036316,0.00017895545170176774,0.0,762.0,298.9842998981476,0.0016320878639817238,-0.010061359032988548,,,2318,0.0023825918324291706,-0.3441438674926758
1763260377.9415917,0.013452338986098766,202240,0.5765366554260254,0.00017872503667604178,0.009765625,763.0,299.4113698005676,0.0030147572979331017,-0.008972445502877235,,,2322,0.0016674681100994349,-0.5263733863830566
1763260378.1182952,0.00039567146450281143,202368,0.5688266754150391,0.00017864823166746646,0.0,763.0,299.5880732536316,1.1888332664966583e-05,0.0002901628613471985,,,2324,1620.2244873046875,0.00045996904373168945
1763260378.7235968,0.001815824769437313,202880,0.5037047863006592,0.00017834101163316518,0.0,763.0,300.19337487220764,0.00025620218366384506,0.005083248019218445,,,2329,1711.590087890625,0.00011903047561645508
1763260379.552822,,203797,,,,,301.0226001739502,,,89.0,89.0,2339,,
1763260379.8839307,,204161,,,,,301.3537087440491,,,364.0,364.0,2343,,
1763260380.3329275,-0.0033479947596788406,204672,0.6298999786376953,0.0001772657415131107,0.0,765.0,301.80270552635193,0.00037587620317935944,-0.0018331632018089294,,,2348,1577.70849609375,-8.630752563476562e-05
1763260380.9275656,0.003629963845014572,205312,0.5738036036491394,0.0001768817164702341,0.0,766.0,302.3973436355591,0.00010129623115062714,-0.002145852893590927,,,2354,0.0036553889513015747,-0.028048038482666016
1763260381.7499917,0.008436525240540504,206208,0.5018289089202881,0.00017634408141020685,0.0,767.0,303.2197697162628,0.0009916611015796661,0.009740591049194336,,,2363,1775.007568359375,-0.00015556812286376953
