_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
1405,130.41294479370117,111360,1763260199.9496238,,,0.0014692572876811028,-0.9447644948959351,0.010031958110630512,0.0,0.006125614047050476,0.5194626450538635,0.00023325653455685824,1068.0,0.0021060206927359104
1432,132.89093565940857,114056,1763260202.4276147,500.0,500.0,,,,,,,,,
1433,133.000018119812,114176,1763260202.5366971,,,0.0006381124258041382,-5.555152893066406e-05,0.009979216381907463,0.0,0.015465881675481796,0.5225962400436401,0.0002315668243682012,1069.0,140.74562072753906
1455,135.09542107582092,116480,1763260204.6321,,,0.0011130739003419876,-0.4140787124633789,-0.003555789589881897,0.0,-0.006828330457210541,0.47457486391067505,0.00023018433421384543,1070.0,0.00029845506651327014
1456,135.12239480018616,116556,1763260204.6590738,500.0,500.0,,,,,,,,,
1457,135.20981311798096,116608,1763260204.7464921,,,0.00021806824952363968,4.589557647705078e-06,-0.009076093323528767,0.0,-0.0006918162107467651,0.4888610243797302,0.0002301075292052701,1070.0,1462.8466796875
1514,140.55030703544617,122496,1763260210.086986,,,0.0020148949697613716,0.607997715473175,0.020933186635375023,0.0,-0.02379428595304489,0.5233347415924072,0.00022657449881080538,1071.0,0.00013925287930760533
1521,141.14857292175293,123136,1763260210.685252,,,0.0005906391888856888,9.077787399291992e-05,-0.009854206815361977,0.0,-0.003054298460483551,0.5877299308776855,0.00022619047376792878,1071.0,1089.3846435546875
1525,141.49832272529602,123556,1763260211.0350018,500.0,500.0,,,,,,,,,
1527,141.71047377586365,123776,1763260211.2471528,,,3.379862755537033e-05,0.294101357460022,-0.001606467179954052,0.0,-0.0013583861291408539,0.48249515891075134,0.00022580644872505218,1071.0,0.00438511511310935
1529,141.96463656425476,124032,1763260211.5013156,,,0.006450684741139412,-0.5457524061203003,-0.0013463981449604034,0.0078125,-0.007309500128030777,0.5065562129020691,0.00022565283870790154,1071.0,0.0003049650404136628
1534,142.42149543762207,124544,1763260211.9581745,,,0.0030629169195890427,-0.10374724864959717,0.02627401053905487,0.0,0.007383294403553009,0.5042415261268616,0.00022534561867360026,1071.0,0.0002482066920492798
1536,142.5343770980835,124672,1763260212.0710561,,,0.0007823202759027481,-0.0006281137466430664,-0.005701350048184395,0.0,-0.009251821786165237,0.5180266499519348,0.00022526881366502494,1072.0,273.3958740234375
1543,143.28509855270386,125556,1763260212.8217776,500.0,500.0,,,,,,,,,
1545,143.47344636917114,125696,1763260213.0101254,,,0.00037700124084949493,-0.12428617477416992,0.006116354838013649,0.0,-0.0065167974680662155,0.5675869584083557,0.00022465437359642237,1072.0,0.006046352908015251
1546,143.58437967300415,125824,1763260213.1210587,,,0.00023283902555704117,-0.021191716194152832,-0.0009152209386229515,0.0,0.00600915402173996,0.5947715044021606,0.00022457756858784705,1072.0,0.0011737140594050288
1558,144.6592938899994,127056,1763260214.195973,500.0,500.0,,,,,,,,,
1559,144.74535465240479,127104,1763260214.2820337,,,7.823947817087173e-05,-4.76837158203125e-07,-0.0027341069653630257,0.0,0.00030809640884399414,0.5769095420837402,0.00022380951850209385,1072.0,1751.1156005859375
1563,145.13945698738098,127556,1763260214.676136,500.0,500.0,,,,,,,,,
1566,145.45632529258728,127872,1763260214.9930043,,,0.0040045613422989845,-0.016033172607421875,-0.028564007952809334,0.01953125,-0.017868902534246445,0.538543701171875,0.00022334868845064193,1072.0,0.0011838993523269892
1588,147.4488387107849,130056,1763260216.9855177,500.0,500.0,,,,,,,,,
1589,147.55809569358826,130176,1763260217.0947747,,,2.170819789171219e-05,6.282329559326172e-05,-0.0014063632115721703,0.0,0.00042244046926498413,0.5235475301742554,0.0002219662128482014,1072.0,140.7412109375
1597,148.30756187438965,131056,1763260217.844241,500.0,500.0,,,,,,,,,
1607,149.23426961898804,132056,1763260218.7709486,500.0,500.0,,,,,,,,,
1609,149.43602180480957,132224,1763260218.9727008,,,0.000937911681830883,0.01965320110321045,0.0032089976593852043,0.0,-0.007584460079669952,0.5781168937683105,0.00022073733271099627,1073.0,0.00693845096975565
1610,149.54720664024353,132352,1763260219.0838857,,,4.119705408811569e-05,0.027903318405151367,0.0022352496162056923,0.0,-0.0037059178575873375,0.5920137763023376,0.00022066052770242095,1073.0,0.0010920793283730745
1612,149.6863453388214,132556,1763260219.2230244,500.0,500.0,,,,,,,,,
1626,151.04076147079468,134016,1763260220.5774405,,,0.0019196979701519012,-0.08148884773254395,0.0009237993508577347,0.001953125,-0.01776054874062538,0.5474025011062622,0.0002196620625909418,1073.0,0.0003161863423883915
1638,152.09294724464417,135168,1763260221.6296263,,,0.0007350640371441841,-4.589557647705078e-05,-0.0027453219518065453,0.0,-0.021707996726036072,0.5530949234962463,0.0002189708175137639,1073.0,0.016261635348200798
1687,156.69784283638,140160,1763260226.2345219,,,0.0004240749403834343,-4.4345855712890625e-05,-0.011766760610044003,0.0,-0.00020047277212142944,0.5701929330825806,0.00021597542217932642,1074.0,672.0140380859375
1732,160.99613046646118,144896,1763260230.5328095,,,0.0009172847494482994,-0.1844106912612915,0.005842742510139942,0.0,-0.015928521752357483,0.5159459710121155,0.00021313363686203957,1075.0,0.001280394266359508
1745,162.1523654460907,146176,1763260231.6890445,,,0.0012481380254030228,0.0004754066467285156,-0.004844343289732933,0.0,0.0022460948675870895,0.540631890296936,0.00021236558677628636,1075.0,132.3783416748047
1753,162.89165258407593,147056,1763260232.4283316,500.0,500.0,,,,,,,,,
1754,162.97444128990173,147072,1763260232.5111203,,,0.0001764269545674324,0.0003914833068847656,-0.001613047905266285,0.0,-0.001960545778274536,0.453754186630249,0.00021182795171625912,1075.0,1340.781005859375
1765,164.0184965133667,148224,1763260233.5551755,,,0.0007593939080834389,0.1308395266532898,-0.0018505407497286797,0.0,0.0035420581698417664,0.5421608686447144,0.00021113670663908124,1075.0,0.0057581206783652306
1768,164.26869416236877,148556,1763260233.8053732,500.0,500.0,,,,,,,,,
1777,165.1746985912323,149504,1763260234.7113776,,,0.0007219519466161728,-0.3235352039337158,-0.0022255759686231613,0.0,-0.0008523501455783844,0.472480833530426,0.00021036865655332804,1076.0,0.00014074718637857586
