losses/entropy,losses/policy_loss,losses/value_loss,_runtime,charts/episodic_return,losses/explained_variance,losses/old_approx_kl,_timestamp,charts/episodic_length,_step,charts/SPS,charts/learning_rate,losses/approx_kl,losses/clipfrac,global_step
0.5483174324035645,0.0002398211508989334,0.00574975460767746,280.2858293056488,,-0.04635930061340332,0.001321304589509964,1763260358.8216152,,2024,752.0,0.0001890936982817948,4.243478178977966e-05,0.0,184960
,,,280.5165193080902,500.0,,,1763260359.0523052,500.0,2027,,,,,185222
0.5271106958389282,0.001394130289554596,0.002571916440501809,280.73780488967896,,-0.2804344892501831,0.01131157111376524,1763260359.2735908,,2029,752.0,0.0001887864782474935,0.00025899428874254227,0.0,185472
0.4933174252510071,0.0022612661123275757,0.0010754357790574431,281.2200086116791,,-0.0784766674041748,0.006061073392629623,1763260359.7557945,,2034,753.0,0.00018847925821319222,0.0006149783730506897,0.0,185984
0.5218435525894165,-0.003394799306988716,0.0001846433151513338,282.2636399269104,,-0.017100930213928223,0.004945533350110054,1763260360.7994258,,2045,754.0,0.00018778801313601434,0.0001248437911272049,0.0,187136
,,,282.74271535873413,500.0,,,1763260361.2785013,500.0,2051,,,,,187722
0.47917819023132324,-0.00645693764090538,1462.473388671875,282.82852506637573,,0.00013941526412963867,0.0006684232503175735,1763260361.364311,,2052,755.0,0.00018740398809313774,0.00017615407705307007,0.0,187776
0.599591851234436,-0.0018907636404037476,8.256277942564338e-05,284.59151124954224,,0.23871898651123047,-0.0003347322344779968,1763260363.1272972,,2070,758.0,0.00018625191296450794,0.0014180336147546768,0.0,189696
,,,285.04734563827515,500.0,,,1763260363.5831316,500.0,2076,,,,,190222
0.5763099193572998,0.000578656792640686,0.019885439425706863,286.47718143463135,,0.09822332859039307,-0.0122244106605649,1763260365.0129673,,2093,760.0,0.00018502304737921804,0.0006203381344676018,0.0,191744
,,,286.5044388771057,220.0,,,1763260365.0402248,220.0,2094,,,,,191825
,,,289.1731381416321,500.0,,,1763260367.708924,500.0,2117,,,,,194068
,,,291.58627343177795,500.0,,,1763260370.1220593,500.0,2141,,,,,196568
0.469829261302948,-0.005607942119240761,757.2346801757812,292.0442066192627,,0.002789437770843506,-0.0005347291007637978,1763260370.5799925,,2146,764.0,0.0001818740420276299,0.0002062218263745308,0.0,196992
0.5137304067611694,-0.013038240373134613,0.009585704654455185,292.1627867221832,,-0.7368121147155762,0.003046693280339241,1763260370.6985726,,2147,764.0,0.0001817972370190546,0.0027471911162137985,0.009765625,197120
0.5745746493339539,-0.000649772584438324,0.0012893849052488804,292.2760076522827,,-0.6172646284103394,0.00955594889819622,1763260370.8117936,,2148,764.0,0.00018172043201047927,0.0011699441820383072,0.001953125,197248
0.41001302003860474,0.005393818020820618,374.10650634765625,292.8837068080902,,0.0008286833763122559,-0.0031944699585437775,1763260371.4194927,,2155,765.0,0.00018133640696760267,0.00012728199362754822,0.0,197888
0.6184675097465515,9.388476610183716e-05,1152.31884765625,295.1178545951843,,-0.00012612342834472656,0.0006714072078466415,1763260373.6536405,,2172,765.0,0.0001803379418561235,8.89413058757782e-06,0.0,199552
0.5368856191635132,-0.0034757237881422043,0.00033270579297095537,296.802184343338,,-0.0332493782043457,-0.0007198313251137733,1763260375.3379703,,2185,765.0,0.00017949308676179498,0.0003031054511666298,0.0,200960
0.5650837421417236,-0.0016678869724273682,0.0048483931459486485,297.6200053691864,,0.002200901508331299,-0.001366814598441124,1763260376.1557913,,2192,765.0,0.00017910906171891838,0.00026193074882030487,0.0,201600
0.5788793563842773,0.002260535955429077,0.0005008054431527853,298.3881583213806,,-0.0008924007415771484,0.005821580998599529,1763260376.9239442,,2198,766.0,0.00017872503667604178,0.0007367720827460289,0.0,202240
0.5620167255401611,-0.009352989494800568,0.00020846239931415766,298.53722858428955,,-0.12957310676574707,-0.019391419366002083,1763260377.0730145,,2199,766.0,0.00017864823166746646,0.001965537667274475,0.001953125,202368
