charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/episodic_return,losses/entropy,_runtime,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac,losses/approx_kl
0.00024746544659137726,0.07429569959640503,634.0,0.006054822355508804,,1763260251.104564,,0.5575003623962402,172.56046390533447,-0.0045099519193172455,87680,1083,0.007286832667887211,0.0,0.0015173256397247314
,,,,500.0,1763260252.1516666,500.0,,173.60756659507751,,88457,1091,,,
0.0002460829564370215,0.001651465892791748,637.0,0.0012025358155369759,,1763260254.1934094,,0.47121673822402954,175.64930939674377,-0.00041272491216659546,89984,1106,1732.1995849609375,0.0,0.0004979362711310387
0.0002453149063512683,-0.4518047571182251,638.0,-0.013201970607042313,,1763260255.8549893,,0.5337873101234436,177.3108892440796,-0.005380216985940933,91264,1118,0.001337604713626206,0.005859375,0.002730397507548332
,,,,500.0,1763260256.739537,500.0,,178.1954369544983,,91957,1125,,,
,,,,324.0,1763260257.774502,324.0,,179.23040199279785,,92781,1133,,,
0.00024370200117118657,0.2657313346862793,641.0,-0.012723872438073158,,1763260259.372065,,0.5272676348686218,180.82796502113342,-0.02235143631696701,93952,1145,0.008345764130353928,0.001953125,0.00102321058511734
0.00024254992604255676,-4.6372413635253906e-05,646.0,0.007029791362583637,,1763260261.277146,,0.4355120062828064,182.7330460548401,0.0003165602684020996,95872,1164,1131.0391845703125,0.0,0.00027508940547704697
0.00024247312103398144,-0.5997241735458374,646.0,0.002163335680961609,,1763260261.3891478,,0.47036802768707275,182.84504771232605,-0.020824283361434937,96000,1165,0.00725640170276165,0.0,0.001964809373021126
0.00024208909599110484,-0.0972524881362915,648.0,0.0070504313334822655,,1763260261.95043,,0.4602051377296448,183.406329870224,-0.02458951622247696,96640,1172,0.0184596199542284,0.0,0.0007918616756796837
0.00024162826593965292,0.03362470865249634,650.0,-0.0032950090244412422,,1763260262.6631167,,0.44687020778656006,184.11901664733887,0.012653135694563389,97408,1181,1905.493896484375,0.001953125,0.0019019665196537971
