global_step,losses/old_approx_kl,charts/learning_rate,losses/clipfrac,losses/policy_loss,_step,charts/episodic_length,losses/approx_kl,_runtime,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/explained_variance,charts/episodic_return
128896,0.0017888303846120834,0.00022273424838203937,0.0,-0.00039749592542648315,1566,,0.00030373595654964447,263.98442816734314,540.0,1203.4840087890625,1763260340.138456,0.4244266450405121,0.38618993759155273,
131072,-0.002336561679840088,0.00022142857778817415,0.0,-0.00032651424407958984,1588,,3.680400550365448e-05,267.59033012390137,540.0,0.14458920061588287,1763260343.744358,0.4048570990562439,0.12175953388214111,
131200,9.145587682723999e-07,0.00022135177277959883,0.0,-0.0029260534793138504,1589,,1.675449311733246e-05,267.79450392723083,541.0,0.10111440718173981,1763260343.9485319,0.39070579409599304,-0.5891810655593872,
131968,0.00012809596955776215,0.0002208909427281469,0.0,-5.4895877838134766e-05,1597,,2.7474015951156616e-06,269.1662847995758,541.0,1396.53857421875,1763260345.3203127,0.40039336681365967,0.007079184055328369,
132992,0.018901914358139038,0.00022027650265954435,0.0,-0.0062470827251672745,1607,,0.0007154606282711029,270.9353473186493,541.0,1175.20556640625,1763260347.0893753,0.43568599224090576,0.00434720516204834,
133248,0.004188230261206627,0.0002201228926423937,0.001953125,-0.009548485279083252,1609,,0.000680580735206604,271.2070393562317,541.0,0.0024801697582006454,1763260347.3610673,0.4828285574913025,-1.2493019104003906,
133376,-0.005820807069540024,0.0002200460876338184,0.0,0.0011747851967811584,1610,,0.0001962166279554367,271.33577013015747,542.0,0.00038421928184106946,1763260347.489798,0.4487810432910919,0.3029252290725708,
133504,0.0003536362200975418,0.00021996928262524307,0.0,0.001182645559310913,1612,,1.1205673217773438e-05,271.4985234737396,542.0,810.0596923828125,1763260347.6525514,0.453141987323761,-0.0014063119888305664,
134912,0.0001803794875741005,0.00021912442753091455,0.0,0.0010128095746040344,1626,,3.449525684118271e-05,273.07500863075256,544.0,1740.169189453125,1763260349.2290366,0.40902477502822876,-0.0022575855255126953,
136192,0.0015858644619584084,0.00021835637744516134,0.0,-0.0015716552734375,1638,,0.001629629172384739,274.4879503250122,546.0,0.006615069694817066,1763260350.6419783,0.4230915904045105,0.6557854413986206,
141184,-0.010733835399150848,0.00021536098211072385,0.0,0.00569535605609417,1687,,0.0004077162593603134,281.9178683757782,550.0,0.0005201057065278292,1763260358.0718963,0.44404730200767517,-0.08731591701507568,
145792,-6.360001862049103e-06,0.00021259600180201232,0.005859375,0.0017708055675029755,1732,,0.0014861496165394783,286.9475152492523,557.0,0.00022970566351432353,1763260363.1015432,0.5548768043518066,-0.7291222810745239,
147072,0.0025500571355223656,0.00021182795171625912,0.0,-0.01549418643116951,1745,,0.001316131092607975,288.3295133113861,559.0,0.0046909647062420845,1763260364.4835413,0.5011438131332397,-1.71974778175354,
147910,,,,,1753,500.0,,289.3390929698944,,,1763260365.493121,,,500.0
147968,0.006673590280115604,0.00021129031665623188,0.0,0.000974901020526886,1754,,0.0003916872665286064,289.56215023994446,559.0,1428.013916015625,1763260365.7161782,0.49584007263183594,0.0001347064971923828,
149120,0.001967265270650387,0.000210599071579054,0.0,0.0005104430019855499,1765,,0.00010714773088693619,291.41302275657654,560.0,0.006223778240382671,1763260367.5670507,0.46198225021362305,-0.6574423313140869,
149410,,,,,1768,500.0,,291.8061945438385,,,1763260367.9602225,,,500.0
150400,0.006548573262989521,0.00020983103604521602,0.0,-0.005258969962596893,1777,,0.0010269591584801674,293.1469895839691,561.0,0.0003507528454065323,1763260369.3010175,0.4258851110935211,0.8420447111129761,
154496,0.0005760602653026581,0.00020737327577080578,0.0,-0.005428880453109741,1818,,0.00029839761555194855,299.0965299606323,564.0,785.9442138671875,1763260375.250558,0.3983142673969269,-0.00024437904357910156,
